"dimension","time","value"
"sunlight","day 001",46.4555474527801
"sunlight","day 002",46.5393145117196
"sunlight","day 003",46.6281583892664
"sunlight","day 004",46.7485767538911
"sunlight","day 005",46.9272526373559
"sunlight","day 006",47.16071354078
"sunlight","day 007",47.4340315255273
"sunlight","day 008",47.716612424585
"sunlight","day 009",47.9756073497834
"sunlight","day 010",48.1848147567027
"sunlight","day 011",48.319043418945
"sunlight","day 012",48.3504960384502
"sunlight","day 013",48.2530595796999
"sunlight","day 014",48.0099641290036
"sunlight","day 015",47.6261385370285
"sunlight","day 016",47.1839635900428
"sunlight","day 017",46.772890350957
"sunlight","day 018",46.4331990536476
"sunlight","day 019",46.1818353011733
"sunlight","day 020",45.9915770023523
"sunlight","day 021",45.8347325556703
"sunlight","day 022",45.7259000125207
"sunlight","day 023",45.6964017356182
"sunlight","day 024",45.7886407271057
"sunlight","day 025",45.9970640754314
"sunlight","day 026",46.3040478784544
"sunlight","day 027",46.6977920834626
"sunlight","day 028",47.1803128568961
"sunlight","day 029",47.8030673923725
"sunlight","day 030",48.6267823128203
"sunlight","day 031",49.699820931235
"sunlight","day 032",51.0689309582367
"sunlight","day 033",52.7867610048772
"sunlight","day 034",54.8939360955806
"sunlight","day 035",57.3770860078286
"sunlight","day 036",60.1989509589047
"sunlight","day 037",63.2807081722413
"sunlight","day 038",66.5283258319502
"sunlight","day 039",69.8284989587126
"sunlight","day 040",73.0590681750327
"sunlight","day 041",76.081729674139
"sunlight","day 042",78.7534224599442
"sunlight","day 043",80.9282012083739
"sunlight","day 044",82.4804725173297
"sunlight","day 045",83.3743823102453
"sunlight","day 046",83.6169387530944
"sunlight","day 047",83.225382523776
"sunlight","day 048",82.2360951093214
"sunlight","day 049",80.6920402716362
"sunlight","day 050",78.6433700629908
"sunlight","day 051",76.1563490448165
"sunlight","day 052",73.3545035248255
"sunlight","day 053",70.3715208917324
"sunlight","day 054",67.3244711119829
"sunlight","day 055",64.3239031420567
"sunlight","day 056",61.4708993208386
"sunlight","day 057",58.8563466146361
"sunlight","day 058",56.5398171170422
"sunlight","day 059",54.5611976557482
"sunlight","day 060",52.9129488675542
"sunlight","day 061",51.5710485488958
"sunlight","day 062",50.4929693256431
"sunlight","day 063",49.6328263163384
"sunlight","day 064",48.9498097807795
"sunlight","day 065",48.4005093488477
"sunlight","day 066",47.9369297831258
"sunlight","day 067",47.550777605452
"sunlight","day 068",47.2419769793416
"sunlight","day 069",46.9997514605335
"sunlight","day 070",46.8128613612426
"sunlight","day 071",46.6789146273648
"sunlight","day 072",46.5933409629164
"sunlight","day 073",46.5340094707144
"sunlight","day 074",46.4747591074977
"sunlight","day 075",46.3908688468921
"sunlight","day 076",46.2666228371009
"sunlight","day 077",46.1208859077528
"sunlight","day 078",45.9843034523887
"sunlight","day 079",45.9000624387737
"sunlight","day 080",45.9134638974673
"sunlight","day 081",46.0657235359824
"sunlight","day 082",46.370122950019
"sunlight","day 083",46.7322926110732
"sunlight","day 084",47.052603212433
"sunlight","day 085",47.3180374587557
"sunlight","day 086",47.5351653164753
"sunlight","day 087",47.7027420652748
"sunlight","day 088",47.8192503538233
"sunlight","day 089",47.8866644674053
"sunlight","day 090",47.9191321277133
"sunlight","day 091",47.9289434846956
"sunlight","day 092",47.9087849649147
"sunlight","day 093",47.8483987684466
"sunlight","day 094",47.745353912806
"sunlight","day 095",47.6026295083218
"sunlight","day 096",47.4370182191405
"sunlight","day 097",47.2658094637354
"sunlight","day 098",47.0944661240687
"sunlight","day 099",46.9285610758282
"sunlight","day 100",46.7859337061148
"sunlight","day 101",46.6846931138758
"sunlight","day 102",46.6317607340304
"sunlight","day 103",46.6283608825321
"sunlight","day 104",46.6641170635006
"sunlight","day 105",46.7270445867015
"sunlight","day 106",46.8103267963194
"sunlight","day 107",46.9107517892703
"sunlight","day 108",47.037724481378
"sunlight","day 109",47.2164259021929
"sunlight","day 110",47.4679096431637
"sunlight","day 111",47.7832561737307
"sunlight","day 112",48.0501002993604
"sunlight","day 113",47.7722672916311
"sunlight","day 114",46.5859519466409
"sunlight","day 115",45.0406366924553
"sunlight","day 116",43.7538152691546
"sunlight","day 117",42.70173903291
"sunlight","day 118",41.7360870756618
"sunlight","day 119",40.8514918163342
"sunlight","day 120",40.0701379220234
"sunlight","day 121",39.3814657255291
"sunlight","day 122",38.7732440725347
"sunlight","day 123",38.2593001945541
"sunlight","day 124",37.854839539286
"sunlight","day 125",37.5545220333348
"sunlight","day 126",37.3503475545625
"sunlight","day 127",37.244221306955
"sunlight","day 128",37.2447195210452
"sunlight","day 129",37.3753111010741
"sunlight","day 130",37.6561152208696
"sunlight","day 131",38.0950902845505
"sunlight","day 132",38.6590960428305
"sunlight","day 133",39.29800722014
"sunlight","day 134",39.9348570891837
"sunlight","day 135",40.5021982341103
"sunlight","day 136",40.9975019365715
"sunlight","day 137",41.4368232411095
"sunlight","day 138",41.845633546326
"sunlight","day 139",42.2472427318417
"sunlight","day 140",42.6468982472938
"sunlight","day 141",43.0462333103759
"sunlight","day 142",43.450486640989
"sunlight","day 143",43.866746249479
"sunlight","day 144",44.3058918057623
"sunlight","day 145",44.7791646166591
"sunlight","day 146",45.2954608770326
"sunlight","day 147",45.8602898974114
"sunlight","day 148",46.4679585629422
"sunlight","day 149",47.1088597023001
"sunlight","day 150",47.7689323436554
"humidity","day 001",10.0075694603194
"humidity","day 002",10.4086404821692
"humidity","day 003",10.8443838257435
"humidity","day 004",11.2946904618375
"humidity","day 005",11.7388365601978
"humidity","day 006",12.1918627961525
"humidity","day 007",12.6703831033248
"humidity","day 008",13.1615399429362
"humidity","day 009",13.6428865570687
"humidity","day 010",14.0830907836478
"humidity","day 011",14.4475878643483
"humidity","day 012",14.697768059997
"humidity","day 013",14.8014479218313
"humidity","day 014",14.7561941435794
"humidity","day 015",14.5876716452754
"humidity","day 016",14.4041881096852
"humidity","day 017",14.3144279048267
"humidity","day 018",14.3459393769919
"humidity","day 019",14.5091209555369
"humidity","day 020",14.8269074237977
"humidity","day 021",15.3178072080604
"humidity","day 022",15.9700869524311
"humidity","day 023",16.7874387483288
"humidity","day 024",17.8552040195098
"humidity","day 025",19.2405331262175
"humidity","day 026",20.9831331845043
"humidity","day 027",23.0541152900298
"humidity","day 028",25.4096721010732
"humidity","day 029",28.0149185467816
"humidity","day 030",30.7959665708668
"humidity","day 031",33.5139939044296
"humidity","day 032",35.932939260585
"humidity","day 033",37.9927194931135
"humidity","day 034",39.6732633316655
"humidity","day 035",40.9385688687057
"humidity","day 036",41.7381402707977
"humidity","day 037",41.979436638087
"humidity","day 038",41.6008012525757
"humidity","day 039",40.7061591901105
"humidity","day 040",39.4453843368912
"humidity","day 041",37.9865640266854
"humidity","day 042",36.4644104428054
"humidity","day 043",34.861921719174
