"dimension","time","value"
"sunlight","day 001",46.8965277886039
"sunlight","day 002",41.5166577307499
"sunlight","day 003",38.3988423070541
"sunlight","day 004",37.4819674930197
"sunlight","day 005",38.0857886066473
"sunlight","day 006",39.3733493800055
"sunlight","day 007",40.6033041090597
"sunlight","day 008",41.5734609312952
"sunlight","day 009",42.2609288656857
"sunlight","day 010",42.8208666156385
"sunlight","day 011",43.4073010337579
"sunlight","day 012",43.9916818850014
"sunlight","day 013",44.4982223589355
"sunlight","day 014",44.8447664312082
"sunlight","day 015",44.9712960967712
"sunlight","day 016",44.9127146417093
"sunlight","day 017",44.7283856646833
"sunlight","day 018",44.4805927235239
"sunlight","day 019",44.2256504624129
"sunlight","day 020",43.9930779117666
"sunlight","day 021",43.8246362191288
"sunlight","day 022",43.8378506143193
"sunlight","day 023",44.1076312138524
"sunlight","day 024",44.486626703471
"sunlight","day 025",44.8617820539441
"sunlight","day 026",45.1503493638217
"sunlight","day 027",45.294956823874
"sunlight","day 028",45.2659061904704
"sunlight","day 029",45.1188173901556
"sunlight","day 030",44.9246805999067
"sunlight","day 031",44.7306488282552
"sunlight","day 032",44.5800486228915
"sunlight","day 033",44.5247378565858
"sunlight","day 034",44.5992338348751
"sunlight","day 035",44.7601602692843
"sunlight","day 036",44.9527202355565
"sunlight","day 037",45.1543278603214
"sunlight","day 038",45.3588242175561
"sunlight","day 039",45.59354711974
"sunlight","day 040",45.8804215130948
"sunlight","day 041",46.1862241403078
"sunlight","day 042",46.4777274081325
"sunlight","day 043",46.776834583121
"sunlight","day 044",47.1292478829649
"sunlight","day 045",47.6233893754573
"sunlight","day 046",48.368316985951
"sunlight","day 047",49.4587210756266
"sunlight","day 048",50.921202127606
"sunlight","day 049",52.7585562898896
"sunlight","day 050",54.94645224805
"sunlight","day 051",57.4407799540609
"sunlight","day 052",60.1454418879285
"sunlight","day 053",62.9490497455286
"sunlight","day 054",65.7310395581835
"sunlight","day 055",68.3524288302851
"sunlight","day 056",70.6097366230574
"sunlight","day 057",72.2924889595229
"sunlight","day 058",73.2267381530666
"sunlight","day 059",73.2840853452847
"sunlight","day 060",72.4818007002546
"sunlight","day 061",70.8875978623461
"sunlight","day 062",68.6252953746156
"sunlight","day 063",65.867740157616
"sunlight","day 064",62.9277877431991
"sunlight","day 065",60.1143276444558
"sunlight","day 066",57.5690606446637
"sunlight","day 067",55.3494551816294
"sunlight","day 068",53.4880283744648
"sunlight","day 069",51.9627562413878
"sunlight","day 070",50.7332140805793
"sunlight","day 071",49.7399154109671
"sunlight","day 072",48.9234790104117
"sunlight","day 073",48.2440064717573
"sunlight","day 074",47.6731577624021
"sunlight","day 075",47.2093435329741
"sunlight","day 076",46.8600251073575
"sunlight","day 077",46.6421158192294
"sunlight","day 078",46.5668143034408
"sunlight","day 079",46.6130083897438
"sunlight","day 080",46.7487330029449
"sunlight","day 081",46.9309222531656
"sunlight","day 082",47.136546003979
"sunlight","day 083",47.4338179474496
"sunlight","day 084",47.8962946340098
"sunlight","day 085",48.5276602190719
"sunlight","day 086",49.3000250070665
"sunlight","day 087",50.1399409646959
"sunlight","day 088",51.0033129911482
"sunlight","day 089",51.8434573735129
"sunlight","day 090",52.5598772657708
"sunlight","day 091",53.0470355593783
"sunlight","day 092",53.2330472288032
"sunlight","day 093",53.0863623611656
"sunlight","day 094",52.7031194111857
"sunlight","day 095",52.1869123969058
"sunlight","day 096",51.543469222057
"sunlight","day 097",50.7603400594337
"sunlight","day 098",49.8502302723946
"sunlight","day 099",48.8501757584337
"sunlight","day 100",47.8693793610234
"sunlight","day 101",47.0350492759722
"sunlight","day 102",46.4742481624536
"sunlight","day 103",46.2819184882268
"sunlight","day 104",46.4246674920264
"sunlight","day 105",46.8332699122215
"sunlight","day 106",47.4235057147415
"sunlight","day 107",48.1213296084714
"sunlight","day 108",48.9075151971667
"sunlight","day 109",49.7732601230877
"sunlight","day 110",50.6917264427626
"sunlight","day 111",51.5674332673544
"sunlight","day 112",52.3029884973176
"sunlight","day 113",52.8619981356395
"sunlight","day 114",53.2349386059261
"sunlight","day 115",53.4587699117264
"sunlight","day 116",53.576790192781
"sunlight","day 117",53.6111665536547
"sunlight","day 118",53.5652633066539
"sunlight","day 119",53.3883646302272
"sunlight","day 120",53.0352748438393
"sunlight","day 121",52.5369589648759
"sunlight","day 122",51.9583308293491
"sunlight","day 123",51.4239388498549
"sunlight","day 124",51.0371158119138
"sunlight","day 125",50.7566974161591
"sunlight","day 126",50.5045350248873
"sunlight","day 127",50.1990397319341
"sunlight","day 128",49.7698914670919
"sunlight","day 129",49.221372365644
"sunlight","day 130",48.6742398387645
"sunlight","day 131",48.260068408957
"sunlight","day 132",48.0493546712247
"sunlight","day 133",48.0702485774509
