"dimension","time","value"
"sunlight","day 001",36.0055036397927
"sunlight","day 002",36.6359000608624
"sunlight","day 003",37.2695879311497
"sunlight","day 004",37.902039252291
"sunlight","day 005",38.5243886145074
"sunlight","day 006",39.1198345233337
"sunlight","day 007",39.6742663367083
"sunlight","day 008",40.1922729068703
"sunlight","day 009",40.6837313597413
"sunlight","day 010",41.1609724216733
"sunlight","day 011",41.633919599533
"sunlight","day 012",42.1004139218148
"sunlight","day 013",42.5527339167727
"sunlight","day 014",42.972990590068
"sunlight","day 015",43.3453684332159
"sunlight","day 016",43.6725134037373
"sunlight","day 017",43.9616849209961
"sunlight","day 018",44.220134785721
"sunlight","day 019",44.4505037245163
"sunlight","day 020",44.6369957861237
"sunlight","day 021",44.7616582763183
"sunlight","day 022",44.816348206872
"sunlight","day 023",44.7984747056264
"sunlight","day 024",44.717614617622
"sunlight","day 025",44.585520313139
"sunlight","day 026",44.4110185749796
"sunlight","day 027",44.1921580003671
"sunlight","day 028",43.9212379559857
"sunlight","day 029",43.5783390719426
"sunlight","day 030",43.1471060913323
"sunlight","day 031",42.6376589457759
"sunlight","day 032",42.0593680708838
"sunlight","day 033",41.3921307296994
"sunlight","day 034",40.6384279895092
"sunlight","day 035",39.9205493071378
"sunlight","day 036",39.3660548983308
"sunlight","day 037",39.0037796249775
"sunlight","day 038",38.8334848664206
"sunlight","day 039",38.8373634256717
"sunlight","day 040",38.9942899460099
"sunlight","day 041",39.2874350081141
"sunlight","day 042",39.6960226661448
"sunlight","day 043",40.1791949307896
"sunlight","day 044",40.6922786125996
"sunlight","day 045",41.1980049950316
"sunlight","day 046",41.6706435921832
"sunlight","day 047",42.0915924261043
"sunlight","day 048",42.4604306307445
"sunlight","day 049",42.781623063794
"sunlight","day 050",43.0609963660043
"sunlight","day 051",43.3015546217682
"sunlight","day 052",43.4936499069818
"sunlight","day 053",43.6292854417202
"sunlight","day 054",43.7197210312717
"sunlight","day 055",43.7809645382793
"sunlight","day 056",43.8287594695931
"sunlight","day 057",43.874214627259
"sunlight","day 058",43.9101643498989
"sunlight","day 059",43.927137640749
"sunlight","day 060",43.9247166249248
"sunlight","day 061",43.9075553736724
"sunlight","day 062",43.8915426208813
"sunlight","day 063",43.8943509967796
"sunlight","day 064",43.9295540543076
"sunlight","day 065",44.006130274858
"sunlight","day 066",44.1181330218788
"sunlight","day 067",44.253469720428
"sunlight","day 068",44.4039576458512
"sunlight","day 069",44.5796291108112
"sunlight","day 070",44.7941890090592
"sunlight","day 071",45.0578175213831
"sunlight","day 072",45.3743541272678
"sunlight","day 073",45.7258002139498
"sunlight","day 074",46.091771871773
"sunlight","day 075",46.4641820957591
"sunlight","day 076",46.840964599726
"sunlight","day 077",47.231839067998
"sunlight","day 078",47.6462113715762
"sunlight","day 079",48.0804461576605
"sunlight","day 080",48.5291261985923
"sunlight","day 081",48.9927479910812
"sunlight","day 082",49.4737526976493
"sunlight","day 083",49.9764464197014
"sunlight","day 084",50.5078637261245
"sunlight","day 085",51.0840881168511
"sunlight","day 086",51.7235127502723
"sunlight","day 087",52.4417844476261
"sunlight","day 088",53.2428532960748
"sunlight","day 089",54.1290581074907
"sunlight","day 090",55.1080367523571
"sunlight","day 091",56.2050592482182
"sunlight","day 092",57.5106251422491
"sunlight","day 093",59.0999094382746
"sunlight","day 094",60.9215594370868
"sunlight","day 095",62.8920753316724
"sunlight","day 096",64.925896586827
"sunlight","day 097",66.9394002640548
"sunlight","day 098",68.8587745398812
"sunlight","day 099",70.6142040848223
"sunlight","day 100",72.1420484303326
"sunlight","day 101",73.3823217274224
"sunlight","day 102",74.283481744387
"sunlight","day 103",74.8040147786766
"sunlight","day 104",74.9340776270762
"sunlight","day 105",74.6755979662674
"sunlight","day 106",74.0459164931839
"sunlight","day 107",73.0702197883377
"sunlight","day 108",71.7887433076915
"sunlight","day 109",70.2420285812869
"sunlight","day 110",68.4693017306004
"sunlight","day 111",66.5082137972876
"sunlight","day 112",64.3985272932808
"sunlight","day 113",62.1900256914419
"sunlight","day 114",59.9438886610542
"sunlight","day 115",57.7568596961542
"sunlight","day 116",55.7299433475353
"sunlight","day 117",53.9456245682628
"sunlight","day 118",52.4796345963948
"sunlight","day 119",51.3992094076874
"sunlight","day 120",50.7570545004568
"sunlight","day 121",50.556248725562
"sunlight","day 122",50.8295879451668
"sunlight","day 123",51.778362714112
"sunlight","day 124",53.4600674311927
"sunlight","day 125",55.1885171783454
"sunlight","day 126",56.2432085977145
"sunlight","day 127",56.5100438891344
"sunlight","day 128",56.078427390535
"sunlight","day 129",55.2317734848525
"sunlight","day 130",54.2510255049495
"sunlight","day 131",53.3777454088593
"sunlight","day 132",52.7503414540449
"sunlight","day 133",52.4506677017776
"sunlight","day 134",52.4375151291314
