"dimension","time","value"
"sunlight","day 001",28.6293058464094
"sunlight","day 002",28.4102524383912
"sunlight","day 003",28.2091235200165
"sunlight","day 004",28.0447995313388
"sunlight","day 005",27.9384419598682
"sunlight","day 006",27.9169901124324
"sunlight","day 007",28.0080019683246
"sunlight","day 008",28.235732377383
"sunlight","day 009",28.6217054663687
"sunlight","day 010",29.1798255991914
"sunlight","day 011",29.9039161138215
"sunlight","day 012",30.7150960073254
"sunlight","day 013",31.4683070427622
"sunlight","day 014",31.8264863880663
"sunlight","day 015",31.63617370115
"sunlight","day 016",31.6703231949604
"sunlight","day 017",32.5963442554598
"sunlight","day 018",33.7330524056365
"sunlight","day 019",34.2912466399691
"sunlight","day 020",34.3982537018741
"sunlight","day 021",34.3845953317128
"sunlight","day 022",34.4770455086887
"sunlight","day 023",34.8096682802699
"sunlight","day 024",35.2758686238522
"sunlight","day 025",35.8080101082289
"sunlight","day 026",36.3600414740714
"sunlight","day 027",36.86652056672
"sunlight","day 028",37.2707991984018
"sunlight","day 029",37.5707959442213
"sunlight","day 030",37.7786733454527
"sunlight","day 031",37.9090030451697
"sunlight","day 032",37.9796562959487
"sunlight","day 033",38.0192936865763
"sunlight","day 034",38.0575933967608
"sunlight","day 035",38.1175146336869
"sunlight","day 036",38.2217533780857
"sunlight","day 037",38.3986716773968
"sunlight","day 038",38.6731484354765
"sunlight","day 039",39.0504639151395
"sunlight","day 040",39.5262188558936
"sunlight","day 041",40.0768945450589
"sunlight","day 042",40.6781546211797
"sunlight","day 043",41.3215115798813
"sunlight","day 044",42.0077642524339
"sunlight","day 045",42.7519805858675
"sunlight","day 046",43.5464431696449
"sunlight","day 047",44.3724394154397
"sunlight","day 048",45.1953855027096
"sunlight","day 049",45.9808071578863
"sunlight","day 050",46.710539527512
"sunlight","day 051",47.372531283503
"sunlight","day 052",47.9628757791612
"sunlight","day 053",48.4768806807618
"sunlight","day 054",48.8985662250866
"sunlight","day 055",49.2090021419201
"sunlight","day 056",49.3887435625516
"sunlight","day 057",49.4251472148388
"sunlight","day 058",49.3332908114091
"sunlight","day 059",49.1380263102539
"sunlight","day 060",48.8755816660501
"sunlight","day 061",48.5867408847025
"sunlight","day 062",48.3191361803433
"sunlight","day 063",48.1212951283906
"sunlight","day 064",48.0384785411786
"sunlight","day 065",48.1092788369099
"sunlight","day 066",48.3643597301886
"sunlight","day 067",48.890445671637
"sunlight","day 068",49.7254471947123
"sunlight","day 069",50.6501067248314
"sunlight","day 070",51.4235336182741
"sunlight","day 071",51.9754730628136
"sunlight","day 072",52.2924110706306
"sunlight","day 073",52.417161120045
"sunlight","day 074",52.4018060267266
"sunlight","day 075",52.2791784896067
"sunlight","day 076",52.0763222714358
"sunlight","day 077",51.8163755069803
"sunlight","day 078",51.5182200084122
"sunlight","day 079",51.1876179255114
"sunlight","day 080",50.8311266602076
"sunlight","day 081",50.4716042854226
"sunlight","day 082",50.1378070308727
"sunlight","day 083",49.8657830824609
"sunlight","day 084",49.686199718684
"sunlight","day 085",49.600908632227
"sunlight","day 086",49.6098085731523
"sunlight","day 087",49.7305268789713
"sunlight","day 088",49.9728409295333
"sunlight","day 089",50.3432899467063
"sunlight","day 090",50.8485614319252
"sunlight","day 091",51.4950983725701
"sunlight","day 092",52.2882174202359
"sunlight","day 093",53.2303823551444
"sunlight","day 094",54.3137718078095
"sunlight","day 095",55.528385422786
"sunlight","day 096",56.8657920505003
"sunlight","day 097",58.3126546700059
