"dimension","time","value"
"sunlight","day 001",49.4902942740825
"sunlight","day 002",49.6398909456306
"sunlight","day 003",49.8739770122766
"sunlight","day 004",50.1119887982032
"sunlight","day 005",50.2722689999399
"sunlight","day 006",50.427347840233
"sunlight","day 007",50.6561368195529
"sunlight","day 008",50.908885023049
"sunlight","day 009",51.092726982925
"sunlight","day 010",51.0710014349238
"sunlight","day 011",50.7412589304677
"sunlight","day 012",50.1816930801576
"sunlight","day 013",49.5069982933776
"sunlight","day 014",48.797229115467
"sunlight","day 015",48.1431506143094
"sunlight","day 016",47.7130098120101
"sunlight","day 017",47.6116173770029
"sunlight","day 018",47.6125566088146
"sunlight","day 019",47.4617500979345
"sunlight","day 020",47.1257049676103
"sunlight","day 021",46.6344909395313
"sunlight","day 022",46.0518435963947
"sunlight","day 023",45.4602693492477
"sunlight","day 024",44.9722676296189
"sunlight","day 025",44.6649945044968
"sunlight","day 026",44.5941745654186
"sunlight","day 027",44.7755042297553
"sunlight","day 028",45.2114207693283
"sunlight","day 029",45.8913530479265
"sunlight","day 030",46.8062614942729
"sunlight","day 031",47.96624120486
"sunlight","day 032",49.3979899663496
"sunlight","day 033",51.1754816583112
"sunlight","day 034",53.317615726209
"sunlight","day 035",55.5757177861762
"sunlight","day 036",57.7192793723358
"sunlight","day 037",59.8580295201004
"sunlight","day 038",62.1155071213716
"sunlight","day 039",64.3302529927162
"sunlight","day 040",66.2718228623061
"sunlight","day 041",67.7188301800691
"sunlight","day 042",68.4860744933941
"sunlight","day 043",68.5240420177584
"sunlight","day 044",67.8523521016696
"sunlight","day 045",66.6222518190628
"sunlight","day 046",64.9833271554673
"sunlight","day 047",63.0750909917499
"sunlight","day 048",61.0336363445399
"sunlight","day 049",58.9981343535471
"sunlight","day 050",57.1234885150393
"sunlight","day 051",55.522294075154
"sunlight","day 052",54.1221809229477
"sunlight","day 053",52.8264749035934
"sunlight","day 054",51.626251043811
"sunlight","day 055",50.5432886338528
"sunlight","day 056",49.6344348365554
"sunlight","day 057",48.96334111918
"sunlight","day 058",48.5858082941012
"sunlight","day 059",48.5235406173436
"sunlight","day 060",48.6697067744172
"sunlight","day 061",48.9286209362624
"sunlight","day 062",49.377714786056
"sunlight","day 063",50.1062465233916
"sunlight","day 064",51.0776629012964
"sunlight","day 065",52.174996398155
"sunlight","day 066",53.1325572215301
"sunlight","day 067",53.8241876907133
"sunlight","day 068",54.2096720187241
"sunlight","day 069",54.4040684687668
"sunlight","day 070",54.5376930415411
"sunlight","day 071",54.6466186375435
"sunlight","day 072",54.7550356321666
"sunlight","day 073",54.9338474005905
"sunlight","day 074",55.2796057447421
"sunlight","day 075",55.9447431737489
"sunlight","day 076",57.0103321664075
"sunlight","day 077",58.2161243729917
"sunlight","day 078",59.239348873224
"sunlight","day 079",59.8484652931454
"sunlight","day 080",59.8701931052768
"sunlight","day 081",59.2730606217431
"sunlight","day 082",58.1069470674838
"sunlight","day 083",56.6053264790957
"sunlight","day 084",55.0230814701455
"sunlight","day 085",53.5171341504222
"sunlight","day 086",52.2281348371496
"sunlight","day 087",51.2610953302346
"sunlight","day 088",50.4551983596297
"sunlight","day 089",49.5968026948977
"sunlight","day 090",48.5350186673739
"sunlight","day 091",47.1755964655252
"sunlight","day 092",45.5880941445708
"sunlight","day 093",43.9009512921291
"sunlight","day 094",42.3143257586602
"sunlight","day 095",41.010998583623
"sunlight","day 096",40.0325252996291
"sunlight","day 097",39.3660826292468
"sunlight","day 098",38.9225575617201
"sunlight","day 099",38.6137376326591
"sunlight","day 100",38.4313022964625
"sunlight","day 101",38.3656827383594
"sunlight","day 102",38.322425148111
"sunlight","day 103",38.2243770404959
"sunlight","day 104",38.1484762258307
"sunlight","day 105",38.186715645105
"sunlight","day 106",38.337218466463
"sunlight","day 107",38.5960674327586
"sunlight","day 108",39.007935266628
"sunlight","day 109",39.4904493410222
"sunlight","day 110",39.9606147431022
"sunlight","day 111",40.4814197844765
"sunlight","day 112",41.1336312330652
"sunlight","day 113",41.9231464575861
"sunlight","day 114",42.8043651428879
"sunlight","day 115",43.6005656375431
"sunlight","day 116",44.1207795095851
"sunlight","day 117",44.2481725411661
"sunlight","day 118",43.924377008215
"sunlight","day 119",43.2507569476489
"sunlight","day 120",42.3625379184338
"sunlight","day 121",41.3706598067432
"sunlight","day 122",40.3625508234307
"sunlight","day 123",39.3558781508637
"sunlight","day 124",38.3609785611257
"sunlight","day 125",37.4286282136505
"sunlight","day 126",36.6169584813836
"sunlight","day 127",35.9730822039682
"sunlight","day 128",35.5501426507219
"sunlight","day 129",35.4374643216212
"sunlight","day 130",35.7373206942761
"sunlight","day 131",36.5604307425094
"sunlight","day 132",38.0471315103622
"sunlight","day 133",40.2788936958311
"sunlight","day 134",43.0721045425144
"sunlight","day 135",46.178865495466
"sunlight","day 136",49.3592182599598
"sunlight","day 137",52.3817199353179
"sunlight","day 138",55.041048936836
"sunlight","day 139",57.1854550649735
"sunlight","day 140",58.8513523448715
"sunlight","day 141",60.1208641455174
"sunlight","day 142",61.0707869866017
"sunlight","day 143",61.7725715278642
"sunlight","day 144",62.2816118385394
"sunlight","day 145",62.6550843123619
"sunlight","day 146",62.9733512315726
"sunlight","day 147",63.3061874270009
"sunlight","day 148",63.6578320353232
"sunlight","day 149",64.0157784842112
"sunlight","day 150",64.3660730594721
"humidity","day 001",46.6943380110375
"humidity","day 002",44.9748607835402
"humidity","day 003",43.3115091470716
"humidity","day 004",41.7677765685021
"humidity","day 005",40.4181412836236
"humidity","day 006",39.3491815382636
"humidity","day 007",38.6177702287886
"humidity","day 008",38.1498588436867
"humidity","day 009",37.8615278316206
"humidity","day 010",37.7602948898305
"humidity","day 011",37.8869636790809
"humidity","day 012",38.324044465653
"humidity","day 013",39.0914720931997
"humidity","day 014",39.9171731093409
"humidity","day 015",40.5012936683796
"humidity","day 016",40.7248666473813
"humidity","day 017",40.5602311361863
"humidity","day 018",40.1640643529698
"humidity","day 019",39.7076598246073
"humidity","day 020",39.2364381844385
"humidity","day 021",38.7640355499277
"humidity","day 022",38.302822868574
"humidity","day 023",37.8603554922605
"humidity","day 024",37.431647558642
"humidity","day 025",37.0290378953291
"humidity","day 026",36.676401326586
"humidity","day 027",36.4219326702123
"humidity","day 028",36.301666217685
"humidity","day 029",36.2786741616559
