"dimension","time","value"
"sunlight","day 001",56.2835362988915
"sunlight","day 002",56.0824279287325
"sunlight","day 003",55.8991911467923
"sunlight","day 004",55.7529415663538
"sunlight","day 005",55.6601697745205
"sunlight","day 006",55.6276404952036
"sunlight","day 007",55.6601712984004
"sunlight","day 008",55.7645170016463
"sunlight","day 009",55.9466805972053
"sunlight","day 010",56.2077205287176
"sunlight","day 011",56.5455073690557
"sunlight","day 012",56.950104756646
"sunlight","day 013",57.4078397865282
"sunlight","day 014",57.8979003146411
"sunlight","day 015",58.4018483820382
"sunlight","day 016",58.9178820093336
"sunlight","day 017",59.4458847859685
"sunlight","day 018",59.9758465971331
"sunlight","day 019",60.4929081651656
"sunlight","day 020",60.9727072652493
"sunlight","day 021",61.3870540333687
"sunlight","day 022",61.7019509958692
"sunlight","day 023",61.8847820690413
"sunlight","day 024",61.9189747026464
"sunlight","day 025",61.8096310950074
"sunlight","day 026",61.5613301466821
"sunlight","day 027",61.1577161109605
"sunlight","day 028",60.5808956792395
"sunlight","day 029",59.8277599426116
"sunlight","day 030",58.9105078565498
"sunlight","day 031",57.8877854343555
"sunlight","day 032",56.8263716780293
"sunlight","day 033",55.7791304865409
"sunlight","day 034",54.7909991222794
"sunlight","day 035",53.8891234043422
"sunlight","day 036",53.0976038584474
"sunlight","day 037",52.4461512800889
"sunlight","day 038",51.9703644415976
"sunlight","day 039",51.723783752875
"sunlight","day 040",51.7565653371879
"sunlight","day 041",52.0873865336917
"sunlight","day 042",52.71634603519
"sunlight","day 043",53.6007067331896
"sunlight","day 044",54.6884423738029
"sunlight","day 045",55.9302748579157
"sunlight","day 046",57.2666216315603
"sunlight","day 047",58.6341302011707
"sunlight","day 048",59.9660925745719
"sunlight","day 049",61.1992354984711
"sunlight","day 050",62.2873801737145
"sunlight","day 051",63.1845346049124
"sunlight","day 052",63.828359557595
"sunlight","day 053",64.1888471170139
"sunlight","day 054",64.3816618863903
"sunlight","day 055",64.5520973992559
"sunlight","day 056",64.8182903924176
"sunlight","day 057",65.3118914427557
