"dimension","time","value"
"sunlight","day 001",34.4824920609216
"sunlight","day 002",34.3237541137773
"sunlight","day 003",34.2601597175506
"sunlight","day 004",34.3378810705617
"sunlight","day 005",34.5669698186265
"sunlight","day 006",34.8717461978844
"sunlight","day 007",35.1641307171008
"sunlight","day 008",35.3921763852231
"sunlight","day 009",35.5290830260681
"sunlight","day 010",35.6125052227495
"sunlight","day 011",35.6922191009791
"sunlight","day 012",35.8020321975657
"sunlight","day 013",35.9728045875049
"sunlight","day 014",36.2395750874446
"sunlight","day 015",36.6238121251982
"sunlight","day 016",37.0885238315901
"sunlight","day 017",37.5945032748134
"sunlight","day 018",38.1521435695253
"sunlight","day 019",38.7621370599826
"sunlight","day 020",39.336772962378
"sunlight","day 021",39.7798426749863
"sunlight","day 022",40.0495494524753
"sunlight","day 023",40.1339122811382
"sunlight","day 024",40.0899847252358
"sunlight","day 025",40.0077671479939
"sunlight","day 026",39.9699796833743
"sunlight","day 027",40.0134875168447
"sunlight","day 028",40.156753901004
"sunlight","day 029",40.3904893054689
"sunlight","day 030",40.6956751463113
"sunlight","day 031",41.0421294084041
"sunlight","day 032",41.4120674873832
"sunlight","day 033",41.8484578531322
"sunlight","day 034",42.3954387279877
"sunlight","day 035",43.0410742698483
"sunlight","day 036",43.7629148158325
"sunlight","day 037",44.5525294843753
"sunlight","day 038",45.3904364774085
"sunlight","day 039",46.1989315495358
"sunlight","day 040",46.8918560930104
"sunlight","day 041",47.4074564980132
"sunlight","day 042",47.7014538072946
"sunlight","day 043",47.7750626759537
"sunlight","day 044",47.641161063254
"sunlight","day 045",47.3145632121909
"sunlight","day 046",46.8134799845311
"sunlight","day 047",46.1950704697116
"sunlight","day 048",45.6691799501547
"sunlight","day 049",45.4387605489004
"sunlight","day 050",45.5265055584733
"sunlight","day 051",45.8892768638256
"sunlight","day 052",46.4008695501343
"sunlight","day 053",46.9221208781578
"sunlight","day 054",47.3451036107547
"sunlight","day 055",47.5878027522081
"sunlight","day 056",47.6406167703993
"sunlight","day 057",47.5371453652351
"sunlight","day 058",47.4113797011288
"sunlight","day 059",47.3912453470439
"sunlight","day 060",47.4800140256405
"sunlight","day 061",47.6588926816679
"sunlight","day 062",47.9454829945376
"sunlight","day 063",48.3748173312772
"sunlight","day 064",49.0152560747181
"sunlight","day 065",49.9182347055691
"sunlight","day 066",51.0313923375056
"sunlight","day 067",52.2660362071681
"sunlight","day 068",53.5394800170223
"sunlight","day 069",54.8041383037949
"sunlight","day 070",56.014550226136
"sunlight","day 071",57.098652596129
"sunlight","day 072",57.9915116016471
"sunlight","day 073",58.6833132802897
"sunlight","day 074",59.1621051898992
"sunlight","day 075",59.352261119563
"sunlight","day 076",59.202856731291
"sunlight","day 077",58.8254489475397
"sunlight","day 078",58.3531787918494
"sunlight","day 079",57.8430424316502
"sunlight","day 080",57.3189555471259
"sunlight","day 081",56.7486567255866
"sunlight","day 082",56.083602680928
"sunlight","day 083",55.2662997262626
"sunlight","day 084",54.2588712983444
"sunlight","day 085",53.1108597292753
"sunlight","day 086",51.886589815702
"sunlight","day 087",50.6528537578084
"sunlight","day 088",49.592397259308
"sunlight","day 089",48.8871920205343
"sunlight","day 090",48.5930879654787
"sunlight","day 091",48.6986599597556
