"dimension","time","value"
"sunlight","day 001",35.3090136743316
"sunlight","day 002",35.5498495670473
"sunlight","day 003",35.8434459836333
"sunlight","day 004",36.2255262842621
"sunlight","day 005",36.7126774237908
"sunlight","day 006",37.2571414676719
"sunlight","day 007",37.7975914909548
"sunlight","day 008",38.2827694964807
"sunlight","day 009",38.6566684647006
"sunlight","day 010",38.8342163587161
"sunlight","day 011",38.7614413059132
"sunlight","day 012",38.5378371081673
"sunlight","day 013",38.2947262174802
"sunlight","day 014",38.1372800118696
"sunlight","day 015",38.1258317642383
"sunlight","day 016",38.167513401013
"sunlight","day 017",38.1658598605761
"sunlight","day 018",38.1632194756078
"sunlight","day 019",38.220434012222
"sunlight","day 020",38.3335055759714
"sunlight","day 021",38.4914475442954
"sunlight","day 022",38.7201580427431
"sunlight","day 023",39.0450527126348
"sunlight","day 024",39.439023408122
"sunlight","day 025",39.8104219035242
"sunlight","day 026",40.0736407031031
"sunlight","day 027",40.2220716394652
"sunlight","day 028",40.2733381747237
"sunlight","day 029",40.2629909606714
"sunlight","day 030",40.2239760693952
"sunlight","day 031",40.1608940644769
"sunlight","day 032",40.0965250460333
"sunlight","day 033",40.1547127688263
"sunlight","day 034",40.4719883940434
"sunlight","day 035",41.1345690539299
"sunlight","day 036",42.1954541990529
"sunlight","day 037",43.6250865822085
"sunlight","day 038",45.41018663741
"sunlight","day 039",47.685142221311
"sunlight","day 040",50.553959421428
"sunlight","day 041",53.8514498260886
"sunlight","day 042",57.319629098876
"sunlight","day 043",60.5985237035852
"sunlight","day 044",63.3321333566961
"sunlight","day 045",65.3066406129273
"sunlight","day 046",66.4349010904801
"sunlight","day 047",66.6929341386421
"sunlight","day 048",66.2122115201968
"sunlight","day 049",65.154093214378
"sunlight","day 050",63.6440396527242
"sunlight","day 051",61.813796412394
"sunlight","day 052",59.8561492007204
"sunlight","day 053",57.9452968884387
"sunlight","day 054",56.1200508697165
"sunlight","day 055",54.3881325372059
"sunlight","day 056",52.7682907540635
"sunlight","day 057",51.2587317912573
"sunlight","day 058",49.7644640804963
"sunlight","day 059",48.2084357462251
"sunlight","day 060",46.678551523089
"sunlight","day 061",45.2911577095931
"sunlight","day 062",44.1114102494789
"sunlight","day 063",43.1791225653785
"sunlight","day 064",42.4839283502488
"sunlight","day 065",42.0231383555352
"sunlight","day 066",41.8373733713016
"sunlight","day 067",41.8371644784695
"sunlight","day 068",41.9277361539287
"sunlight","day 069",42.1433981584929
"sunlight","day 070",42.5540053421475
"sunlight","day 071",43.2425076276428
"sunlight","day 072",44.2533348508358
"sunlight","day 073",45.463741427247
"sunlight","day 074",46.7306445077496
"sunlight","day 075",47.996787604964
"sunlight","day 076",49.2242960437878
"sunlight","day 077",50.3669960364794
"sunlight","day 078",51.3643961943306
"sunlight","day 079",52.1070338374051
"sunlight","day 080",52.4997731329368
"sunlight","day 081",52.5537569280665
"sunlight","day 082",52.2980382831533
"sunlight","day 083",51.727032431523
"sunlight","day 084",50.8566953007282
"sunlight","day 085",49.8237834222636
"sunlight","day 086",48.7833061608289
"sunlight","day 087",47.8382182886333
"sunlight","day 088",47.0624659746285
"sunlight","day 089",46.526133534165
"sunlight","day 090",46.3009191536688
"sunlight","day 091",46.4494764748545
"sunlight","day 092",46.996667089517
"sunlight","day 093",47.9643702426954
"sunlight","day 094",49.4003278423249
"sunlight","day 095",51.2066471712224
"sunlight","day 096",52.6770343488372
"sunlight","day 097",53.1595178629133
"sunlight","day 098",52.827816837742
"sunlight","day 099",52.0577498693265
"sunlight","day 100",51.2078428039687
"sunlight","day 101",50.5792101842815
"sunlight","day 102",50.2606140878222
"sunlight","day 103",50.2865877233723
"sunlight","day 104",50.6871012896648
"sunlight","day 105",51.4594753842876
"sunlight","day 106",52.4749952102967
"sunlight","day 107",53.5984951602801
"sunlight","day 108",54.7638249882462
"sunlight","day 109",55.8050253213992
"sunlight","day 110",56.545552562934
"sunlight","day 111",56.8913933849749
"sunlight","day 112",56.7949226093083
"sunlight","day 113",56.3115373874375
"sunlight","day 114",55.5528714137333
"sunlight","day 115",54.7524822243192
"sunlight","day 116",54.1272043084315
"sunlight","day 117",53.7050561260052
"sunlight","day 118",53.4618587467526
"sunlight","day 119",53.3534597087975
"sunlight","day 120",53.3635280389302
"sunlight","day 121",53.6069922501965
"sunlight","day 122",54.1494776118469
"sunlight","day 123",54.7281369316957
"sunlight","day 124",55.0772960384837
"sunlight","day 125",55.2484453060936
"sunlight","day 126",55.3597280104714
"sunlight","day 127",55.4787344906753
"sunlight","day 128",55.6594965696969
"sunlight","day 129",55.9487637763652
"sunlight","day 130",56.3779606905272
"sunlight","day 131",56.9654741681811
"sunlight","day 132",57.6919448370686
"sunlight","day 133",58.5208482714423
"sunlight","day 134",59.384746059857
"sunlight","day 135",60.2167173207737
"sunlight","day 136",60.9828252779767
"sunlight","day 137",61.6622193696302
"sunlight","day 138",62.253409786094
"sunlight","day 139",62.7505234671499
"sunlight","day 140",63.1107935980701
"sunlight","day 141",63.2914258868635
"sunlight","day 142",63.2864098869944
"sunlight","day 143",63.0863717495065
"sunlight","day 144",62.6317001703056
"sunlight","day 145",61.893733011372
"sunlight","day 146",61.0178422541212
"sunlight","day 147",60.1828614637474
"sunlight","day 148",59.527436421123
"sunlight","day 149",59.1303086336847
"sunlight","day 150",58.8707902994484
"humidity","day 001",16.1769269139301
"humidity","day 002",16.9772565303362
"humidity","day 003",17.6017215669991
"humidity","day 004",18.0439962332934
"humidity","day 005",18.3331040927761
"humidity","day 006",18.4782584519032
"humidity","day 007",18.4954906645191
"humidity","day 008",18.4479145311249
"humidity","day 009",18.3969264873644
"humidity","day 010",18.3499710627977
"humidity","day 011",18.3031662689715
"humidity","day 012",18.2612759514645
"humidity","day 013",18.2337716400142
"humidity","day 014",18.2403097669609
"humidity","day 015",18.2970950362485
"humidity","day 016",18.3963403356328
