"dimension","time","value"
"sunlight","day 001",66.9397447352847
"sunlight","day 002",66.7060289109842
"sunlight","day 003",66.4447778724082
"sunlight","day 004",66.1384041026492
"sunlight","day 005",65.7773261711843
"sunlight","day 006",65.3686694002186
"sunlight","day 007",64.9237980802356
"sunlight","day 008",64.4543256221045
"sunlight","day 009",63.9726101326105
"sunlight","day 010",63.4937393818185
"sunlight","day 011",63.029106781595
"sunlight","day 012",62.5725986477339
"sunlight","day 013",62.1198697845196
"sunlight","day 014",61.6911560462732
"sunlight","day 015",61.3080838275182
"sunlight","day 016",60.9732606335511
"sunlight","day 017",60.6809428719574
"sunlight","day 018",60.411001448704
"sunlight","day 019",60.1451124716901
"sunlight","day 020",59.8865583581617
"sunlight","day 021",59.6461183748702
"sunlight","day 022",59.4429528772427
"sunlight","day 023",59.3001220357744
"sunlight","day 024",59.2367008712594
"sunlight","day 025",59.2287556621928
"sunlight","day 026",59.2477037570273
"sunlight","day 027",59.2911800692444
"sunlight","day 028",59.3578393309465
"sunlight","day 029",59.4241979836917
"sunlight","day 030",59.4551634349634
"sunlight","day 031",59.3913452464919
"sunlight","day 032",59.1802784498759
"sunlight","day 033",58.8214978019413
"sunlight","day 034",58.403133934366
"sunlight","day 035",58.3157012530077
"sunlight","day 036",58.8413728782113
"sunlight","day 037",59.5265730140909
"sunlight","day 038",59.8730090692197
"sunlight","day 039",59.9392701862386
"sunlight","day 040",59.9021176559371
"sunlight","day 041",59.8541196276306
"sunlight","day 042",59.8624884867847
"sunlight","day 043",59.9772067049401
"sunlight","day 044",60.2201241318071
"sunlight","day 045",60.5272844975371
"sunlight","day 046",60.8488842042832
"sunlight","day 047",61.142688100884
"sunlight","day 048",61.3587570075711
"sunlight","day 049",61.4500999294402
"sunlight","day 050",61.389222639651
"sunlight","day 051",61.161731923635
"sunlight","day 052",60.7861418478498
"sunlight","day 053",60.2896208536982
"sunlight","day 054",59.7010476013392
"sunlight","day 055",59.0475171991624
"sunlight","day 056",58.3472803297221
"sunlight","day 057",57.6164416702699
"sunlight","day 058",56.8713663026789
"sunlight","day 059",56.1323903544696
"sunlight","day 060",55.4354737311278
"sunlight","day 061",54.82127094489
"sunlight","day 062",54.33359115703
"sunlight","day 063",54.0091674318661
"sunlight","day 064",53.8532737968572
"sunlight","day 065",53.8629201877674
"sunlight","day 066",54.0272755437091
"sunlight","day 067",54.310134804384
"sunlight","day 068",54.669493957839
"sunlight","day 069",55.0651278524326
"sunlight","day 070",55.4627902091461
"sunlight","day 071",55.850371379139
"sunlight","day 072",56.2179256376472
"sunlight","day 073",56.5420263260329
"sunlight","day 074",56.7957497152166
"sunlight","day 075",56.951664728223
"sunlight","day 076",56.9859635664901
"sunlight","day 077",56.889838893004
"sunlight","day 078",56.661559079603
"sunlight","day 079",56.3126948719883
"sunlight","day 080",55.8558575366463
"sunlight","day 081",55.2945180493428
"sunlight","day 082",54.6275663150984
"sunlight","day 083",53.8447082466754
"sunlight","day 084",52.9371340288662
"sunlight","day 085",51.9111549268438
"sunlight","day 086",50.773203151934
"sunlight","day 087",49.5301703683346
"sunlight","day 088",48.2456759108678
"sunlight","day 089",46.9902075862663
"sunlight","day 090",45.8013400943359
"sunlight","day 091",44.7362534472519
"sunlight","day 092",43.9634620135915
"sunlight","day 093",43.5358952979162
"sunlight","day 094",42.9328089923212
"sunlight","day 095",41.6832710619384
"sunlight","day 096",40.0892723765143
"sunlight","day 097",38.5761179883415
"sunlight","day 098",37.2894467752845
"sunlight","day 099",36.2817999894899
"sunlight","day 100",35.512994554663
"sunlight","day 101",34.9269155975148
"sunlight","day 102",34.4964453852219
"sunlight","day 103",34.2044628719191
"sunlight","day 104",34.0448366191073
"sunlight","day 105",34.0126062771681
"sunlight","day 106",34.0965062446406
"sunlight","day 107",34.2753649762831
"sunlight","day 108",34.5032759200589
"sunlight","day 109",34.76033695905
"sunlight","day 110",35.033674400059
"sunlight","day 111",35.3041941788348
"sunlight","day 112",35.5545920254543
"sunlight","day 113",35.78094321836
"sunlight","day 114",35.985079529762
"sunlight","day 115",36.1784791585728
"sunlight","day 116",36.3727141507761
"sunlight","day 117",36.5700855139365
"sunlight","day 118",36.768388619334
"sunlight","day 119",36.9566673315297
"sunlight","day 120",37.1222729383651
"sunlight","day 121",37.2545379275216
"sunlight","day 122",37.3433585972502
"sunlight","day 123",37.3789052882413
"sunlight","day 124",37.3526312902242
"sunlight","day 125",37.2608476466452
"sunlight","day 126",37.1069876005378
"sunlight","day 127",36.9181154395677
"sunlight","day 128",36.7423370446448
"sunlight","day 129",36.6680753611004
"sunlight","day 130",36.7180141106628
"sunlight","day 131",36.8983186633931
"sunlight","day 132",37.2299540383732
"sunlight","day 133",37.7298963693186
"sunlight","day 134",38.3843665994581
"sunlight","day 135",39.1571798577571
"sunlight","day 136",39.9532832066131
"sunlight","day 137",40.6705286317028
"sunlight","day 138",41.237255878385
"sunlight","day 139",41.5943756790558
"sunlight","day 140",41.7025949545769
"sunlight","day 141",41.527593410405
"sunlight","day 142",41.0351457019111
"sunlight","day 143",40.1989386645449
"sunlight","day 144",39.0242129041559
"sunlight","day 145",37.5372191781626
"sunlight","day 146",35.8166950798589
"sunlight","day 147",33.9455854421946
"sunlight","day 148",31.9711772208668
"sunlight","day 149",29.9294532704637
"sunlight","day 150",27.8468379183918
"humidity","day 001",45.0612485629913
"humidity","day 002",44.0315351880254
"humidity","day 003",43.0515840834452
"humidity","day 004",42.1740362138144
"humidity","day 005",41.4465724050599
"humidity","day 006",40.8950700053413
"humidity","day 007",40.531354715797
"humidity","day 008",40.3328491272492
"humidity","day 009",40.2672756392776
"humidity","day 010",40.297958996809
"humidity","day 011",40.389148708632
"humidity","day 012",40.5131909936364
"humidity","day 013",40.6429812960103
"humidity","day 014",40.7455152510337
"humidity","day 015",40.7934377855142
"humidity","day 016",40.7878908012796
"humidity","day 017",40.7331934735959
"humidity","day 018",40.6178770964628
"humidity","day 019",40.4272888011024
"humidity","day 020",40.1498269488931
"humidity","day 021",39.7808181779965
"humidity","day 022",39.3402510035525
"humidity","day 023",38.8459579872856
"humidity","day 024",38.2955412199998
"humidity","day 025",37.7305022487064
"humidity","day 026",37.1979202506822
"humidity","day 027",36.7149640454005
"humidity","day 028",36.2905173141122
"humidity","day 029",35.9302335429821
"humidity","day 030",35.6344698084932
"humidity","day 031",35.3856277434871
"humidity","day 032",35.1645475503646
"humidity","day 033",34.963779153404
"humidity","day 034",34.7761665222516
"humidity","day 035",34.5840200861465
"humidity","day 036",34.3738975345127
"humidity","day 037",34.1598791379222
"humidity","day 038",33.959670440151
"humidity","day 039",33.7779554966421
"humidity","day 040",33.6180543149692
"humidity","day 041",33.4908521995601
"humidity","day 042",33.410135086984
"humidity","day 043",33.3937261455229
"humidity","day 044",33.4554785296495
"humidity","day 045",33.5898426425399
"humidity","day 046",33.7883477082394
"humidity","day 047",34.0387356974059
"humidity","day 048",34.3115414245434
"humidity","day 049",34.5739199650532
"humidity","day 050",34.7967145940779
"humidity","day 051",34.9541564513346
"humidity","day 052",35.0303399350943
"humidity","day 053",35.0109076113736
"humidity","day 054",34.8778314586161
"humidity","day 055",34.6087204806967
"humidity","day 056",34.1674023707865
"humidity","day 057",33.5177752316796
"humidity","day 058",32.6378001153639
"humidity","day 059",31.5167793336452
"humidity","day 060",30.1753172884077
"humidity","day 061",28.6745040557786
"humidity","day 062",27.2060703187797
"humidity","day 063",25.9444355982095
"humidity","day 064",24.8641341590802
"humidity","day 065",23.9059370316446
"humidity","day 066",23.0706106899774
"humidity","day 067",22.3557821956253
"humidity","day 068",21.7537253241779
"humidity","day 069",21.254648199112
"humidity","day 070",20.8497310143253
"humidity","day 071",20.5361078975113
"humidity","day 072",20.3105511141459
"humidity","day 073",20.162431547039
"humidity","day 074",20.0809722200814
"humidity","day 075",20.0622061041519
"humidity","day 076",20.1020069384321
"humidity","day 077",20.188801588327
"humidity","day 078",20.3110055133962
"humidity","day 079",20.4644354235949
"humidity","day 080",20.6450661072269
"humidity","day 081",20.8421034155947
"humidity","day 082",21.0453909109617
"humidity","day 083",21.2540919364368
"humidity","day 084",21.4678824487206
"humidity","day 085",21.6791690780348
"humidity","day 086",21.8760411863304
"humidity","day 087",22.0392442595907
"humidity","day 088",22.1576473297019
"humidity","day 089",22.224655118516
"humidity","day 090",22.2411916251976
"humidity","day 091",22.2079078319815
"humidity","day 092",22.1168433760722
"humidity","day 093",21.9578031746446
"humidity","day 094",21.7202646097852
"humidity","day 095",21.4037131079433
"humidity","day 096",21.0479938081084
"humidity","day 097",20.7039744848793
"humidity","day 098",20.4262537427508
"humidity","day 099",20.2506644552948
"humidity","day 100",20.1342457424953
"humidity","day 101",20.0106955435172
"humidity","day 102",19.7991408278375
"humidity","day 103",19.4344159185351
"humidity","day 104",18.9287555227839
"humidity","day 105",18.3283801919642
"humidity","day 106",17.7380534701882
"humidity","day 107",17.2552232402633
"humidity","day 108",16.8926936823873
"humidity","day 109",16.6539653086356
"humidity","day 110",16.5369251596342
"humidity","day 111",16.5043586488457
"humidity","day 112",16.5101267267466
"humidity","day 113",16.507494119033
"humidity","day 114",16.4598533332678
"humidity","day 115",16.371704229261
"humidity","day 116",16.2542631539068
"humidity","day 117",16.1045050501887
"humidity","day 118",15.9165937938883
"humidity","day 119",15.6876903958902
"humidity","day 120",15.4150311860796
"humidity","day 121",15.0931566352403
"humidity","day 122",14.719347837153
"humidity","day 123",14.3045442366867
"humidity","day 124",13.8654875562751
"humidity","day 125",13.4284702775231
"humidity","day 126",13.0168640071756
"humidity","day 127",12.6328060933655
"humidity","day 128",12.2748636681385
"humidity","day 129",11.9437296414389
"humidity","day 130",11.6225248063171
"humidity","day 131",11.2990885209886
"humidity","day 132",10.9994448697897
"humidity","day 133",10.7488613104596
"humidity","day 134",10.53139406823
"humidity","day 135",10.3192091905272
"humidity","day 136",10.0781232460648
