"dimension","time","value"
"sunlight","day 001",31.329750664408
"sunlight","day 002",32.5372660532771
"sunlight","day 003",33.9114349130198
"sunlight","day 004",35.5857178796889
"sunlight","day 005",37.6169464885061
"sunlight","day 006",39.7890450164928
"sunlight","day 007",41.8601067943692
"sunlight","day 008",43.7578086258516
"sunlight","day 009",45.4616477048047
"sunlight","day 010",46.9888193126896
"sunlight","day 011",48.3533895089938
"sunlight","day 012",49.5192093777132
"sunlight","day 013",50.4359811289159
"sunlight","day 014",51.0470264524501
"sunlight","day 015",51.2980039522122
"sunlight","day 016",51.1503004085114
"sunlight","day 017",50.5809011719397
"sunlight","day 018",49.6134576978064
"sunlight","day 019",48.2668347075903
"sunlight","day 020",46.4940838827307
"sunlight","day 021",44.2853239596649
"sunlight","day 022",41.8447549348598
"sunlight","day 023",39.4873601113243
"sunlight","day 024",37.624018892577
"sunlight","day 025",36.1902502111612
"sunlight","day 026",35.0139119124836
"sunlight","day 027",34.0248409559139
"sunlight","day 028",33.1957549275183
"sunlight","day 029",32.5689148061879
"sunlight","day 030",32.1926029697182
"sunlight","day 031",32.0696439986995
"sunlight","day 032",32.1748552015281
"sunlight","day 033",32.4164825950308
"sunlight","day 034",32.7046553964952
"sunlight","day 035",33.0236069166229
"sunlight","day 036",33.3751232644944
"sunlight","day 037",33.7570976492943
"sunlight","day 038",34.166420755016
"sunlight","day 039",34.5998660647865
"sunlight","day 040",35.0562289002119
"sunlight","day 041",35.5425091376834
"sunlight","day 042",36.0646480476809
"sunlight","day 043",36.6161479222539
"sunlight","day 044",37.1800686051252
"sunlight","day 045",37.715206690531
"sunlight","day 046",38.1932963305471
"sunlight","day 047",38.5965188629918
"sunlight","day 048",38.9285741070954
"sunlight","day 049",39.1909564853826
"sunlight","day 050",39.3548203521442
"sunlight","day 051",39.3945586045484
"sunlight","day 052",39.3278583795058
"sunlight","day 053",39.1935550294623
"sunlight","day 054",39.0717825292591
"sunlight","day 055",39.0381984749882
"sunlight","day 056",39.1092563253477
"sunlight","day 057",39.2849739577268
"sunlight","day 058",39.5588310616737
"sunlight","day 059",39.906997355077
"sunlight","day 060",40.2429408570302
"sunlight","day 061",40.4854480387551
"sunlight","day 062",40.6372808787849
"sunlight","day 063",40.7098653596611
"sunlight","day 064",40.6653079726485
"sunlight","day 065",40.4710120845664
"sunlight","day 066",40.1757915109674
"sunlight","day 067",39.8897006367302
"sunlight","day 068",39.7350310563335
"sunlight","day 069",39.8394093817035
"sunlight","day 070",40.3216261716687
"sunlight","day 071",41.2597927552184
"sunlight","day 072",42.7210046835897
"sunlight","day 073",44.7689736268487
"sunlight","day 074",47.3315841082373
"sunlight","day 075",49.7967959448722
"sunlight","day 076",51.5886463895068
"sunlight","day 077",52.8154071435687
"sunlight","day 078",53.7417308840983
"sunlight","day 079",54.5735597419142
"sunlight","day 080",55.4659296953337
"sunlight","day 081",56.4289626588893
"sunlight","day 082",57.4356419903006
"sunlight","day 083",58.4553108838195
"sunlight","day 084",59.4454261587658
"sunlight","day 085",60.3195392981965
"sunlight","day 086",60.9829066292879
"sunlight","day 087",61.3623712138852
"sunlight","day 088",61.4309053797401
"sunlight","day 089",61.1828470070729
"sunlight","day 090",60.6545480982582
"sunlight","day 091",59.8965643289512
"sunlight","day 092",58.9742519457764
"sunlight","day 093",57.9610816490831
"sunlight","day 094",56.9481813831495
"sunlight","day 095",56.0288208311491
"sunlight","day 096",55.2871793879067
"sunlight","day 097",54.7884551258002
"sunlight","day 098",54.5310111157672
"sunlight","day 099",54.501173903503
"sunlight","day 100",54.7039589351737
"sunlight","day 101",55.1315822398524
"sunlight","day 102",55.7063732777699
"sunlight","day 103",56.341306597367
"sunlight","day 104",56.9818236687697
"sunlight","day 105",57.6032172844677
"sunlight","day 106",58.2677186047217
"sunlight","day 107",59.0680719317671
"sunlight","day 108",60.0987624632334
"sunlight","day 109",61.3295607278456
