"dimension","time","value"
"sunlight","day 001",30.3364871169207
"sunlight","day 002",30.0376557919482
"sunlight","day 003",29.7748721797544
"sunlight","day 004",29.5917020242212
"sunlight","day 005",29.5278683695247
"sunlight","day 006",29.6016868684654
"sunlight","day 007",29.8151937396982
"sunlight","day 008",30.126714856672
"sunlight","day 009",30.4896711322716
"sunlight","day 010",30.8815739823333
"sunlight","day 011",31.2876462445608
"sunlight","day 012",31.6998659411756
"sunlight","day 013",32.1124296011421
"sunlight","day 014",32.5216525958764
"sunlight","day 015",32.9223029660958
"sunlight","day 016",33.3008405872715
"sunlight","day 017",33.6408973699953
"sunlight","day 018",33.9231015305896
"sunlight","day 019",34.1382554591666
"sunlight","day 020",34.320861935268
"sunlight","day 021",34.5274603974384
"sunlight","day 022",34.8590365308035
"sunlight","day 023",35.4112820957614
"sunlight","day 024",36.1907653588902
"sunlight","day 025",37.093642907081
"sunlight","day 026",38.0027768831775
"sunlight","day 027",38.8418578471467
"sunlight","day 028",39.5499647553517
"sunlight","day 029",40.0869017326162
"sunlight","day 030",40.4259211238142
"sunlight","day 031",40.5733429855619
"sunlight","day 032",40.5460793812812
"sunlight","day 033",40.3703426898769
"sunlight","day 034",40.0736491088445
"sunlight","day 035",39.6794297945594
"sunlight","day 036",39.2166043774375
"sunlight","day 037",38.7401314251785
"sunlight","day 038",38.3235589833655
"sunlight","day 039",38.088754071833
"sunlight","day 040",38.1452286247442
"sunlight","day 041",38.5047552593272
"sunlight","day 042",39.1482364437012
"sunlight","day 043",40.0308333664872
"sunlight","day 044",41.0937145680555
"sunlight","day 045",42.2627721016419
"sunlight","day 046",43.5161519975904
"sunlight","day 047",44.8367079733395
"sunlight","day 048",46.1663131892203
"sunlight","day 049",47.4443792793436
"sunlight","day 050",48.6414523300455
"sunlight","day 051",49.7505901065679
"sunlight","day 052",50.8237626375496
"sunlight","day 053",51.9022199240872
"sunlight","day 054",52.9254195937094
"sunlight","day 055",53.8078839044149
"sunlight","day 056",54.4661860096482
"sunlight","day 057",54.8369847668588
"sunlight","day 058",54.9352309540687
"sunlight","day 059",54.7912489028045
"sunlight","day 060",54.4185652380384
"sunlight","day 061",53.8273393021009
"sunlight","day 062",53.0310590133121
"sunlight","day 063",52.0610890167661
"sunlight","day 064",51.0169722886646
"sunlight","day 065",50.0013927908006
"sunlight","day 066",49.0650374959739
"sunlight","day 067",48.2591593787956
"sunlight","day 068",47.6262314303105
"sunlight","day 069",47.1591371083008
"sunlight","day 070",46.8283161291565
"sunlight","day 071",46.5640227769638
"sunlight","day 072",46.3108739877585
"sunlight","day 073",46.1111227376796
"sunlight","day 074",46.0367820706309
"sunlight","day 075",46.1812692614722
"sunlight","day 076",46.6080530901318
"sunlight","day 077",47.2394041258574
"sunlight","day 078",47.9528276126064
"sunlight","day 079",48.5879657038549
"sunlight","day 080",49.0028894672345
"sunlight","day 081",49.1672487174785
"sunlight","day 082",49.1053662795798
"sunlight","day 083",48.9486782724675
"sunlight","day 084",48.8582510518611
"sunlight","day 085",49.0065586267049
"sunlight","day 086",49.5427914968565
"sunlight","day 087",50.4908951898709
"sunlight","day 088",51.7658666799828
"sunlight","day 089",53.263460476263
"sunlight","day 090",54.8852743580552
"sunlight","day 091",56.5313951419995
"sunlight","day 092",58.090022523648
"sunlight","day 093",59.4596612307594
"sunlight","day 094",60.5919232410076
