"dimension","time","value"
"sunlight","day 001",68.4610246529657
"sunlight","day 002",67.7180014009915
"sunlight","day 003",66.9805958959469
"sunlight","day 004",66.2812497787871
"sunlight","day 005",65.6541903601027
"sunlight","day 006",65.109995157294
"sunlight","day 007",64.6485613078523
"sunlight","day 008",64.2507142228224
"sunlight","day 009",63.8927569393548
"sunlight","day 010",63.5519747254691
"sunlight","day 011",63.2066910101444
"sunlight","day 012",62.8383996353296
"sunlight","day 013",62.4419124543138
"sunlight","day 014",62.0621429527764
"sunlight","day 015",61.7563128779411
"sunlight","day 016",61.5807753908176
"sunlight","day 017",61.5827963710206
"sunlight","day 018",61.7741611588009
"sunlight","day 019",62.1522951469999
"sunlight","day 020",62.6926644781867
"sunlight","day 021",63.3091307631558
"sunlight","day 022",63.6910967358758
"sunlight","day 023",63.55242115134
"sunlight","day 024",62.9319535337174
"sunlight","day 025",61.9599453804109
"sunlight","day 026",60.7656771396742
"sunlight","day 027",59.4637138301597
"sunlight","day 028",58.1693606449467
"sunlight","day 029",57.0155989044205
"sunlight","day 030",56.1218388422866
"sunlight","day 031",55.535530218225
"sunlight","day 032",55.331689667148
"sunlight","day 033",55.7675617989227
"sunlight","day 034",57.0147128750118
"sunlight","day 035",58.7197677883038
"sunlight","day 036",60.3150071710811
"sunlight","day 037",60.9002759817737
"sunlight","day 038",59.8946130333196
"sunlight","day 039",58.3262682305406
"sunlight","day 040",57.3228258688331
"sunlight","day 041",56.7999967140071
"sunlight","day 042",56.4431338479644
"sunlight","day 043",56.2280331465596
"sunlight","day 044",56.1778920818408
"sunlight","day 045",56.2260991751334
"sunlight","day 046",56.3249436792843
"sunlight","day 047",56.4418483820458
"sunlight","day 048",56.5606603769768
"sunlight","day 049",56.665396510767
"sunlight","day 050",56.7243283368227
"sunlight","day 051",56.7026087526339
"sunlight","day 052",56.5686613253099
"sunlight","day 053",56.3004487061922
"sunlight","day 054",55.910819213934
"sunlight","day 055",55.4196910565207
"sunlight","day 056",54.8403763319565
"sunlight","day 057",54.1860704428264
"sunlight","day 058",53.4761081200197
"sunlight","day 059",52.7336247575366
"sunlight","day 060",51.9908190735174
"sunlight","day 061",51.278344144481
"sunlight","day 062",50.6116071563203
"sunlight","day 063",50.0055737327634
"sunlight","day 064",49.4886891395052
"sunlight","day 065",49.0923897747622
"sunlight","day 066",48.8418641431553
"sunlight","day 067",48.7429908444728
"sunlight","day 068",48.7953928306286
"sunlight","day 069",48.9926015889025
"sunlight","day 070",49.3251090942015
"sunlight","day 071",49.7773407365757
"sunlight","day 072",50.3288936255934
"sunlight","day 073",50.9461183337524
"sunlight","day 074",51.5968587875017
"sunlight","day 075",52.2681788661645
"sunlight","day 076",52.9546291023499
"sunlight","day 077",53.6614866889363
"sunlight","day 078",54.3924967443326
"sunlight","day 079",55.1345494287977
"sunlight","day 080",55.8611416493721
"sunlight","day 081",56.5090522583701
"sunlight","day 082",57.0123651829693
"sunlight","day 083",57.3311027045248
"sunlight","day 084",57.4361141266295
"sunlight","day 085",57.3156184876473
"sunlight","day 086",56.9677182437865
"sunlight","day 087",56.4123162233751
"sunlight","day 088",55.6734019809424
"sunlight","day 089",54.7770679289012
"sunlight","day 090",53.7592721691475
"sunlight","day 091",52.6581308863456
"sunlight","day 092",51.5105269067508
"sunlight","day 093",50.3495842355348
"sunlight","day 094",49.1946249519436
"sunlight","day 095",48.0632074071666
"sunlight","day 096",46.9796369660931
"sunlight","day 097",45.9691624494991
"sunlight","day 098",45.0540594880099
"sunlight","day 099",44.2544088273516
"sunlight","day 100",43.5844848638055
"sunlight","day 101",43.0530763280005
"sunlight","day 102",42.6528356374001
"sunlight","day 103",42.356808884231
"sunlight","day 104",42.0757531729356
"sunlight","day 105",41.7153486648325
"sunlight","day 106",41.2232567365269
"sunlight","day 107",40.5715678375796
"sunlight","day 108",39.7876796500793
"sunlight","day 109",38.9112122492237
"sunlight","day 110",37.9746996498197
"sunlight","day 111",36.9840430011365
"sunlight","day 112",35.9432767243138
"sunlight","day 113",34.8756011935109
"sunlight","day 114",33.8183227030103
"sunlight","day 115",32.8460052745652
"sunlight","day 116",32.0395148323682
"sunlight","day 117",31.4676671828968
"sunlight","day 118",31.184171938295
"sunlight","day 119",31.194364051086
"sunlight","day 120",31.4914977153556
"sunlight","day 121",32.0688787510602
"sunlight","day 122",32.9325351418154
"sunlight","day 123",34.1393319000036
"sunlight","day 124",35.6988282614613
"sunlight","day 125",37.3805233270761
"sunlight","day 126",38.9265705433649
"sunlight","day 127",40.2098008743115
"sunlight","day 128",41.1639382362264
"sunlight","day 129",41.8223381321497
"sunlight","day 130",42.1935288176417
"sunlight","day 131",42.2761635514926
"sunlight","day 132",42.0824464258521
"sunlight","day 133",41.6353287812556
"sunlight","day 134",40.9872001184233
"sunlight","day 135",40.201882424876
"sunlight","day 136",39.3594894751534
"sunlight","day 137",38.5353456490433
"sunlight","day 138",37.7693259603072
"sunlight","day 139",37.1289612050958
"sunlight","day 140",36.8278546751411
"sunlight","day 141",36.9961997468594
"sunlight","day 142",37.2844776398223
"sunlight","day 143",37.2937428361487
"sunlight","day 144",36.9070550249924
"sunlight","day 145",36.1027810360387
"sunlight","day 146",34.9585110540643
"sunlight","day 147",33.5710907879837
"sunlight","day 148",32.0151646881713
"sunlight","day 149",30.3547296543717
"sunlight","day 150",28.6333936423517
"humidity","day 001",29.1816934758614
"humidity","day 002",28.6728852084661
"humidity","day 003",28.0009812081566
"humidity","day 004",27.0980365129175
"humidity","day 005",25.9728095367476
"humidity","day 006",24.8120346819135
"humidity","day 007",23.7986809811817
"humidity","day 008",22.9226800010518
"humidity","day 009",22.1296323933213
"humidity","day 010",21.3808526172493
"humidity","day 011",20.6464913207759
"humidity","day 012",19.9163300991032
"humidity","day 013",19.1926958386544
"humidity","day 014",18.508465643474
"humidity","day 015",17.8976322891029
"humidity","day 016",17.3681010194464
"humidity","day 017",16.9156179362917
"humidity","day 018",16.5133801045879
"humidity","day 019",16.1438817949132
"humidity","day 020",15.8493551371994
"humidity","day 021",15.6633323813835
"humidity","day 022",15.5248083980704
"humidity","day 023",15.3720402925373
"humidity","day 024",15.2432464979405
"humidity","day 025",15.2330420663754
"humidity","day 026",15.4148045615585
"humidity","day 027",15.7434615542571
"humidity","day 028",16.1479329128359
"humidity","day 029",16.5715576889983
"humidity","day 030",16.9855116748479
"humidity","day 031",17.4578984407496
"humidity","day 032",18.0536820422075
"humidity","day 033",18.7283406970219
"humidity","day 034",19.4088889119311
"humidity","day 035",20.0179721871296
"humidity","day 036",20.4955510150292
"humidity","day 037",20.8552148634533
"humidity","day 038",21.1291651418644
"humidity","day 039",21.3504220508682
"humidity","day 040",21.5246285453834
"humidity","day 041",21.5470998064364
"humidity","day 042",21.3224680530459
"humidity","day 043",20.9029614300921
"humidity","day 044",20.3976316597799
"humidity","day 045",19.9579148948784
"humidity","day 046",19.6059160725154
"humidity","day 047",19.3214026283848
"humidity","day 048",19.0640478039455
"humidity","day 049",18.8274570044648
"humidity","day 050",18.7610584846774
"humidity","day 051",19.0218247778773
"humidity","day 052",19.6410826821273
"humidity","day 053",20.5881556436903
"humidity","day 054",21.7099994368585
"humidity","day 055",22.8205953250215
"humidity","day 056",23.7243941999284
"humidity","day 057",24.2689649139969
"humidity","day 058",24.4838785339603
"humidity","day 059",24.443080590792
"humidity","day 060",24.2160122581126
"humidity","day 061",23.847255367494
"humidity","day 062",23.2864587396676
"humidity","day 063",22.5063838542357
"humidity","day 064",21.667175837124
"humidity","day 065",20.944826361325
"humidity","day 066",20.3995891909244
"humidity","day 067",20.0937569220912
"humidity","day 068",20.0813662980482
"humidity","day 069",20.350392453633
"humidity","day 070",20.8466601482112
"humidity","day 071",21.4134542476431
"humidity","day 072",21.8715345272007
"humidity","day 073",22.0541002933075
"humidity","day 074",21.8415802985443
"humidity","day 075",21.29088154897
"humidity","day 076",20.5077702338401
"humidity","day 077",19.6169710217187
"humidity","day 078",18.7454981779546
"humidity","day 079",18.010565875728
"humidity","day 080",17.5084765315897
"humidity","day 081",17.261685627743
"humidity","day 082",17.2556230761264
"humidity","day 083",17.4014634419663
"humidity","day 084",17.5954417977529
"humidity","day 085",17.7482905917436
"humidity","day 086",17.8362010337549
"humidity","day 087",18.0115205229384
"humidity","day 088",18.2037049515277
"humidity","day 089",18.2990662832319
"humidity","day 090",18.2960666921986
"humidity","day 091",18.232065153527
"humidity","day 092",18.1878576356842
"humidity","day 093",18.2165958683993
"humidity","day 094",18.2174176330818
"humidity","day 095",18.0776640733962
"humidity","day 096",17.7915037303489
"humidity","day 097",17.4021838156934
"humidity","day 098",17.0424388268311
"humidity","day 099",16.8794569928099
"humidity","day 100",17.1287541836165
"humidity","day 101",17.9585123714617
"humidity","day 102",19.2992502965146
"humidity","day 103",21.0030956682397
"humidity","day 104",22.8462753053259
"humidity","day 105",24.6092967087526
"humidity","day 106",26.165690999437
"humidity","day 107",27.421582765222
"humidity","day 108",28.3285099766575
"humidity","day 109",28.8796007060078
"humidity","day 110",29.0392886410492
