"dimension","time","value"
"sunlight","day 001",37.3990441503977
"sunlight","day 002",37.375784272285
"sunlight","day 003",37.3001001115833
"sunlight","day 004",37.2680721460011
"sunlight","day 005",37.4014688999983
"sunlight","day 006",37.7798354006736
"sunlight","day 007",38.459278758979
"sunlight","day 008",39.4443779186403
"sunlight","day 009",40.7115560480145
"sunlight","day 010",42.1761413812095
"sunlight","day 011",43.7453864061889
"sunlight","day 012",45.3553355605868
"sunlight","day 013",46.9583107965451
"sunlight","day 014",48.5429521745661
"sunlight","day 015",50.1202428096768
"sunlight","day 016",51.7542199266431
"sunlight","day 017",53.496097883098
"sunlight","day 018",55.2927454584027
"sunlight","day 019",57.0810609813248
"sunlight","day 020",58.8624065565268
"sunlight","day 021",60.6458845026375
"sunlight","day 022",62.4070942182563
"sunlight","day 023",64.084069831093
"sunlight","day 024",65.5277355995735
"sunlight","day 025",66.6784194182209
"sunlight","day 026",67.4769279793223
"sunlight","day 027",67.7473899892428
"sunlight","day 028",67.3459703644958
"sunlight","day 029",66.3736568481125
"sunlight","day 030",64.9893751176491
"sunlight","day 031",63.3389797622461
"sunlight","day 032",61.5366366021076
"sunlight","day 033",59.5828274701088
"sunlight","day 034",57.4767251995699
"sunlight","day 035",55.325950612921
"sunlight","day 036",53.2703184793387
"sunlight","day 037",51.4699713658756
"sunlight","day 038",50.0505701824761
"sunlight","day 039",48.9795214127743
"sunlight","day 040",48.1831001280666
"sunlight","day 041",47.581310176608
"sunlight","day 042",47.1026980155703
"sunlight","day 043",46.7162517608342
"sunlight","day 044",46.3669834130761
"sunlight","day 045",45.9110327575692
"sunlight","day 046",45.3603486661963
"sunlight","day 047",44.7770930686304
"sunlight","day 048",44.2343845092163
"sunlight","day 049",43.7938063320811
"sunlight","day 050",43.4598444658107
"sunlight","day 051",43.2187227988501
"sunlight","day 052",43.0407144746217
"sunlight","day 053",42.8918483322965
"sunlight","day 054",42.7371267390617
"sunlight","day 055",42.5436856582055
"sunlight","day 056",42.2882219094024
"sunlight","day 057",41.9622493099289
"sunlight","day 058",41.6069888110817
"sunlight","day 059",41.2832685120938
"sunlight","day 060",41.08063796992
"sunlight","day 061",41.0671847516017
"sunlight","day 062",41.1964270068042
"sunlight","day 063",41.4014206878609
"sunlight","day 064",41.6479423751532
"sunlight","day 065",41.8981694363416
"sunlight","day 066",42.092131454353
"sunlight","day 067",42.2579574191867
"sunlight","day 068",42.4435257998105
"sunlight","day 069",42.6758342042609
"sunlight","day 070",42.9760246417448
"sunlight","day 071",43.3626975870807
"sunlight","day 072",43.8825491315752
"sunlight","day 073",44.6971993668739
"sunlight","day 074",45.9109196907674
"sunlight","day 075",47.283662725288
"sunlight","day 076",48.4997578734873
"sunlight","day 077",49.2853604382522
"sunlight","day 078",49.4518202908263
"sunlight","day 079",49.1094396760439
"sunlight","day 080",48.4445942248025
"sunlight","day 081",47.6490007386619
"sunlight","day 082",46.9044907015968
"sunlight","day 083",46.3480131565782
"sunlight","day 084",46.0362201100919
"sunlight","day 085",45.7494578636874
"sunlight","day 086",45.2834495564814
"sunlight","day 087",44.772148130986
"sunlight","day 088",44.4356267862661
"sunlight","day 089",44.4348686996198
"sunlight","day 090",44.692829968526
"sunlight","day 091",45.0887309650353
"sunlight","day 092",45.5648762393032
"sunlight","day 093",46.1040185961186
"sunlight","day 094",46.7876196806987
"sunlight","day 095",47.6982763171674
"sunlight","day 096",48.8244172048475
"sunlight","day 097",50.1318298261913
"sunlight","day 098",51.5899049209699
"sunlight","day 099",53.2003539214684
"sunlight","day 100",55.0905677727103
"sunlight","day 101",57.2486915911404
"sunlight","day 102",58.9802076661506
"sunlight","day 103",59.6852760802984
"sunlight","day 104",59.8254309158565
"sunlight","day 105",59.9581315377073
"sunlight","day 106",59.9631644414554
"sunlight","day 107",59.6325171560678
"sunlight","day 108",59.0605601515205
"sunlight","day 109",58.3269069016019
"sunlight","day 110",57.4771043903727
"sunlight","day 111",56.5168098898549
"sunlight","day 112",55.4391069743064
"sunlight","day 113",54.2266741389704
"sunlight","day 114",52.8726908041178
"sunlight","day 115",51.4227451691474
"sunlight","day 116",49.9763900106595
"sunlight","day 117",48.796627634935
"sunlight","day 118",48.1370851392942
"sunlight","day 119",48.0504392555364
"sunlight","day 120",48.5034832645407
"sunlight","day 121",49.3204270090261
"sunlight","day 122",50.3033303273805
"sunlight","day 123",51.3082364788261
"sunlight","day 124",52.2191523601578
"sunlight","day 125",52.9779559976262
"sunlight","day 126",53.5224992725163
"sunlight","day 127",53.7166583567938
"sunlight","day 128",53.4578052973919
"sunlight","day 129",52.8705964362968
"sunlight","day 130",52.2089782612482
"sunlight","day 131",51.7183127082778
"sunlight","day 132",51.5323231631273
"sunlight","day 133",51.732817753478
"sunlight","day 134",52.3055821250585
"sunlight","day 135",53.1732306822834
"sunlight","day 136",54.1017153462642
"sunlight","day 137",54.8683004286881
"sunlight","day 138",55.4521622868486
"sunlight","day 139",55.884291427963
"sunlight","day 140",56.2010229133385
"sunlight","day 141",56.4199683114464
"sunlight","day 142",56.4785006653235
"sunlight","day 143",56.2661282207851
"sunlight","day 144",55.5611385601925
"sunlight","day 145",54.1358783834807
"sunlight","day 146",51.8501515243335
"sunlight","day 147",48.9255520216522
"sunlight","day 148",46.943377601461
"sunlight","day 149",47.4008221458161
"sunlight","day 150",50.0989604737783
"humidity","day 001",44.7782283670721
"humidity","day 002",43.6682946158568
"humidity","day 003",42.5769132835665
"humidity","day 004",41.5220894262328
"humidity","day 005",40.5193764995162
"humidity","day 006",39.5773792294359
"humidity","day 007",38.7046828518034
"humidity","day 008",37.9167433712381
"humidity","day 009",37.2289414229729
"humidity","day 010",36.649485395886
"humidity","day 011",36.1865541717706
"humidity","day 012",35.8553808504358
"humidity","day 013",35.6712758604403
"humidity","day 014",35.6428047273268
"humidity","day 015",35.7792564297122
"humidity","day 016",36.0995586615254
"humidity","day 017",36.6252616731326
"humidity","day 018",37.3787672253373
"humidity","day 019",38.3133030467397
"humidity","day 020",39.1045492266905
"humidity","day 021",39.3601531952814
"humidity","day 022",38.693179384818
"humidity","day 023",36.9248957999605
"humidity","day 024",34.7034051125604
"humidity","day 025",32.8814088362082
"humidity","day 026",32.1185485696678
"humidity","day 027",32.3044767324567
"humidity","day 028",33.1293417554358
"humidity","day 029",34.2552652940831
"humidity","day 030",35.3701834841658
"humidity","day 031",36.2933171579903
