"dimension","time","value"
"sunlight","day 001",70.9482874464744
"sunlight","day 002",70.3723398732915
"sunlight","day 003",69.8307909041219
"sunlight","day 004",69.3516290902054
"sunlight","day 005",68.9543624336041
"sunlight","day 006",68.6352325244636
"sunlight","day 007",68.3850499393301
"sunlight","day 008",68.1961676122689
"sunlight","day 009",68.0623895549213
"sunlight","day 010",67.9817817317134
"sunlight","day 011",67.9546990435857
"sunlight","day 012",67.9863901847512
"sunlight","day 013",68.0834579701447
"sunlight","day 014",68.2530279043134
"sunlight","day 015",68.4979940361983
"sunlight","day 016",68.8038019027018
"sunlight","day 017",69.1529979168011
"sunlight","day 018",69.5339805078125
"sunlight","day 019",69.9341228787876
"sunlight","day 020",70.330845311381
"sunlight","day 021",70.6999791083608
"sunlight","day 022",71.0209525783483
"sunlight","day 023",71.2757724923903
"sunlight","day 024",71.4520760985811
"sunlight","day 025",71.5348343887589
"sunlight","day 026",71.5101823825337
"sunlight","day 027",71.3732566778209
"sunlight","day 028",71.1237722115015
"sunlight","day 029",70.7707556980118
"sunlight","day 030",70.3239694836978
"sunlight","day 031",69.7868066649879
"sunlight","day 032",69.1625282262712
"sunlight","day 033",68.4602359536965
"sunlight","day 034",67.6922159717491
"sunlight","day 035",66.8776509565015
"sunlight","day 036",66.0364040558919
"sunlight","day 037",65.1841637537351
"sunlight","day 038",64.3311701073077
"sunlight","day 039",63.4700441318566
"sunlight","day 040",62.591402818218
"sunlight","day 041",61.6954661016171
"sunlight","day 042",60.7834836937419
"sunlight","day 043",59.8512214677452
"sunlight","day 044",58.8912568342329
"sunlight","day 045",57.889564097779
"sunlight","day 046",56.8329676825269
"sunlight","day 047",55.7190641935344
"sunlight","day 048",54.5858713370365
"sunlight","day 049",53.4808950950351
"sunlight","day 050",52.4491734514242
"sunlight","day 051",51.5368321793804
"sunlight","day 052",50.7968162073179
"sunlight","day 053",50.2743754462636
"sunlight","day 054",49.9771605824559
"sunlight","day 055",49.9489581709545
"sunlight","day 056",50.4156974668924
"sunlight","day 057",51.449604464776
"sunlight","day 058",52.3259494165305
"sunlight","day 059",52.3517681897195
"sunlight","day 060",51.7581148570385
"sunlight","day 061",50.9779708044843
"sunlight","day 062",50.3280084661244
"sunlight","day 063",50.0117233299
"sunlight","day 064",49.8962120511762
"sunlight","day 065",49.7967221729135
"sunlight","day 066",49.6611607713889
"sunlight","day 067",49.484314120052
"sunlight","day 068",49.2664980604725
