"dimension","time","value"
"sunlight","day 001",47.4752861121568
"sunlight","day 002",47.3309031633281
"sunlight","day 003",47.1573470960795
"sunlight","day 004",46.9704081791975
"sunlight","day 005",46.7918807714573
"sunlight","day 006",46.6301899615652
"sunlight","day 007",46.4703479050074
"sunlight","day 008",46.2170842944603
"sunlight","day 009",45.7813082488294
"sunlight","day 010",45.1789290547488
"sunlight","day 011",44.4536118181887
"sunlight","day 012",43.6550447547356
"sunlight","day 013",42.8328949383596
"sunlight","day 014",42.0307217669494
"sunlight","day 015",41.3015642659323
"sunlight","day 016",40.7424876469723
"sunlight","day 017",40.4354270181039
"sunlight","day 018",40.3577708866074
"sunlight","day 019",40.4532389783542
"sunlight","day 020",40.6354224943352
"sunlight","day 021",40.8277805161663
"sunlight","day 022",41.023372172845
"sunlight","day 023",41.2247585378042
"sunlight","day 024",41.4563869557262
"sunlight","day 025",41.9487208674463
"sunlight","day 026",42.8084467364092
"sunlight","day 027",43.4332289529372
"sunlight","day 028",43.261980769638
"sunlight","day 029",42.6076329613854
"sunlight","day 030",41.9263957012382
"sunlight","day 031",41.3735792327272
"sunlight","day 032",41.0125314443275
"sunlight","day 033",40.8396507338204
"sunlight","day 034",40.8413584537377
"sunlight","day 035",41.0311172663087
"sunlight","day 036",41.4173678071491
"sunlight","day 037",41.961421295721
"sunlight","day 038",42.6197040349324
"sunlight","day 039",43.3762320776272
"sunlight","day 040",44.2034333020038
"sunlight","day 041",44.9997931377417
"sunlight","day 042",45.6631697705539
"sunlight","day 043",46.1628548588063
"sunlight","day 044",46.4932955290025
"sunlight","day 045",46.6807653720776
"sunlight","day 046",46.7693873370703
"sunlight","day 047",46.7969770453301
"sunlight","day 048",46.7655685493206
"sunlight","day 049",46.6547871692268
"sunlight","day 050",46.3904048650034
"sunlight","day 051",45.9183923056816
"sunlight","day 052",45.3193683568269
"sunlight","day 053",44.6807175897422
"sunlight","day 054",43.9822392021469
"sunlight","day 055",43.1748407231271
"sunlight","day 056",42.2014483808204
"sunlight","day 057",41.0275844083447
"sunlight","day 058",39.7171363596871
"sunlight","day 059",38.3672799657113
"sunlight","day 060",37.109978343917
