"dimension","time","value"
"sunlight","day 001",67.180537283527
"sunlight","day 002",66.3079660003436
"sunlight","day 003",67.0733028263774
"sunlight","day 004",68.5486661280062
"sunlight","day 005",69.4646981690502
"sunlight","day 006",69.7566338482015
"sunlight","day 007",69.6635698463523
"sunlight","day 008",69.4354573383225
"sunlight","day 009",69.2718128569098
"sunlight","day 010",69.1595598728953
"sunlight","day 011",69.0451616779528
"sunlight","day 012",68.9258339093428
"sunlight","day 013",68.8250603706477
"sunlight","day 014",68.8206451851488
"sunlight","day 015",68.9862405207715
"sunlight","day 016",69.3245704043164
"sunlight","day 017",69.7957002735718
"sunlight","day 018",70.2599893513996
"sunlight","day 019",70.5786538628001
"sunlight","day 020",70.7160442562541
"sunlight","day 021",70.6779862805469
"sunlight","day 022",70.533072662202
"sunlight","day 023",70.3594815550226
"sunlight","day 024",70.1869614386536
"sunlight","day 025",69.9431368534243
"sunlight","day 026",69.5349383227681
"sunlight","day 027",68.8825379246951
"sunlight","day 028",67.9383318790649
"sunlight","day 029",66.7703714185585
"sunlight","day 030",65.4752082862953
"sunlight","day 031",64.1477412543289
"sunlight","day 032",62.8710785960171
"sunlight","day 033",61.6828195610012
"sunlight","day 034",60.6001564286764
"sunlight","day 035",59.604162621171
"sunlight","day 036",58.6765343375365
"sunlight","day 037",57.8375777417836
"sunlight","day 038",57.109448030019
"sunlight","day 039",56.4830865617737
"sunlight","day 040",55.9443918565002
"sunlight","day 041",55.4903049099131
"sunlight","day 042",55.1199276784806
"sunlight","day 043",54.8299634854239
"sunlight","day 044",54.607096713368
"sunlight","day 045",54.4102418879215
"sunlight","day 046",54.228523340901
"sunlight","day 047",54.0573560789497
"sunlight","day 048",53.8776887195244
"sunlight","day 049",53.6671380487974
"sunlight","day 050",53.4044599169869
"sunlight","day 051",53.0734352761979
"sunlight","day 052",52.6768064220355
"sunlight","day 053",52.2245908256257
"sunlight","day 054",51.736945316676
"sunlight","day 055",51.2355650330036
"sunlight","day 056",50.738158986284
"sunlight","day 057",50.2544834359259
"sunlight","day 058",49.7664697584132
"sunlight","day 059",49.2527956342778
"sunlight","day 060",48.706948843168
"sunlight","day 061",48.127314669523
"sunlight","day 062",47.5170583178279
"sunlight","day 063",46.8831071450176
"sunlight","day 064",46.2426571977808
"sunlight","day 065",45.6146182416517
"sunlight","day 066",45.0131363396836
"sunlight","day 067",44.4461045488938
"sunlight","day 068",43.9193592006439
"sunlight","day 069",43.4359092761146
"sunlight","day 070",42.9984443719167
"sunlight","day 071",42.6112038965604
"sunlight","day 072",42.2772973439883
"sunlight","day 073",41.9937647379738
"sunlight","day 074",41.7600931790246
"sunlight","day 075",41.5916275447565
"sunlight","day 076",41.5052665590842
"sunlight","day 077",41.50826655401
"sunlight","day 078",41.6034418456109
"sunlight","day 079",41.7854810781762
"sunlight","day 080",42.0509355929475
"sunlight","day 081",42.4119331907657
"sunlight","day 082",42.8834675165136
"sunlight","day 083",43.476419131644
"sunlight","day 084",44.1928252579669
"sunlight","day 085",45.0034628421496
"sunlight","day 086",45.9272418148783
"sunlight","day 087",47.0574259515525
"sunlight","day 088",47.9454736143662
"sunlight","day 089",48.158234863585
"sunlight","day 090",47.9218800177711
"sunlight","day 091",47.5691172300067
"sunlight","day 092",47.1994857331573
"sunlight","day 093",46.8481569512556
"sunlight","day 094",46.5259999932192
"sunlight","day 095",46.2423001902292
"sunlight","day 096",46.0243100776346
"sunlight","day 097",45.8962992992087
"sunlight","day 098",45.8526387282528
"sunlight","day 099",45.8802737622914
"sunlight","day 100",45.9663466662119
"sunlight","day 101",46.0919815264112
"sunlight","day 102",46.2140328479596
"sunlight","day 103",46.2876350715902
"sunlight","day 104",46.2853119620123
"sunlight","day 105",46.1898068267533
"sunlight","day 106",46.0073518206361
"sunlight","day 107",45.750673639225
"sunlight","day 108",45.4291377297842
"sunlight","day 109",45.0293296126215
"sunlight","day 110",44.5286690579844
"sunlight","day 111",43.8913150917535
"sunlight","day 112",43.0939687573089
"sunlight","day 113",42.1767599123941
"sunlight","day 114",41.2002025246782
"sunlight","day 115",40.2429181871674
"sunlight","day 116",39.3749607403259
"sunlight","day 117",38.6140053891127
"sunlight","day 118",37.971426256733
"sunlight","day 119",37.4857717748808
"sunlight","day 120",37.1941302035551
"sunlight","day 121",37.1005748074839
"sunlight","day 122",37.2062917326632
"sunlight","day 123",37.5339336454302
"sunlight","day 124",38.0895515360072
"sunlight","day 125",38.7913231698163
"sunlight","day 126",39.514277929855
"sunlight","day 127",40.0487248942237
"sunlight","day 128",40.2198795696891
"sunlight","day 129",40.0795943111756
"sunlight","day 130",39.7449712928765
"sunlight","day 131",39.3332008600729
"sunlight","day 132",38.9526627280177
"sunlight","day 133",38.6822094701671
"sunlight","day 134",38.4913957228155
"sunlight","day 135",38.3266588614659
"sunlight","day 136",38.1512651556153
"sunlight","day 137",37.9407691551218
"sunlight","day 138",37.7030496372917
