"dimension","time","value"
"sunlight","day 001",39.7677703184583
"sunlight","day 002",41.5827480077302
"sunlight","day 003",43.3396707842621
"sunlight","day 004",44.9695452973832
"sunlight","day 005",46.4365026325354
"sunlight","day 006",47.8275397713329
"sunlight","day 007",49.262464637563
"sunlight","day 008",50.8694630275325
"sunlight","day 009",52.7238579737341
"sunlight","day 010",54.6811435808846
"sunlight","day 011",56.5107794142159
"sunlight","day 012",57.8579158087949
"sunlight","day 013",58.4087705242605
"sunlight","day 014",58.1381402487045
"sunlight","day 015",57.1383707794853
"sunlight","day 016",55.6834254225758
"sunlight","day 017",54.0359038940605
"sunlight","day 018",52.2313340418579
"sunlight","day 019",50.3093670635893
"sunlight","day 020",48.5532194238547
"sunlight","day 021",47.2591462311194
"sunlight","day 022",46.5319919023303
"sunlight","day 023",46.4541238135228
"sunlight","day 024",47.0960799740167
"sunlight","day 025",48.1004464467553
"sunlight","day 026",49.0034742416265
"sunlight","day 027",49.3694017346421
"sunlight","day 028",48.9033291046184
"sunlight","day 029",47.8458163754669
"sunlight","day 030",46.5706236682835
"sunlight","day 031",45.4488516478059
"sunlight","day 032",44.7656739828784
"sunlight","day 033",44.4652158151313
"sunlight","day 034",44.417719010733
"sunlight","day 035",44.5389408612177
"sunlight","day 036",44.7397774696137
"sunlight","day 037",44.8661647595589
"sunlight","day 038",44.8471302341129
"sunlight","day 039",45.0090278934115
"sunlight","day 040",45.6879350474932
"sunlight","day 041",46.8614957489305
"sunlight","day 042",48.4032249446872
"sunlight","day 043",50.1285544167567
"sunlight","day 044",51.8394354525949
"sunlight","day 045",53.3526520691022
"sunlight","day 046",54.5287147503888
"sunlight","day 047",55.2442791866475
"sunlight","day 048",55.3978957218978
"sunlight","day 049",54.9370283611729
"sunlight","day 050",53.9829010997334
"sunlight","day 051",52.7703951370817
"sunlight","day 052",51.815260499461
"sunlight","day 053",51.5371733038396
"sunlight","day 054",51.6906452033466
"sunlight","day 055",51.9227903683262
