"dimension","time","value"
"sunlight","day 001",53.8568914222051
"sunlight","day 002",54.4518376935919
"sunlight","day 003",54.4474942075062
"sunlight","day 004",53.822882531941
"sunlight","day 005",52.6915792972847
"sunlight","day 006",51.0984432077784
"sunlight","day 007",49.078781490478
"sunlight","day 008",46.698413389847
"sunlight","day 009",44.0632379109413
"sunlight","day 010",41.4089610837781
"sunlight","day 011",38.9835942535778
"sunlight","day 012",36.9545630014114
"sunlight","day 013",35.4425546425733
"sunlight","day 014",34.4618891933994
"sunlight","day 015",33.9743831373058
"sunlight","day 016",33.8382061249889
"sunlight","day 017",33.8910066754066
"sunlight","day 018",33.9919956132838
"sunlight","day 019",34.0321734810252
"sunlight","day 020",34.0081373859879
"sunlight","day 021",33.9511682319953
"sunlight","day 022",33.9256855437824
"sunlight","day 023",34.0066795116827
"sunlight","day 024",34.24721189531
"sunlight","day 025",34.5783405758461
"sunlight","day 026",34.9228582314567
"sunlight","day 027",35.2947866170446
"sunlight","day 028",35.7245281044429
"sunlight","day 029",36.2167784564688
"sunlight","day 030",36.7627953921746
"sunlight","day 031",37.3257910645675
"sunlight","day 032",37.8769690799799
"sunlight","day 033",38.447544424087
"sunlight","day 034",39.0753807474824
"sunlight","day 035",39.7649249810894
"sunlight","day 036",40.5043704585654
"sunlight","day 037",41.2503128441746
"sunlight","day 038",41.9566898509928
"sunlight","day 039",42.5984050567361
"sunlight","day 040",43.143817147031
"sunlight","day 041",43.5141393745057
"sunlight","day 042",43.6437220124997
"sunlight","day 043",43.5666088501964
"sunlight","day 044",43.3366918805323
"sunlight","day 045",42.9975370780868
"sunlight","day 046",42.6275339721294
"sunlight","day 047",42.3115024639135
"sunlight","day 048",42.1200852127302
"sunlight","day 049",42.1085105223383
"sunlight","day 050",42.2845265163312
"sunlight","day 051",42.6462110522102
"sunlight","day 052",43.2004411032739
"sunlight","day 053",43.9366890027266
"sunlight","day 054",44.7660094075972
"sunlight","day 055",45.5914006755247
"sunlight","day 056",46.3620536427642
"sunlight","day 057",47.0470972430649
"sunlight","day 058",47.6492203215337
"sunlight","day 059",48.1818136360669
"sunlight","day 060",48.6675156843595
"sunlight","day 061",49.1135690974535
"sunlight","day 062",49.4563852999809
"sunlight","day 063",49.6344692859216
"sunlight","day 064",49.6655315330591
"sunlight","day 065",49.5829469569065
"sunlight","day 066",49.4118874741516
"sunlight","day 067",49.2067670045024
"sunlight","day 068",49.0273257575928
"sunlight","day 069",48.9212301665198
"sunlight","day 070",48.9234504054896
"sunlight","day 071",49.0302453896828
"sunlight","day 072",49.2288895499248
"sunlight","day 073",49.5094306386459
"sunlight","day 074",49.8528247739579
"sunlight","day 075",50.2008882150934
"sunlight","day 076",50.482320124236
"sunlight","day 077",50.612491134253
"sunlight","day 078",50.5097980378309
"sunlight","day 079",50.1180707962483
"sunlight","day 080",49.5724088689405
"sunlight","day 081",49.7475565393773
"sunlight","day 082",51.3034650094208
"sunlight","day 083",53.3012683304677
"sunlight","day 084",54.6727558761802
"sunlight","day 085",55.4311554597463
"sunlight","day 086",55.7756690794499
"sunlight","day 087",55.6658720676539
"sunlight","day 088",55.3686144648242
"sunlight","day 089",55.2101323170565
"sunlight","day 090",55.3625455600782
"sunlight","day 091",55.9157730552098
"sunlight","day 092",56.785045476511
"sunlight","day 093",57.8218346212257
"sunlight","day 094",58.7972649665962
"sunlight","day 095",59.4886909968669
"sunlight","day 096",59.7787345442945
"sunlight","day 097",59.5929898158922
"sunlight","day 098",58.9236731696882
"sunlight","day 099",57.8322126384925
"sunlight","day 100",56.5902608032274
"sunlight","day 101",55.4857220441568
"sunlight","day 102",54.6612833907995
"sunlight","day 103",54.1804705933273
"sunlight","day 104",53.93538163527
"sunlight","day 105",53.7996642722328
"sunlight","day 106",53.7445931147656
"sunlight","day 107",53.7714386453034
"sunlight","day 108",53.9079921479869
"sunlight","day 109",54.2042907415366
"sunlight","day 110",54.7177055747828
"sunlight","day 111",55.5182872405648
"sunlight","day 112",56.6770787719511
"sunlight","day 113",58.2564135189176
"sunlight","day 114",60.2396201641284
"sunlight","day 115",62.3027184040945
"sunlight","day 116",63.9854510784778
"sunlight","day 117",64.589762585698
"sunlight","day 118",63.6083343295402
"sunlight","day 119",61.5345941764929
"sunlight","day 120",59.1110515014997
"sunlight","day 121",57.0757952506216
"sunlight","day 122",55.97070704131
"sunlight","day 123",55.5572596054607
"sunlight","day 124",55.4768852069926
"sunlight","day 125",55.6712631234739
"sunlight","day 126",56.1113893485216
"sunlight","day 127",56.5852797262986
"sunlight","day 128",56.9093261845065
"sunlight","day 129",57.1911359839118
"sunlight","day 130",57.5913609040125
"sunlight","day 131",58.2034658435933
"sunlight","day 132",58.8732447807564
"sunlight","day 133",59.4082004367571
"sunlight","day 134",59.7103414261471
"sunlight","day 135",59.7410948638538
"sunlight","day 136",59.605055973012
"sunlight","day 137",59.4292018463006
"sunlight","day 138",59.2868689463655
"sunlight","day 139",59.2062696247616
"sunlight","day 140",59.088760418711
"sunlight","day 141",58.8343287584827
"sunlight","day 142",58.4643414608632
"sunlight","day 143",58.0470435531784
"sunlight","day 144",57.7168135183924
"sunlight","day 145",57.6156294367795
"sunlight","day 146",57.8497343222178
"sunlight","day 147",58.4992161026026
"sunlight","day 148",59.5752774282931
"sunlight","day 149",61.0341298934069
"sunlight","day 150",62.6809061446296
"humidity","day 001",32.855952311346
"humidity","day 002",30.8431223281678
"humidity","day 003",28.9703640535848
"humidity","day 004",27.3819771323622
"humidity","day 005",26.1963260969947
"humidity","day 006",25.4230184516974
"humidity","day 007",25.0160045073589
"humidity","day 008",24.8153628298398
"humidity","day 009",24.6692362589576
"humidity","day 010",24.5718964753833
"humidity","day 011",24.5461719488354
"humidity","day 012",24.5829894643679
"humidity","day 013",24.6447302562961
"humidity","day 014",24.6114950406449
"humidity","day 015",24.3972782967193
"humidity","day 016",24.1339300752364
"humidity","day 017",23.9640583345676
"humidity","day 018",23.8554470922908
"humidity","day 019",23.7424806012609
"humidity","day 020",23.6007679962339
"humidity","day 021",23.4252106629182
"humidity","day 022",23.2466541089296
"humidity","day 023",23.1026618056762
"humidity","day 024",23.0053339754485
"humidity","day 025",22.8989388443307
"humidity","day 026",22.7344763366857
"humidity","day 027",22.555437099514
"humidity","day 028",22.4321221899284
"humidity","day 029",22.4495835828519
"humidity","day 030",22.6415471040017
"humidity","day 031",22.8216830644613
"humidity","day 032",22.7862967851753
"humidity","day 033",22.4822891411674
"humidity","day 034",21.9557637677138
"humidity","day 035",21.4990397870231
"humidity","day 036",21.3909726607903
"humidity","day 037",21.6103477217256
"humidity","day 038",22.0420169285416
"humidity","day 039",22.4951688729468
"humidity","day 040",22.7964875672
"humidity","day 041",22.9183020727667
"humidity","day 042",22.8794713945061
"humidity","day 043",22.7393292616463
"humidity","day 044",22.5744590438199
"humidity","day 045",22.4623825109563
"humidity","day 046",22.3774106444902
"humidity","day 047",22.2849062177428
"humidity","day 048",22.2247809193883
"humidity","day 049",22.2337590997952
"humidity","day 050",22.2612668407579
"humidity","day 051",22.2357907735655
"humidity","day 052",22.0893579960608
"humidity","day 053",21.8020812244933
"humidity","day 054",21.5428751821851
"humidity","day 055",21.4901484552317
"humidity","day 056",21.6714830737496
"humidity","day 057",22.0681392796889
"humidity","day 058",22.6269167183144
"humidity","day 059",23.3046482278229
"humidity","day 060",24.1327600148228
"humidity","day 061",25.1716420674757
"humidity","day 062",26.5229461317417
"humidity","day 063",28.2448096223567
"humidity","day 064",30.1800508713584
"humidity","day 065",32.1130237219316
"humidity","day 066",33.8225249064458
"humidity","day 067",35.1346434866915
"humidity","day 068",35.9480579730407
"humidity","day 069",36.3998776225929
"humidity","day 070",36.6606861817586
"humidity","day 071",36.7965346074657
"humidity","day 072",36.8533930515104
"humidity","day 073",36.9014412346433
"humidity","day 074",37.0052541850347
"humidity","day 075",37.1827785915769
"humidity","day 076",37.4205749980289
"humidity","day 077",37.6262877068928
"humidity","day 078",37.7089896425172
"humidity","day 079",37.6623844578928
"humidity","day 080",37.4805201021565
"humidity","day 081",37.0741909803869
"humidity","day 082",36.3576301090506
"humidity","day 083",35.3420784942256
"humidity","day 084",34.0571325032109
"humidity","day 085",32.5088019585787
"humidity","day 086",30.6931540172373
"humidity","day 087",28.6234012514389
"humidity","day 088",26.4420283370521
"humidity","day 089",24.3192827526015
"humidity","day 090",22.4031450541371
