"dimension","time","value"
"sunlight","day 001",50.1293971305361
"sunlight","day 002",48.0999574430071
"sunlight","day 003",46.4475840233839
"sunlight","day 004",45.8223033264036
"sunlight","day 005",46.6819750400439
"sunlight","day 006",48.369913950337
"sunlight","day 007",49.9952495109811
"sunlight","day 008",50.8449147482855
"sunlight","day 009",50.502163532705
"sunlight","day 010",49.5577295386635
"sunlight","day 011",48.7216233659725
"sunlight","day 012",48.1734835120222
"sunlight","day 013",47.9386853849301
"sunlight","day 014",47.9559241381434
"sunlight","day 015",48.1367418876005
"sunlight","day 016",48.3707488538752
"sunlight","day 017",48.5519631907301
"sunlight","day 018",48.6139666800448
"sunlight","day 019",48.5236142252804
"sunlight","day 020",48.3412895881064
"sunlight","day 021",48.1355961668773
"sunlight","day 022",47.9144870484792
"sunlight","day 023",47.6757326174566
"sunlight","day 024",47.444939742184
"sunlight","day 025",47.2843630934648
"sunlight","day 026",47.259225206233
"sunlight","day 027",47.4149521450397
"sunlight","day 028",47.7731842283819
"sunlight","day 029",48.2802152609236
"sunlight","day 030",48.8593130363946
"sunlight","day 031",49.4169878186227
"sunlight","day 032",49.8714134900996
"sunlight","day 033",50.2041759378758
"sunlight","day 034",50.4067466870732
"sunlight","day 035",50.4467278105435
"sunlight","day 036",50.3002540735971
"sunlight","day 037",50.0014604636508
"sunlight","day 038",49.6038211440688
"sunlight","day 039",49.1801667598983
"sunlight","day 040",48.7860139953178
"sunlight","day 041",48.3882672093482
"sunlight","day 042",47.9485349028778
"sunlight","day 043",47.4958544694228
"sunlight","day 044",47.0837924270087
"sunlight","day 045",46.7854830944961
"sunlight","day 046",46.6372534737973
"sunlight","day 047",46.6547208851881
"sunlight","day 048",46.8151431406983
"sunlight","day 049",47.0971443456999
"sunlight","day 050",47.5231732871799
"sunlight","day 051",48.1006122321001
"sunlight","day 052",48.7327526857081
"sunlight","day 053",49.3136440492515
"sunlight","day 054",49.8044580696938
"sunlight","day 055",50.2143370227873
"sunlight","day 056",50.677182953723
"sunlight","day 057",51.3445311453486
"sunlight","day 058",52.3136900617001
"sunlight","day 059",53.6205807375159
"sunlight","day 060",55.1098013091559
"sunlight","day 061",56.5967208140891
"sunlight","day 062",57.9711147925988
"sunlight","day 063",59.1863424266832
"sunlight","day 064",60.3756909623859
"sunlight","day 065",61.701413809394
"sunlight","day 066",63.2371405348714
"sunlight","day 067",64.9422431214033
"sunlight","day 068",66.6859821857706
"sunlight","day 069",68.0754146137479
"sunlight","day 070",68.7318435835907
"sunlight","day 071",68.5957611744854
"sunlight","day 072",67.7443946563902
"sunlight","day 073",66.4827231614195
"sunlight","day 074",65.1595614944309
"sunlight","day 075",64.071315289097
"sunlight","day 076",63.4359504147136
"sunlight","day 077",63.2100828542525
"sunlight","day 078",63.2864971935424
"sunlight","day 079",63.5640023161608
"sunlight","day 080",63.9640497630204
"sunlight","day 081",64.4926374066236
"sunlight","day 082",65.127250313857
"sunlight","day 083",65.6467759975521
"sunlight","day 084",65.8353416580845
"sunlight","day 085",65.6966308000593
"sunlight","day 086",65.2787378528079
"sunlight","day 087",64.5883952572755
"sunlight","day 088",63.624059770829
"sunlight","day 089",62.4070215566733
"sunlight","day 090",61.0477019336111
"sunlight","day 091",59.6524353425329
"sunlight","day 092",58.2220775570793
"sunlight","day 093",56.7321395925849
"sunlight","day 094",55.1622320984078
"sunlight","day 095",53.5125784726649
"sunlight","day 096",51.8617534744846
"sunlight","day 097",50.3105566243681
"sunlight","day 098",48.970335127296
"sunlight","day 099",47.9327355524931
"sunlight","day 100",47.200054241683
"sunlight","day 101",46.7717001356616
"sunlight","day 102",46.724882799016
"sunlight","day 103",47.0649219390233
"sunlight","day 104",47.4317772099313
"sunlight","day 105",47.3984091229407
"sunlight","day 106",46.6351416700934
"sunlight","day 107",44.9812198487639
"sunlight","day 108",42.8297833365236
"sunlight","day 109",40.6208485048962
"sunlight","day 110",38.7138270243578
"sunlight","day 111",37.2434152023659
"sunlight","day 112",36.2696705800999
"sunlight","day 113",35.7788109966462
"sunlight","day 114",35.7475397462082
"sunlight","day 115",36.1883416455496
"sunlight","day 116",37.0888531114681
"sunlight","day 117",38.3015354383376
"sunlight","day 118",39.6503683062413
"sunlight","day 119",40.9805800605224
"sunlight","day 120",42.1559414936546
"sunlight","day 121",43.093144521372
"sunlight","day 122",43.7203940155049
"sunlight","day 123",43.959025549006
"sunlight","day 124",43.7655545411422
"sunlight","day 125",43.2440850953133
"sunlight","day 126",42.5463916648626
"sunlight","day 127",41.8673414187744
"sunlight","day 128",41.3825094547851
"sunlight","day 129",41.1457406845837
"sunlight","day 130",41.1749380280474
"sunlight","day 131",41.4686906166227
"sunlight","day 132",41.9542091696839
"sunlight","day 133",42.5372000935134
"sunlight","day 134",43.1087309540967
"sunlight","day 135",43.5696770906453
"sunlight","day 136",43.8747837755724
"sunlight","day 137",44.0132727656091
"sunlight","day 138",44.0584018215565
"sunlight","day 139",44.0861903433143
"sunlight","day 140",44.0996682831066
"sunlight","day 141",44.089216565582
"sunlight","day 142",44.0676094527615
"sunlight","day 143",44.0383318039033
"sunlight","day 144",43.9453175298422
"sunlight","day 145",43.7444792842301
"sunlight","day 146",43.4991956404111
"sunlight","day 147",43.2732191915771
"sunlight","day 148",43.0243326906182
"sunlight","day 149",42.7043046031019
"sunlight","day 150",42.3468160856069
"humidity","day 001",6.57515883410079
"humidity","day 002",6.83379882304111
"humidity","day 003",7.04318414984293
"humidity","day 004",7.18961748906069
"humidity","day 005",7.2762520648311
"humidity","day 006",7.33228706707361
"humidity","day 007",7.39277912928263
"humidity","day 008",7.4901686934704
"humidity","day 009",7.64489781907544
"humidity","day 010",7.83203122672407
"humidity","day 011",8.01953420790542
"humidity","day 012",8.19235167637171
"humidity","day 013",8.34144409765462
"humidity","day 014",8.4648545221403
"humidity","day 015",8.56613488756696
"humidity","day 016",8.66379009622626
"humidity","day 017",8.7789548610908
"humidity","day 018",8.92833017330326
"humidity","day 019",9.1255663436328
"humidity","day 020",9.37654468318402
"humidity","day 021",9.68050176343486
"humidity","day 022",10.0178641970207
"humidity","day 023",10.3706366255218
"humidity","day 024",10.7454269022934
"humidity","day 025",11.1530479479612
"humidity","day 026",11.5957199379654
"humidity","day 027",12.0433675183881
"humidity","day 028",12.4620313873392
"humidity","day 029",12.8345119803968
"humidity","day 030",13.1525383448587
"humidity","day 031",13.4267942374335
"humidity","day 032",13.6762273724734
"humidity","day 033",13.9338865854961
"humidity","day 034",14.2219235840896
"humidity","day 035",14.5048004429581
"humidity","day 036",14.7440468075157
"humidity","day 037",14.9471522388974
"humidity","day 038",15.1299929698919
"humidity","day 039",15.296032004178
"humidity","day 040",15.4413208474705
"humidity","day 041",15.544678242736
"humidity","day 042",15.5887256379002
"humidity","day 043",15.5885280634736
"humidity","day 044",15.568924313473
"humidity","day 045",15.5553811343891
"humidity","day 046",15.550934064703
"humidity","day 047",15.5522929079172
"humidity","day 048",15.5549586034901
"humidity","day 049",15.5493050740384
"humidity","day 050",15.5064070388568
"humidity","day 051",15.3998787880613
"humidity","day 052",15.2327920983742
"humidity","day 053",15.0216546999286
"humidity","day 054",14.8072606498941
"humidity","day 055",14.6316218474862
"humidity","day 056",14.5173352330658
"humidity","day 057",14.4768315367242
"humidity","day 058",14.5012916063277
"humidity","day 059",14.5788497398345
"humidity","day 060",14.7067039177972
"humidity","day 061",14.8886884386372
"humidity","day 062",15.1461191896573
"humidity","day 063",15.5010891954499
"humidity","day 064",15.9613184408847
"humidity","day 065",16.527083635833
"humidity","day 066",17.1879924125538
"humidity","day 067",17.9487263188684
"humidity","day 068",18.810977050152
"humidity","day 069",19.7455529613686
"humidity","day 070",20.7194683521536
"humidity","day 071",21.7154446412413
"humidity","day 072",22.7187488398835
"humidity","day 073",23.7091232103027
"humidity","day 074",24.6543271475135
"humidity","day 075",25.479713326726
"humidity","day 076",26.1038499106795
"humidity","day 077",26.4605737320346
"humidity","day 078",26.459088002595
"humidity","day 079",25.8947927808173
"humidity","day 080",24.6358395054208
"humidity","day 081",22.9551882895233
"humidity","day 082",21.3296202557882
"humidity","day 083",20.646391890664
"humidity","day 084",21.8600071042979
"humidity","day 085",25.7834841378508
"humidity","day 086",31.0733308885583
"humidity","day 087",30.970321876278
