"dimension","time","value"
"sunlight","day 001",62.9142624064064
"sunlight","day 002",65.0795648524432
"sunlight","day 003",67.3037722268809
"sunlight","day 004",69.489675283785
"sunlight","day 005",71.5002600366798
"sunlight","day 006",73.1978846058911
"sunlight","day 007",74.4430944067714
"sunlight","day 008",75.0898119279787
"sunlight","day 009",75.0158102252521
"sunlight","day 010",74.2008875493472
"sunlight","day 011",72.6629062516173
"sunlight","day 012",70.4699598907894
"sunlight","day 013",67.7542223731313
"sunlight","day 014",64.853957787701
"sunlight","day 015",62.112489931967
"sunlight","day 016",59.687291254252
"sunlight","day 017",57.6548564212453
"sunlight","day 018",55.9536203222481
"sunlight","day 019",54.4821351087851
"sunlight","day 020",53.1174817586602
"sunlight","day 021",51.7536829651017
"sunlight","day 022",50.3739994567551
"sunlight","day 023",49.0250651900078
"sunlight","day 024",47.8772367166993
"sunlight","day 025",46.9798051871651
"sunlight","day 026",46.3067505398299
"sunlight","day 027",45.6929369858668
"sunlight","day 028",44.991548336824
"sunlight","day 029",44.2681625330016
"sunlight","day 030",43.6322606859613
"sunlight","day 031",43.1565424635579
"sunlight","day 032",42.8724857441574
"sunlight","day 033",42.6834626918751
"sunlight","day 034",42.4813783272111
"sunlight","day 035",42.2403748104524
"sunlight","day 036",42.0033685912647
"sunlight","day 037",42.0061361370412
"sunlight","day 038",42.4768030473819
"sunlight","day 039",43.4200314329885
"sunlight","day 040",44.8190833001816
"sunlight","day 041",46.7950837266579
"sunlight","day 042",49.4274341807477
"sunlight","day 043",52.4907786219425
"sunlight","day 044",55.7344708818353
"sunlight","day 045",59.0457843256252
"sunlight","day 046",62.1001817132577
"sunlight","day 047",64.587524418669
"sunlight","day 048",66.5179781263253
"sunlight","day 049",67.8128365949657
"sunlight","day 050",67.71760156989
"sunlight","day 051",65.6770114359939
"sunlight","day 052",62.6085431499945
"sunlight","day 053",59.5813027778117
"sunlight","day 054",56.7981742503555
"sunlight","day 055",54.2398445232761
"sunlight","day 056",51.8644347861964
"sunlight","day 057",49.7006469745428
"sunlight","day 058",48.0820717729822
"sunlight","day 059",47.2980851926688
"sunlight","day 060",47.1563158014624
"sunlight","day 061",47.338333258713
"sunlight","day 062",47.5032190330243
"sunlight","day 063",47.404681027612
"sunlight","day 064",47.1974210748861
"sunlight","day 065",47.2064149452373
"sunlight","day 066",47.8003083236635
"sunlight","day 067",48.4720447183616
"sunlight","day 068",48.6637836005569
"sunlight","day 069",48.5602759260711
"sunlight","day 070",48.4587424786615
"sunlight","day 071",48.3636918692296
"sunlight","day 072",48.2164218084899
"sunlight","day 073",47.9980985792631
"sunlight","day 074",47.7039277269687
"sunlight","day 075",47.3454032753155
"sunlight","day 076",46.9442850968854
"sunlight","day 077",46.5471079814637
"sunlight","day 078",46.1813132389318
"sunlight","day 079",45.7731933423517
"sunlight","day 080",45.2491187154206
"sunlight","day 081",44.6369204211934
"sunlight","day 082",43.9932651810628
"sunlight","day 083",43.3887017104128
"sunlight","day 084",42.8745496964703
"sunlight","day 085",42.4113307198429
"sunlight","day 086",41.9679615622498
"sunlight","day 087",41.6268969055574
"sunlight","day 088",41.4583221157146
"sunlight","day 089",41.4956771762497
"sunlight","day 090",41.6687845846926
"sunlight","day 091",41.8873740563428
"sunlight","day 092",42.084421663575
"sunlight","day 093",42.2357222081674
"sunlight","day 094",42.4650990524339
"sunlight","day 095",42.8986304338963
"sunlight","day 096",43.5233855303722
"sunlight","day 097",44.2771014344631
"sunlight","day 098",45.039195957611
"sunlight","day 099",45.699953053255
"sunlight","day 100",46.2514405239812
"sunlight","day 101",46.715496559613
"sunlight","day 102",47.1312570497748
"sunlight","day 103",47.5174623235847
"sunlight","day 104",47.7939727683329
"sunlight","day 105",47.8713933816278
"sunlight","day 106",47.7221875441766
"sunlight","day 107",47.36561527175
"sunlight","day 108",46.9310465015012
"sunlight","day 109",46.5183102667865
"sunlight","day 110",46.1999670958374
"sunlight","day 111",46.0003764394746
"sunlight","day 112",45.9288754312663
"sunlight","day 113",45.9829130131819
"sunlight","day 114",46.1451475296198
"sunlight","day 115",46.3509631262912
"sunlight","day 116",46.5235126783356
"sunlight","day 117",46.584298177293
"sunlight","day 118",46.4890453526925
"sunlight","day 119",46.3320257696211
"sunlight","day 120",46.2168144343397
"sunlight","day 121",46.1456542822497
"sunlight","day 122",46.1099016459859
"sunlight","day 123",46.158698517977
"sunlight","day 124",46.3313532329426
"sunlight","day 125",46.5700538349715
"sunlight","day 126",46.7948963281746
"sunlight","day 127",46.9347288473843
"sunlight","day 128",46.9439383402385
"sunlight","day 129",46.8632219068026
"sunlight","day 130",46.7282555549724
"sunlight","day 131",46.5743452188822
"sunlight","day 132",46.4636884099147
"sunlight","day 133",46.4500685857124
"sunlight","day 134",46.5267214117099
"sunlight","day 135",46.6699438788535
"sunlight","day 136",46.8488260723432
"sunlight","day 137",47.029657887548
"sunlight","day 138",47.1747353662578
"sunlight","day 139",47.2495109428977
"sunlight","day 140",47.2360564760125
"sunlight","day 141",47.1177851000629
"sunlight","day 142",46.8668556290565
"sunlight","day 143",46.4803012065532
