"dimension","time","value"
"sunlight","day 001",57.3796090214296
"sunlight","day 002",57.1866185602257
"sunlight","day 003",56.9808157480018
"sunlight","day 004",56.7562135187869
"sunlight","day 005",56.508112275692
"sunlight","day 006",56.2319347505872
"sunlight","day 007",55.9267747290156
"sunlight","day 008",55.6062878824529
"sunlight","day 009",55.2906373437907
"sunlight","day 010",55.0114542056508
"sunlight","day 011",54.7890250030789
"sunlight","day 012",54.5867900810835
"sunlight","day 013",54.3723945013631
"sunlight","day 014",54.1871483824104
"sunlight","day 015",54.0797604904546
"sunlight","day 016",54.0548691258761
"sunlight","day 017",54.1029954461356
"sunlight","day 018",54.2022625028633
"sunlight","day 019",54.3322732253706
"sunlight","day 020",54.4909481595226
"sunlight","day 021",54.6815029963863
"sunlight","day 022",54.9100163912838
"sunlight","day 023",55.1868328756451
"sunlight","day 024",55.5375191208112
"sunlight","day 025",55.9952783321004
"sunlight","day 026",56.5883448816066
"sunlight","day 027",57.3209914095945
"sunlight","day 028",58.1870269636807
"sunlight","day 029",59.1623679527212
"sunlight","day 030",60.2233019701884
"sunlight","day 031",61.365493986782
"sunlight","day 032",62.5850528479567
"sunlight","day 033",63.8604855209609
"sunlight","day 034",65.1647550046375
"sunlight","day 035",66.4662503024143
"sunlight","day 036",67.7311375543009
"sunlight","day 037",68.9212654420494
"sunlight","day 038",69.9923106306129
"sunlight","day 039",70.879579176008
"sunlight","day 040",71.5164699943777
"sunlight","day 041",71.8491240513079
"sunlight","day 042",71.8445336570662
"sunlight","day 043",71.5403544512019
"sunlight","day 044",70.9852396285127
"sunlight","day 045",70.2035769307604
"sunlight","day 046",69.222716443652
"sunlight","day 047",68.0697281541647
"sunlight","day 048",66.7609310333391
"sunlight","day 049",65.3216815433011
"sunlight","day 050",63.8242371264561
"sunlight","day 051",62.3549174937912
"sunlight","day 052",61.0093904503418
"sunlight","day 053",59.8651923998621
"sunlight","day 054",58.9179860469324
"sunlight","day 055",58.1383335446155
"sunlight","day 056",57.4782685390765
"sunlight","day 057",56.8977393234537
"sunlight","day 058",56.4068812856739
"sunlight","day 059",56.0289440576941
"sunlight","day 060",55.7894471528024
"sunlight","day 061",55.7112158485173
"sunlight","day 062",55.8040285979496
"sunlight","day 063",56.0661082767213
"sunlight","day 064",56.4625022749093
"sunlight","day 065",56.9993302144528
"sunlight","day 066",57.7518077724637
"sunlight","day 067",58.331043298004
"sunlight","day 068",58.2912983573321
"sunlight","day 069",57.4729208167928
"sunlight","day 070",55.92918856204
"sunlight","day 071",54.2790132558781
"sunlight","day 072",53.1076201788503
"sunlight","day 073",52.299855305304
"sunlight","day 074",51.6030583500336
"sunlight","day 075",50.9149232958167
"sunlight","day 076",50.192380519887
"sunlight","day 077",49.4789517093206
"sunlight","day 078",48.8348961029541
"sunlight","day 079",48.3008318368248
"sunlight","day 080",47.913456085634
"sunlight","day 081",47.7134232815395
"sunlight","day 082",47.7254283630322
"sunlight","day 083",47.9063710364787
"sunlight","day 084",48.1837656762107
"sunlight","day 085",48.4353805605441
"sunlight","day 086",48.5529860507305
"sunlight","day 087",48.5315457402717
"sunlight","day 088",48.3822170475851
"sunlight","day 089",48.1100444984429
"sunlight","day 090",47.7058658300611
"sunlight","day 091",47.163844487129
"sunlight","day 092",46.505653532784
"sunlight","day 093",45.767353656114
"sunlight","day 094",45.0150464315596
"sunlight","day 095",44.3089943526717
"sunlight","day 096",43.6560627040913
"sunlight","day 097",43.052869016687
"sunlight","day 098",42.5084370151507
"sunlight","day 099",42.0303030506822
"sunlight","day 100",41.6076477866909
"sunlight","day 101",41.2272113424921
"sunlight","day 102",40.8843273488153
"sunlight","day 103",40.5787419257199
"sunlight","day 104",40.3192576391696
"sunlight","day 105",40.1130255470104
"sunlight","day 106",39.9515342287114
"sunlight","day 107",39.822236430621
"sunlight","day 108",39.7164216384887
"sunlight","day 109",39.6425294985699
"sunlight","day 110",39.6108600468682
"sunlight","day 111",39.6218845043469
"sunlight","day 112",39.6709018563607
"sunlight","day 113",39.7423509608688
"sunlight","day 114",39.8205446916296
"sunlight","day 115",39.9001521129949
"sunlight","day 116",39.9815188585087
"sunlight","day 117",40.0773406478939
"sunlight","day 118",40.1960639605922
"sunlight","day 119",40.3167882287438
"sunlight","day 120",40.4103913883638
"sunlight","day 121",40.4442124382686
"sunlight","day 122",40.3938748123079
"sunlight","day 123",40.2716786216652
"sunlight","day 124",40.0946066709837
"sunlight","day 125",39.861695861413
"sunlight","day 126",39.5691443404035
"sunlight","day 127",39.219741144103
"sunlight","day 128",38.822639387908
"sunlight","day 129",38.401167329347
"sunlight","day 130",37.9646084383576
"sunlight","day 131",37.516015036235
"sunlight","day 132",37.0522759943684
"sunlight","day 133",36.5731075040098
"sunlight","day 134",36.0956984857674
"sunlight","day 135",35.6393234436153
"sunlight","day 136",35.2141264856356
"sunlight","day 137",34.8256881187982
"sunlight","day 138",34.470464841516
"sunlight","day 139",34.1464138919397
"sunlight","day 140",33.8666194757286
"sunlight","day 141",33.6438846516983
"sunlight","day 142",33.4747609237812
"sunlight","day 143",33.3534763343135
"sunlight","day 144",33.2812166341304
"sunlight","day 145",33.2597715396459
"sunlight","day 146",33.2863889210898
"sunlight","day 147",33.3567975210112
"sunlight","day 148",33.4651914174203
"sunlight","day 149",33.6037106564497
"sunlight","day 150",33.7578138212592
"humidity","day 001",8.07363094453559
"humidity","day 002",7.26980805728142
"humidity","day 003",6.6426906893524
"humidity","day 004",6.27110118913608
"humidity","day 005",6.18681428782372
"humidity","day 006",6.35234392313226
"humidity","day 007",6.7151584222208
"humidity","day 008",7.2318044634911
"humidity","day 009",7.86385383740323
"humidity","day 010",8.58390043140743
"humidity","day 011",9.36226262151459
"humidity","day 012",10.149134640988
"humidity","day 013",10.8913677985727
"humidity","day 014",11.5425658476889
"humidity","day 015",12.0546108002733
"humidity","day 016",12.3657452576534
"humidity","day 017",12.441436071576
"humidity","day 018",12.3696865060744
"humidity","day 019",12.253400881104
"humidity","day 020",12.1325513280207
"humidity","day 021",12.025301616211
"humidity","day 022",11.9255142557822
"humidity","day 023",11.8247201553372
"humidity","day 024",11.729609633175
"humidity","day 025",11.651354946649
"humidity","day 026",11.6020874174668
"humidity","day 027",11.5970363990147
"humidity","day 028",11.6503757416364
"humidity","day 029",11.7689592518272
"humidity","day 030",11.951118429827
"humidity","day 031",12.1684155947026
"humidity","day 032",12.3922052788401
"humidity","day 033",12.6197800490765
"humidity","day 034",12.8551846778262
"humidity","day 035",13.103534725363
"humidity","day 036",13.369864277253
"humidity","day 037",13.6578107323726
"humidity","day 038",13.9734893839154
"humidity","day 039",14.334323789033
"humidity","day 040",14.7604348229509
"humidity","day 041",15.2714243692322
"humidity","day 042",15.8801808727106
"humidity","day 043",16.5732580149646
"humidity","day 044",17.3219964206099
"humidity","day 045",18.0578111419622
"humidity","day 046",18.6818554343675
"humidity","day 047",19.113679847992
"humidity","day 048",19.368056543105
"humidity","day 049",19.4914363390171
"humidity","day 050",19.5617630811005
"humidity","day 051",19.6438561068641
"humidity","day 052",19.7185436963022
"humidity","day 053",19.755318378361
"humidity","day 054",19.7623207353084
"humidity","day 055",19.7560782379011
"humidity","day 056",19.748017857528
"humidity","day 057",19.7473295970466
"humidity","day 058",19.7593560845568
"humidity","day 059",19.7863400849589
"humidity","day 060",19.8219722851122
"humidity","day 061",19.8617287047095
"humidity","day 062",19.9167787728174
"humidity","day 063",19.9987806422506
"humidity","day 064",20.1056539514427
"humidity","day 065",20.2328765402445
"humidity","day 066",20.3803009765138
"humidity","day 067",20.5503862899505
"humidity","day 068",20.7441742805533
"humidity","day 069",20.9554241976862
"humidity","day 070",21.1769165294808
"humidity","day 071",21.4047992697744
"humidity","day 072",21.6308230025303
"humidity","day 073",21.8257811665098
"humidity","day 074",21.9676875337049
"humidity","day 075",22.0843943542331
"humidity","day 076",22.215058353003
"humidity","day 077",22.3942156759633
"humidity","day 078",22.649623033215
"humidity","day 079",22.986539970428
"humidity","day 080",23.4096649886035
"humidity","day 081",23.9439495744984
"humidity","day 082",24.6191971693676
"humidity","day 083",25.464366046704
"humidity","day 084",26.5071204817306
"humidity","day 085",27.7707939243529
"humidity","day 086",29.2724585920619
"humidity","day 087",31.0026128999261
"humidity","day 088",32.9231379445915
"humidity","day 089",34.982457256513
"humidity","day 090",37.0986028937157
"humidity","day 091",39.1780328959495
"humidity","day 092",41.1113007022924
"humidity","day 093",42.7840232982844
"humidity","day 094",44.0779764559856
"humidity","day 095",44.8939185413956
"humidity","day 096",45.2123795097523
"humidity","day 097",45.0468178645667
"humidity","day 098",44.4626347132041
"humidity","day 099",43.5412759589058
"humidity","day 100",42.376424084564
"humidity","day 101",41.0649689501368
"humidity","day 102",39.7043933441959
"humidity","day 103",38.3858634146302
"humidity","day 104",37.1746858179825
"humidity","day 105",36.1157262436242
"humidity","day 106",35.1979460035868
"humidity","day 107",34.3971585242189
"humidity","day 108",33.6880828066014
"humidity","day 109",33.0286370209583
"humidity","day 110",32.371455790925
"humidity","day 111",31.665668593292
"humidity","day 112",30.8797377874563
"humidity","day 113",30.0629624100885
"humidity","day 114",29.2830463408023
"humidity","day 115",28.6004761537116
"humidity","day 116",28.0800337329212
"humidity","day 117",27.8108995079991
"humidity","day 118",27.8800311700535
"humidity","day 119",28.3410969108888
"humidity","day 120",29.2873725716541
"humidity","day 121",31.0038540901799
"humidity","day 122",33.6019742736277
"humidity","day 123",36.3071933098006
"humidity","day 124",38.0712090781316
"humidity","day 125",37.636642843932
"humidity","day 126",34.4616479739832
"humidity","day 127",31.0755828550688
"humidity","day 128",29.8862407507712
"humidity","day 129",30.0537189320551
"humidity","day 130",31.087826372445
"humidity","day 131",32.7840640849187
"humidity","day 132",34.8416231595048
"humidity","day 133",36.9292100498393
"humidity","day 134",38.6899025869364
"humidity","day 135",39.8242058369831
"humidity","day 136",40.2879624294789
"humidity","day 137",40.2065000166316
"humidity","day 138",40.12774877817
"humidity","day 139",40.5843775564811
"humidity","day 140",41.6254073170634
"humidity","day 141",42.9826432339759
"humidity","day 142",43.6026751924078
"humidity","day 143",42.6506488112678
"humidity","day 144",40.9511479332101
"humidity","day 145",39.5712013668097
"humidity","day 146",38.8881795605779
"humidity","day 147",39.026313716781
"humidity","day 148",39.7869364127683
"humidity","day 149",40.911512275632
"humidity","day 150",42.2249327563518
