"dimension","time","value"
"sunlight","day 001",29.2936412627332
"sunlight","day 002",29.4223572953383
"sunlight","day 003",29.5470342730477
"sunlight","day 004",29.6641987380027
"sunlight","day 005",29.7728297207836
"sunlight","day 006",29.8788475275563
"sunlight","day 007",29.9881902474477
"sunlight","day 008",30.0999258258431
"sunlight","day 009",30.2131989740996
"sunlight","day 010",30.334331611204
"sunlight","day 011",30.4696713008592
"sunlight","day 012",30.6184909780035
"sunlight","day 013",30.7800002554587
"sunlight","day 014",30.9602300863431
"sunlight","day 015",31.1644359742821
"sunlight","day 016",31.38795028463
"sunlight","day 017",31.623676182637
"sunlight","day 018",31.8647231714061
"sunlight","day 019",32.1068418236864
"sunlight","day 020",32.3561406529574
"sunlight","day 021",32.6200815031791
"sunlight","day 022",32.9011815995035
"sunlight","day 023",33.2015422604789
"sunlight","day 024",33.5266737325756
"sunlight","day 025",33.8834182524788
"sunlight","day 026",34.2770383008338
"sunlight","day 027",34.7059655920093
"sunlight","day 028",35.1645205939802
"sunlight","day 029",35.6374095554199
"sunlight","day 030",36.1076189460533
"sunlight","day 031",36.5608703391112
"sunlight","day 032",36.9810850332237
"sunlight","day 033",37.3422481251134
"sunlight","day 034",37.6233439780463
"sunlight","day 035",37.8332902233689
"sunlight","day 036",37.9925498292496
"sunlight","day 037",38.1378338430611
"sunlight","day 038",38.3104362935439
"sunlight","day 039",38.5537350557051
"sunlight","day 040",38.9099733285488
"sunlight","day 041",39.4147717608003
"sunlight","day 042",40.0900085570646
"sunlight","day 043",40.909214695744
"sunlight","day 044",41.8318686108654
"sunlight","day 045",42.8137536485177
"sunlight","day 046",43.8253588704075
"sunlight","day 047",44.8392362465963
"sunlight","day 048",45.8195179271227
"sunlight","day 049",46.7301209356996
"sunlight","day 050",47.5425216107589
"sunlight","day 051",48.2282698736371
"sunlight","day 052",48.7516506625703
"sunlight","day 053",49.0768769665415
"sunlight","day 054",49.1751389606238
"sunlight","day 055",49.0174857826719
"sunlight","day 056",48.5674252355774
"sunlight","day 057",47.8596016483056
"sunlight","day 058",47.2207467890783
"sunlight","day 059",46.9622397917239
"sunlight","day 060",47.0419618132401
"sunlight","day 061",47.3274435915606
"sunlight","day 062",47.6783121651934
"sunlight","day 063",47.9700382516405
"sunlight","day 064",48.1493709838052
"sunlight","day 065",48.2124722734155
"sunlight","day 066",48.2680869355373
"sunlight","day 067",48.401393773973
"sunlight","day 068",48.6640348918685
"sunlight","day 069",49.0286647759801
"sunlight","day 070",49.4482769483495
"sunlight","day 071",49.8762086885469
"sunlight","day 072",50.2674173626876
"sunlight","day 073",50.582996925537
"sunlight","day 074",50.785450215448
"sunlight","day 075",50.8367790164724
"sunlight","day 076",50.6945592292089
"sunlight","day 077",50.2991642747455
"sunlight","day 078",49.6142568892429
"sunlight","day 079",48.7138595486648
"sunlight","day 080",47.7449292739663
"sunlight","day 081",47.0358015262667
"sunlight","day 082",46.8979460725847
"sunlight","day 083",47.393991463375
"sunlight","day 084",48.4726460283984
"sunlight","day 085",49.8757784312047
"sunlight","day 086",51.309874290821
"sunlight","day 087",52.5847366480049
"sunlight","day 088",53.678535149991
"sunlight","day 089",54.6068090388729
"sunlight","day 090",55.3825362017333
"sunlight","day 091",56.0193589482035
"sunlight","day 092",56.5361386331204
"sunlight","day 093",56.9505347923139
"sunlight","day 094",57.2701806403789
"sunlight","day 095",57.5001334315577
"sunlight","day 096",57.6451728999158
"sunlight","day 097",57.7124960188753
"sunlight","day 098",57.719246239462
"sunlight","day 099",57.6833609746004
"sunlight","day 100",57.6160070072064
"sunlight","day 101",57.5284254823207
"sunlight","day 102",57.4389256234921
"sunlight","day 103",57.3658815257198
"sunlight","day 104",57.3208586912976
"sunlight","day 105",57.3151734092026
"sunlight","day 106",57.365953707851
"sunlight","day 107",57.4906435730246
"sunlight","day 108",57.7019703807692
"sunlight","day 109",58.0108497306032
"sunlight","day 110",58.4234719635212
"sunlight","day 111",58.9278011854555
"sunlight","day 112",59.5057219036277
"sunlight","day 113",60.133026465478
"sunlight","day 114",60.7830207213613
"sunlight","day 115",61.4251566930743
"sunlight","day 116",62.0299305455483
"sunlight","day 117",62.5758688448118
"sunlight","day 118",63.0400795332663
"sunlight","day 119",63.3859656577073
"sunlight","day 120",63.5832088887741
"sunlight","day 121",63.6403102880859
"sunlight","day 122",63.5815468224147
"sunlight","day 123",63.4554796881625
"sunlight","day 124",63.3148355142871
"sunlight","day 125",63.2047184303401
"sunlight","day 126",63.1686863718636
"sunlight","day 127",63.2517349977684
"sunlight","day 128",63.5045313539067
"sunlight","day 129",63.9671360335057
"sunlight","day 130",64.5575044778035
"sunlight","day 131",65.1743021761281
"sunlight","day 132",65.7664519182532
"sunlight","day 133",66.3035223270542
"sunlight","day 134",66.7874080573685
"sunlight","day 135",67.225500893362
"sunlight","day 136",67.6148551045541
"sunlight","day 137",67.950866588989
"sunlight","day 138",68.2326352734568
"sunlight","day 139",68.4618999063985
"sunlight","day 140",68.6472504941139
"sunlight","day 141",68.797281895203
"sunlight","day 142",68.9137571196073
"sunlight","day 143",68.9984984609529
"sunlight","day 144",69.0603971962633
"sunlight","day 145",69.1082689934098
"sunlight","day 146",69.1435581002576
"sunlight","day 147",69.1677723339811
"sunlight","day 148",69.1900452089954
"sunlight","day 149",69.2183791898815
"sunlight","day 150",69.2486268446429
"humidity","day 001",19.8896592159503
"humidity","day 002",21.7638259257342
"humidity","day 003",23.4565487619864
"humidity","day 004",24.916880080558
"humidity","day 005",26.1703331853742
"humidity","day 006",27.399714100515
"humidity","day 007",28.7869597515929
"humidity","day 008",30.3532379501923
"humidity","day 009",32.040212211053
"humidity","day 010",33.632297975565
"humidity","day 011",34.922785982237
"humidity","day 012",35.897716231405
"humidity","day 013",36.6279163633125
"humidity","day 014",37.3306153160072
"humidity","day 015",38.1574539624786
"humidity","day 016",38.8513196176788
"humidity","day 017",39.089665934242
"humidity","day 018",38.6969654735666
"humidity","day 019",37.5933020553821
"humidity","day 020",35.9341856239763
"humidity","day 021",33.9206408301355
"humidity","day 022",31.7003250260796
"humidity","day 023",29.4149848881382
"humidity","day 024",27.2154092346844
"humidity","day 025",25.1770882210041
"humidity","day 026",23.3697350206856
"humidity","day 027",21.9226846923644
"humidity","day 028",20.9473640561093
"humidity","day 029",20.4239450926729
"humidity","day 030",20.292650955488
"humidity","day 031",20.4651643280219
"humidity","day 032",20.8637153534059
"humidity","day 033",21.4812644833925
"humidity","day 034",22.3331894543777
"humidity","day 035",23.4538068327119
"humidity","day 036",24.8862265182825
"humidity","day 037",26.6897929151712
"humidity","day 038",28.8894867627862
"humidity","day 039",31.3565996376486
"humidity","day 040",33.9163308122519
"humidity","day 041",36.3631995058668
"humidity","day 042",38.4697120116912
"humidity","day 043",39.951002971855
"humidity","day 044",40.6071084091218
"humidity","day 045",40.6091167306651
"humidity","day 046",40.1236614802866
"humidity","day 047",39.2793685952656
"humidity","day 048",38.1565327435626
"humidity","day 049",36.8241576731209
"humidity","day 050",35.3544147211348
"humidity","day 051",33.8239790070105
"humidity","day 052",32.324373189751
"humidity","day 053",30.9452720978387
"humidity","day 054",29.7541116980787
"humidity","day 055",28.764032875365
"humidity","day 056",27.7932350486268
"humidity","day 057",26.6660285730352
"humidity","day 058",25.4261090146932
"humidity","day 059",24.1506222955864
"humidity","day 060",22.831130550299
"humidity","day 061",21.4292128316902
"humidity","day 062",19.8720996531216
"humidity","day 063",18.1473617774482
"humidity","day 064",16.5182795049949
"humidity","day 065",15.2830210535846
"humidity","day 066",14.5733423443587
"humidity","day 067",14.3659421147788
"humidity","day 068",14.5913994943419
"humidity","day 069",15.1168328974982
"humidity","day 070",15.8041435751453
"humidity","day 071",16.5578248390197
"humidity","day 072",17.2867206253584
"humidity","day 073",17.8744853075618
"humidity","day 074",18.2570437344232
"humidity","day 075",18.6045922191448
"humidity","day 076",19.0666538815072
"humidity","day 077",19.4757876031957
"humidity","day 078",19.6323228164709
"humidity","day 079",19.5246353939887
"humidity","day 080",19.2378072239144
"humidity","day 081",19.0556978160564
"humidity","day 082",19.2331059217706
"humidity","day 083",19.7098096369611
"humidity","day 084",20.35401461644
"humidity","day 085",21.0626574061026
"humidity","day 086",21.7214055184116
"humidity","day 087",22.1446942827026
"humidity","day 088",22.1388066388498
"humidity","day 089",21.5899874852735
"humidity","day 090",20.6940301878344
"humidity","day 091",19.7336138815246
"humidity","day 092",19.0294123104206
"humidity","day 093",18.8510436281244
"humidity","day 094",19.2259090172558
"humidity","day 095",20.0764300932424
"humidity","day 096",21.1473271737267
"humidity","day 097",22.1795037927036
"humidity","day 098",23.0762976473644
"humidity","day 099",23.8081274695708
"humidity","day 100",24.4513019666694
"humidity","day 101",25.0675143741294
"humidity","day 102",25.5541060644249
"humidity","day 103",25.8552424312204
"humidity","day 104",26.2667368159359
"humidity","day 105",27.0934103368824
"humidity","day 106",28.3244672721788
"humidity","day 107",29.8599069782373
"humidity","day 108",31.5623812913433
"humidity","day 109",33.2996626421606
"humidity","day 110",34.9210654515335
"humidity","day 111",36.1866507949908
"humidity","day 112",36.9072185925118
"humidity","day 113",37.185777487193
"humidity","day 114",37.191169404307
"humidity","day 115",37.0633606747137
"humidity","day 116",36.856224051721
"humidity","day 117",36.3081335728426
"humidity","day 118",35.1976242393695
"humidity","day 119",33.7793736234947
"humidity","day 120",32.3244710427241
"humidity","day 121",30.6935102249118
"humidity","day 122",28.7059658421745
"humidity","day 123",26.4273319333301
"humidity","day 124",23.9934214630651
"humidity","day 125",21.5753037328393
"humidity","day 126",19.3552065841377
"humidity","day 127",17.5247356817726
"humidity","day 128",16.197691860088
"humidity","day 129",15.2074181133698
"humidity","day 130",14.4676653701686
"humidity","day 131",13.9172487519491
"humidity","day 132",13.4346829312678
"humidity","day 133",12.9157046235228
"humidity","day 134",12.385239164388
"humidity","day 135",11.907312531165
"humidity","day 136",11.5731646473896
"humidity","day 137",11.463931172957
"humidity","day 138",11.5931167669642
"humidity","day 139",11.9581195624223
"humidity","day 140",12.5595425887961
"humidity","day 141",13.4116935805447
"humidity","day 142",14.5804941956515
"humidity","day 143",16.0534878740797
"humidity","day 144",17.4530912601888
"humidity","day 145",18.4046483551847
"humidity","day 146",18.9103393832636
"humidity","day 147",19.0962729420077
"humidity","day 148",19.2074348995528
