"dimension","time","value"
"sunlight","day 001",31.6193443035398
"sunlight","day 002",32.3972123764374
"sunlight","day 003",33.0995541575576
"sunlight","day 004",33.6819482777405
"sunlight","day 005",34.1267121260825
"sunlight","day 006",34.4789483881596
"sunlight","day 007",34.7867681656072
"sunlight","day 008",35.0475309278196
"sunlight","day 009",35.2455073882892
"sunlight","day 010",35.3633648691442
"sunlight","day 011",35.3997562017551
"sunlight","day 012",35.4188796458276
"sunlight","day 013",35.4842106004283
"sunlight","day 014",35.5907875937345
"sunlight","day 015",35.72102173297
"sunlight","day 016",35.8752513124331
"sunlight","day 017",36.0565485982526
"sunlight","day 018",36.2609945568031
"sunlight","day 019",36.4841596052352
"sunlight","day 020",36.7265632635596
"sunlight","day 021",36.9860322519583
"sunlight","day 022",37.2446729884416
"sunlight","day 023",37.4962832464006
"sunlight","day 024",37.7752621359771
"sunlight","day 025",38.0440926504502
"sunlight","day 026",38.2457222037542
"sunlight","day 027",38.3324934402303
"sunlight","day 028",38.2825261127527
"sunlight","day 029",38.1676531779212
"sunlight","day 030",38.0831770015267
"sunlight","day 031",38.1245643823992
"sunlight","day 032",38.4260196539819
"sunlight","day 033",39.2765328551337
"sunlight","day 034",40.8480116606359
"sunlight","day 035",42.6892485835445
"sunlight","day 036",44.2296510130102
"sunlight","day 037",45.044201004289
"sunlight","day 038",44.907263170456
"sunlight","day 039",44.2451576897578
"sunlight","day 040",43.678596659819
"sunlight","day 041",43.9539042906026
"sunlight","day 042",45.5656030419055
"sunlight","day 043",47.8753962605197
"sunlight","day 044",49.9861885417812
"sunlight","day 045",51.2649288574061
"sunlight","day 046",51.7686532827022
"sunlight","day 047",51.7015782742531
"sunlight","day 048",51.1909607369489
"sunlight","day 049",50.351081578349
"sunlight","day 050",49.3212772683836
"sunlight","day 051",48.2439277959598
"sunlight","day 052",47.2485316635205
"sunlight","day 053",46.4383176303174
"sunlight","day 054",45.8243169693002
"sunlight","day 055",45.3864703510617
"sunlight","day 056",45.0725535230689
"sunlight","day 057",44.8262876090848
"sunlight","day 058",44.6073401611802
"sunlight","day 059",44.3919620103071
"sunlight","day 060",44.2067906746354
"sunlight","day 061",44.078080810536
"sunlight","day 062",43.980168939968
"sunlight","day 063",43.8882344858325
"sunlight","day 064",43.8327466092124
"sunlight","day 065",43.8512340595091
"sunlight","day 066",43.9423487786501
"sunlight","day 067",44.0506781720715
"sunlight","day 068",44.1332780925875
"sunlight","day 069",44.2443798727884
"sunlight","day 070",44.4574802277193
"sunlight","day 071",44.8259619224674
"sunlight","day 072",45.3784149234969
"sunlight","day 073",46.0643719527401
"sunlight","day 074",46.8110783649261
"sunlight","day 075",47.5356872905048
"sunlight","day 076",48.1785697083336
"sunlight","day 077",48.7830602151792
"sunlight","day 078",49.401124011183
"sunlight","day 079",50.016285092074
"sunlight","day 080",50.5900016051791
"sunlight","day 081",51.0639095086288
"sunlight","day 082",51.382831614709
"sunlight","day 083",51.5241603415251
"sunlight","day 084",51.4962543098491
"sunlight","day 085",51.3987673453008
"sunlight","day 086",51.3154034702922
"sunlight","day 087",51.2132602422028
"sunlight","day 088",51.1746134245686
"sunlight","day 089",51.2962512145535
"sunlight","day 090",51.5790597332545
"sunlight","day 091",51.98245941724
"sunlight","day 092",52.3959100410292
"sunlight","day 093",52.7246581820083
"sunlight","day 094",53.0070582910814
"sunlight","day 095",53.3103473610259
"sunlight","day 096",53.6841846785952
"sunlight","day 097",54.1461252381422
"sunlight","day 098",54.6028845704407
"sunlight","day 099",54.9725069477366
"sunlight","day 100",55.3291910717421
"sunlight","day 101",55.7502340279272
"sunlight","day 102",56.1691720073259
"sunlight","day 103",56.5085820393425
"sunlight","day 104",56.7909654012997
"sunlight","day 105",57.0494726602649
"sunlight","day 106",57.2599272943669
"sunlight","day 107",57.3917046354005
"sunlight","day 108",57.4459238011944
"sunlight","day 109",57.4324246652014
"sunlight","day 110",57.3708468292956
"sunlight","day 111",57.3191916793131
"sunlight","day 112",57.3400930619464
"sunlight","day 113",57.4763528833534
"sunlight","day 114",57.7513446776494
"sunlight","day 115",58.1305604313177
"sunlight","day 116",58.5723373661629
"sunlight","day 117",59.0642751929067
"sunlight","day 118",59.6093157998003
"sunlight","day 119",60.2425072962947
"sunlight","day 120",60.9887280439165
"sunlight","day 121",61.8000711912941
"sunlight","day 122",62.587606561069
