"dimension","time","value"
"sunlight","day 001",31.075545600841
"sunlight","day 002",32.0592652184872
"sunlight","day 003",32.9447016227504
"sunlight","day 004",33.6508234576079
"sunlight","day 005",34.1017849823507
"sunlight","day 006",34.2288283602527
"sunlight","day 007",33.9825687176623
"sunlight","day 008",33.3840251292454
"sunlight","day 009",32.5419616997989
"sunlight","day 010",31.8457187063262
"sunlight","day 011",31.6617295557337
"sunlight","day 012",31.9842240023342
"sunlight","day 013",32.7196114366639
"sunlight","day 014",33.7952234467475
"sunlight","day 015",35.1314001620805
"sunlight","day 016",36.5995936805539
"sunlight","day 017",38.0518892391389
"sunlight","day 018",39.3117926627336
"sunlight","day 019",40.2132436794331
"sunlight","day 020",40.6604970421938
"sunlight","day 021",40.5498731603181
"sunlight","day 022",39.6756400436316
"sunlight","day 023",37.9483950629939
"sunlight","day 024",35.9593341610315
"sunlight","day 025",34.8944106538857
"sunlight","day 026",35.6706104823422
"sunlight","day 027",37.6761351731548
"sunlight","day 028",40.0250770513017
"sunlight","day 029",42.2638760486909
"sunlight","day 030",44.1227160974715
"sunlight","day 031",45.6344095238274
"sunlight","day 032",46.8845771481002
"sunlight","day 033",47.8674453732275
"sunlight","day 034",48.5550430857348
"sunlight","day 035",48.9220035239041
"sunlight","day 036",48.9498255670736
"sunlight","day 037",48.64486630705
"sunlight","day 038",48.0400978673073
"sunlight","day 039",47.2500942855203
"sunlight","day 040",46.4048521890633
"sunlight","day 041",45.614456649911
"sunlight","day 042",44.9505700523178
"sunlight","day 043",44.3510755850591
"sunlight","day 044",43.7577352529431
"sunlight","day 045",43.2453649566789
"sunlight","day 046",42.8611419570411
"sunlight","day 047",42.6289822298758
"sunlight","day 048",42.5447188661528
"sunlight","day 049",42.5922762038305
"sunlight","day 050",42.7360264536977
"sunlight","day 051",42.9364305005055
"sunlight","day 052",43.1578560520218
"sunlight","day 053",43.3781465228212
"sunlight","day 054",43.625141331689
"sunlight","day 055",43.9101822434994
"sunlight","day 056",44.1286244032713
"sunlight","day 057",44.1899626990337
"sunlight","day 058",44.1762376107103
"sunlight","day 059",44.2044184600947
"sunlight","day 060",44.3586443445651
"sunlight","day 061",44.688230568992
"sunlight","day 062",45.1360274926302
"sunlight","day 063",45.6229199384364
"sunlight","day 064",46.0883955297909
"sunlight","day 065",46.4961137076805
"sunlight","day 066",46.8758118538936
"sunlight","day 067",47.2287223509131
"sunlight","day 068",47.5472366038838
"sunlight","day 069",47.836408225403
"sunlight","day 070",48.1221133201667
"sunlight","day 071",48.5008557538131
"sunlight","day 072",49.0605053393802
"sunlight","day 073",49.783767918564
"sunlight","day 074",50.6069173975994
"sunlight","day 075",51.3856639122187
"sunlight","day 076",51.9810017273252
"sunlight","day 077",52.3556253950075
"sunlight","day 078",52.5027489420323
"sunlight","day 079",52.4359640066916
"sunlight","day 080",52.1986395809919
"sunlight","day 081",51.9328764602713
"sunlight","day 082",51.7640149587649
"sunlight","day 083",51.6516216629624
"sunlight","day 084",51.5256301489173
"sunlight","day 085",51.3632156786851
"sunlight","day 086",51.1704499506276
"sunlight","day 087",51.0167401829643
"sunlight","day 088",50.9685454512474
