"dimension","time","value"
"sunlight","day 001",33.1192899178581
"sunlight","day 002",34.062477969698
"sunlight","day 003",35.025576397539
"sunlight","day 004",36.0299365840295
"sunlight","day 005",37.0971285365538
"sunlight","day 006",38.2425673597687
"sunlight","day 007",39.4726766857409
"sunlight","day 008",40.7640691589005
"sunlight","day 009",42.0818474671557
"sunlight","day 010",43.3748854599609
"sunlight","day 011",44.5915670610546
"sunlight","day 012",45.6945453297647
"sunlight","day 013",46.6456990117721
"sunlight","day 014",47.3895404625798
"sunlight","day 015",47.8804655608684
"sunlight","day 016",48.1297706682061
"sunlight","day 017",48.1666682550851
"sunlight","day 018",48.0351347448055
"sunlight","day 019",47.7681149768907
"sunlight","day 020",47.339663502949
"sunlight","day 021",46.7192257814736
"sunlight","day 022",45.9167011864149
"sunlight","day 023",44.9458898349186
"sunlight","day 024",43.8120421244511
"sunlight","day 025",42.5794006087911
"sunlight","day 026",41.3121039962972
"sunlight","day 027",40.008670721668
"sunlight","day 028",38.6728240828006
"sunlight","day 029",37.3947271040438
"sunlight","day 030",36.3014888024956
"sunlight","day 031",35.5815624397961
"sunlight","day 032",35.3867375078275
"sunlight","day 033",35.6608041748977
"sunlight","day 034",36.2904025832901
"sunlight","day 035",37.1415720947662
"sunlight","day 036",38.0858545030602
"sunlight","day 037",39.037402110321
"sunlight","day 038",39.9170132722204
"sunlight","day 039",40.6294600501061
"sunlight","day 040",41.0802592169141
"sunlight","day 041",41.1939326862557
"sunlight","day 042",40.9405012242333
"sunlight","day 043",40.4529758662354
"sunlight","day 044",39.9067567222917
"sunlight","day 045",39.4627356424563
"sunlight","day 046",39.1991488270876
"sunlight","day 047",39.1566382276833
"sunlight","day 048",39.3097659573116
"sunlight","day 049",39.6206663625647
"sunlight","day 050",40.0678425625599
"sunlight","day 051",40.6281067672319
"sunlight","day 052",41.2551387772601
"sunlight","day 053",41.9032468846014
"sunlight","day 054",42.5523857555763
"sunlight","day 055",43.1853644045822
"sunlight","day 056",43.7707628639605
"sunlight","day 057",44.2856881696959
"sunlight","day 058",44.755584354404
"sunlight","day 059",45.2121620894442
"sunlight","day 060",45.6638616045218
