"dimension","time","value"
"sunlight","day 001",37.87056641952
"sunlight","day 002",36.5174558620152
"sunlight","day 003",35.4916480220467
"sunlight","day 004",35.1258147701915
"sunlight","day 005",35.6758871264659
"sunlight","day 006",37.0653983132913
"sunlight","day 007",39.0157554524961
"sunlight","day 008",40.7722590611299
"sunlight","day 009",41.6091691246294
"sunlight","day 010",41.3926901067587
"sunlight","day 011",40.2432821481772
"sunlight","day 012",38.7064836187987
"sunlight","day 013",37.3211457760831
"sunlight","day 014",36.1742931984215
"sunlight","day 015",35.2548748119784
"sunlight","day 016",34.6113636130811
"sunlight","day 017",34.2955727904297
"sunlight","day 018",34.3131522320545
"sunlight","day 019",34.6485868748901
"sunlight","day 020",35.2478651521603
"sunlight","day 021",36.0408497196919
"sunlight","day 022",36.9313966274351
"sunlight","day 023",37.8158805335986
"sunlight","day 024",38.611850665155
"sunlight","day 025",39.336250628213
"sunlight","day 026",40.0419933004169
"sunlight","day 027",40.8254945261444
"sunlight","day 028",41.7630033162574
"sunlight","day 029",42.8065983808213
"sunlight","day 030",43.8409507816335
"sunlight","day 031",44.6052712882146
"sunlight","day 032",44.8411817792375
"sunlight","day 033",44.4454088622589
"sunlight","day 034",43.4216821146323
"sunlight","day 035",42.0466382640123
"sunlight","day 036",40.6544802142029
"sunlight","day 037",39.5367684233035
"sunlight","day 038",38.9597609333325
"sunlight","day 039",39.131148567688
"sunlight","day 040",40.1135285286255
"sunlight","day 041",41.4476907524504
"sunlight","day 042",42.6184456023605
"sunlight","day 043",43.4084924150736
"sunlight","day 044",43.7461453442341
"sunlight","day 045",43.8150623357072
"sunlight","day 046",43.7531379010436
"sunlight","day 047",43.6792234506702
"sunlight","day 048",43.7529039983773
"sunlight","day 049",44.0999501806974
"sunlight","day 050",44.6701415217669
"sunlight","day 051",45.3733821533916
"sunlight","day 052",46.136065750451
"sunlight","day 053",46.8961532540879
"sunlight","day 054",47.6213851274227
"sunlight","day 055",48.2907548982916
"sunlight","day 056",48.8984888314146
"sunlight","day 057",49.4352739447758
"sunlight","day 058",49.8624075325309
"sunlight","day 059",50.131157545057
"sunlight","day 060",50.1820642814447
"sunlight","day 061",49.9799374722064
"sunlight","day 062",49.5973922248286
"sunlight","day 063",49.1218252759854
"sunlight","day 064",48.5919545021256
"sunlight","day 065",48.0336861909517
"sunlight","day 066",47.4730898089539
"sunlight","day 067",46.94651564313
"sunlight","day 068",46.476821999842
"sunlight","day 069",46.0219765687091
"sunlight","day 070",45.5436261487188
"sunlight","day 071",45.0830245930741
"sunlight","day 072",44.709353050169
"sunlight","day 073",44.5238947949471
"sunlight","day 074",44.6165577813915
"sunlight","day 075",44.9996465530956
"sunlight","day 076",45.6515876525608
"sunlight","day 077",46.492899028312
"sunlight","day 078",47.4194621691204
"sunlight","day 079",48.2865213187214
"sunlight","day 080",48.9789777003092
"sunlight","day 081",49.5409976999515
"sunlight","day 082",50.0327847545492
"sunlight","day 083",50.4194253414656
"sunlight","day 084",50.6578840974008
"sunlight","day 085",50.7677552559432
"sunlight","day 086",50.783943545482
"sunlight","day 087",50.7448260860546
"sunlight","day 088",50.7078731306023
"sunlight","day 089",50.7290637451681
"sunlight","day 090",50.8389722108772
"sunlight","day 091",51.0525103650642
"sunlight","day 092",51.3473450548211
"sunlight","day 093",51.6827050714552
"sunlight","day 094",51.9813119733773
"sunlight","day 095",52.1757055633894
"sunlight","day 096",52.2742058547545
"sunlight","day 097",52.3061410877335
"sunlight","day 098",52.3090922001168
"sunlight","day 099",52.3152145795691
"sunlight","day 100",52.3267087157227
"sunlight","day 101",52.3379148373428
"sunlight","day 102",52.3416870277583
"sunlight","day 103",52.3372851926216
"sunlight","day 104",52.351078672315
"sunlight","day 105",52.4083155312668
"sunlight","day 106",52.5026492953585
"sunlight","day 107",52.6364337977084
"sunlight","day 108",52.8693199018098
"sunlight","day 109",53.2411624645583
"sunlight","day 110",53.7663291414484
"sunlight","day 111",54.3936337308388
"sunlight","day 112",55.0501324865285
"sunlight","day 113",55.6414053412112
"sunlight","day 114",56.0801755494674
"sunlight","day 115",56.3292159745291
"sunlight","day 116",56.3885396062969
"sunlight","day 117",56.3570703326935
"sunlight","day 118",56.360089593517
"sunlight","day 119",56.5293981380459
"sunlight","day 120",56.9616428448235
"sunlight","day 121",57.6063357999727
"sunlight","day 122",58.3806504662115
"sunlight","day 123",59.2195406050572
"sunlight","day 124",60.0735105234393
"sunlight","day 125",60.9374864111341
"sunlight","day 126",61.8155153778055
"sunlight","day 127",62.7037063298197
"sunlight","day 128",63.6043490847644
"sunlight","day 129",64.5330464919555
"sunlight","day 130",65.4361715969355
"sunlight","day 131",66.2733664251091
"sunlight","day 132",67.1347441871486
"sunlight","day 133",68.1137623902855
"sunlight","day 134",69.1867845427191
"sunlight","day 135",70.2784087281065
"sunlight","day 136",71.223265330968
"sunlight","day 137",71.8730608252104
"sunlight","day 138",72.2377737414216
"sunlight","day 139",72.3307643160245
"sunlight","day 140",72.0206475520985
"sunlight","day 141",71.1956642014529
"sunlight","day 142",69.9673032441586
"sunlight","day 143",68.5053040149486
"sunlight","day 144",66.9891590389429
"sunlight","day 145",65.5939456020215
"sunlight","day 146",64.4673268427177
"sunlight","day 147",63.7100743965314
"sunlight","day 148",63.2628080341756
"sunlight","day 149",63.0294905088492
"sunlight","day 150",62.9276083684801
"humidity","day 001",6.95920474097604
"humidity","day 002",7.93363601451272
"humidity","day 003",8.89395164224887
"humidity","day 004",9.81466513447825
"humidity","day 005",10.6705690976239
"humidity","day 006",11.4509390562831
"humidity","day 007",12.1497604793451
"humidity","day 008",12.7653756946944
"humidity","day 009",13.2950039603868
"humidity","day 010",13.7270153961708
"humidity","day 011",14.0487520832221
"humidity","day 012",14.2522930867357
"humidity","day 013",14.324993442369
"humidity","day 014",14.2305750836127
"humidity","day 015",13.9611649905759
"humidity","day 016",13.6461434320093
"humidity","day 017",13.4420652156026
"humidity","day 018",13.47693001616
"humidity","day 019",13.8303359023581
"humidity","day 020",14.4168296512487
"humidity","day 021",15.1284761338314
"humidity","day 022",15.9324638885215
"humidity","day 023",16.8064546336165
"humidity","day 024",17.6986646184652
"humidity","day 025",18.5641442712035
"humidity","day 026",19.3591889931404
"humidity","day 027",20.0299321625171
"humidity","day 028",20.5286135867072
"humidity","day 029",20.8420608126818
"humidity","day 030",20.9675478118724
"humidity","day 031",20.9095465139541
"humidity","day 032",20.6751269407265
"humidity","day 033",20.2745535242444
"humidity","day 034",19.7222888291868
"humidity","day 035",19.0463935404744
"humidity","day 036",18.2871232072829
"humidity","day 037",17.5199147155664
"humidity","day 038",16.8189135845913
"humidity","day 039",16.2179185300952
"humidity","day 040",15.7390490808082
"humidity","day 041",15.3980548209581
"humidity","day 042",15.2045040952795
"humidity","day 043",15.1496102350354
"humidity","day 044",15.2165989649052
"humidity","day 045",15.3810970568368
"humidity","day 046",15.6393182700925
"humidity","day 047",15.9906037054667
"humidity","day 048",16.4228179893508
"humidity","day 049",16.9178053306986
"humidity","day 050",17.4448047431181
"humidity","day 051",17.9747315705551
"humidity","day 052",18.4978116736543
"humidity","day 053",19.0071998736077
"humidity","day 054",19.4884563170976
"humidity","day 055",19.9230501963169
"humidity","day 056",20.2836815600119
"humidity","day 057",20.5364638365162
"humidity","day 058",20.6299331159601
"humidity","day 059",20.5110160730124
"humidity","day 060",20.1377790586998
"humidity","day 061",19.4684309992542
"humidity","day 062",18.4506114453676
"humidity","day 063",17.1127153034023
"humidity","day 064",15.816728277939
"humidity","day 065",14.9280409436898
"humidity","day 066",14.4873952449557
"humidity","day 067",14.4368310457459
"humidity","day 068",14.7135785332134
"humidity","day 069",15.2543384379562
"humidity","day 070",15.9965387162405
"humidity","day 071",16.8810456835613
"humidity","day 072",17.8552011775816
"humidity","day 073",18.8888107654077
"humidity","day 074",19.9566236860901
"humidity","day 075",21.0307001370118
"humidity","day 076",22.0816561631268
"humidity","day 077",23.0770202413409
"humidity","day 078",23.9859819377608
"humidity","day 079",24.7874627433439
"humidity","day 080",25.4813612724056
"humidity","day 081",26.1417527078425
"humidity","day 082",26.8552204442303
"humidity","day 083",27.6842041542785
"humidity","day 084",28.6760302392783
"humidity","day 085",29.8417157367135
"humidity","day 086",31.1770402883196
"humidity","day 087",32.6612473943952
"humidity","day 088",34.2998368114365
"humidity","day 089",36.0717424865304
"humidity","day 090",37.8172188181314
"humidity","day 091",39.3248478663423
"humidity","day 092",40.315201886489
"humidity","day 093",40.562972918961
"humidity","day 094",40.1273419491787
"humidity","day 095",39.140356758421
"humidity","day 096",37.7410433663703
"humidity","day 097",36.0706156475295
"humidity","day 098",34.2720606572779
"humidity","day 099",32.4855452114182
"humidity","day 100",30.8381819865678
"humidity","day 101",29.4386861161236
"humidity","day 102",28.335236699784
"humidity","day 103",27.5458247464933
"humidity","day 104",27.0282249358787
"humidity","day 105",26.7263440275406
"humidity","day 106",26.5888334302899
"humidity","day 107",26.5646772934342
"humidity","day 108",26.6049928853676
"humidity","day 109",26.6822312779236
"humidity","day 110",26.7810223440819
"humidity","day 111",26.9125239361622
"humidity","day 112",27.0915799873618
"humidity","day 113",27.3212507750474
"humidity","day 114",27.6041389350184
"humidity","day 115",27.9528001926339
"humidity","day 116",28.3753570787156
"humidity","day 117",28.8522462563737
"humidity","day 118",29.3562604465269
"humidity","day 119",29.8573024690386
"humidity","day 120",30.3251571259313
"humidity","day 121",30.7320270489173
"humidity","day 122",31.0615043964931
"humidity","day 123",31.3403216046026
"humidity","day 124",31.6007324614253
"humidity","day 125",31.8539358866357
"humidity","day 126",32.1103376072496
"humidity","day 127",32.3982254481517
"humidity","day 128",32.7465805094612
"humidity","day 129",33.173691648424
"humidity","day 130",33.7117374892833
"humidity","day 131",34.392296642187
"humidity","day 132",35.2268806446693
"humidity","day 133",36.2194954627945
"humidity","day 134",37.3641918493584
"humidity","day 135",38.6450903208301
"humidity","day 136",40.0165456616403
"humidity","day 137",41.4151933546801
"humidity","day 138",42.7365574087244
"humidity","day 139",43.8813612066135
"humidity","day 140",44.8122371015673
"humidity","day 141",45.510176265352
"humidity","day 142",45.967696173539
"humidity","day 143",46.1797355303538
"humidity","day 144",46.1393916508347
"humidity","day 145",45.8447812705309
"humidity","day 146",45.3159401962223
"humidity","day 147",44.584206325068
"humidity","day 148",43.7042068445121
"humidity","day 149",42.7345537754524
"humidity","day 150",41.7265091823161
