"dimension","time","value"
"sunlight","day 001",40.5506405987539
"sunlight","day 002",40.2516566266368
"sunlight","day 003",39.9611987716622
"sunlight","day 004",39.7751667673158
"sunlight","day 005",39.7888175704573
"sunlight","day 006",40.0184119708837
"sunlight","day 007",40.4437818637811
"sunlight","day 008",40.9780397329546
"sunlight","day 009",41.5139596170135
"sunlight","day 010",41.9296811851654
"sunlight","day 011",42.1361162238061
"sunlight","day 012",42.1898993574845
"sunlight","day 013",42.188577886743
"sunlight","day 014",42.2476269779449
"sunlight","day 015",42.4551174180679
"sunlight","day 016",42.7715746107294
"sunlight","day 017",43.1226865818547
"sunlight","day 018",43.4223372299624
"sunlight","day 019",43.6099519862108
"sunlight","day 020",43.7389265397241
"sunlight","day 021",43.8678864323319
"sunlight","day 022",43.9624063587211
"sunlight","day 023",43.9831381727722
"sunlight","day 024",43.9711696072429
"sunlight","day 025",44.0142338457035
"sunlight","day 026",44.2209947347161
"sunlight","day 027",44.7555331929797
"sunlight","day 028",45.7620788804848
"sunlight","day 029",47.2500393502532
"sunlight","day 030",49.171531231521
"sunlight","day 031",51.3843295653514
"sunlight","day 032",53.7359398017418
"sunlight","day 033",56.127130614602
"sunlight","day 034",58.4886323192577
"sunlight","day 035",60.8177585727865
"sunlight","day 036",63.0811994077139
"sunlight","day 037",65.0565670166041
"sunlight","day 038",66.4912095829581
"sunlight","day 039",67.2004970939838
"sunlight","day 040",67.0443925836684
"sunlight","day 041",65.9932094694089
"sunlight","day 042",64.0754924393367
"sunlight","day 043",61.4423608811106
"sunlight","day 044",58.3388227205021
"sunlight","day 045",55.1951251492471
"sunlight","day 046",52.2337994744821
"sunlight","day 047",49.6001619924255
"sunlight","day 048",47.4016297034541
"sunlight","day 049",45.6932207390943
"sunlight","day 050",44.358257051311
"sunlight","day 051",43.2576901144909
"sunlight","day 052",42.3346856722679
"sunlight","day 053",41.5591699939649
"sunlight","day 054",40.9258971824108
"sunlight","day 055",40.4359643012003
"sunlight","day 056",40.0910124234845
"sunlight","day 057",39.9009845603394
"sunlight","day 058",39.9084874649839
"sunlight","day 059",40.1548179630491
"sunlight","day 060",40.6433694276716
"sunlight","day 061",41.3657169354347
"sunlight","day 062",42.3040658292046
"sunlight","day 063",43.419232158669
"sunlight","day 064",44.5958445345199
"sunlight","day 065",45.7049070044701
"sunlight","day 066",46.6398938982141
"sunlight","day 067",47.3028262218209
"sunlight","day 068",47.6241883107098
"sunlight","day 069",47.6451934380972
"sunlight","day 070",47.4443385994754
"sunlight","day 071",47.1385267416457
"sunlight","day 072",46.8482603598614
"sunlight","day 073",46.6700341918782
"sunlight","day 074",46.6683266753653
"sunlight","day 075",46.8035588051459
"sunlight","day 076",47.0304404217068
"sunlight","day 077",47.384894191037
"sunlight","day 078",47.8817284994247
"sunlight","day 079",48.3700817888537
"sunlight","day 080",48.6996621690796
"sunlight","day 081",48.8881263652499
"sunlight","day 082",49.0103177330111
"sunlight","day 083",49.2018775346128
"sunlight","day 084",49.499946428979
"sunlight","day 085",49.4868647551278
"sunlight","day 086",48.872799887497
"sunlight","day 087",48.1871496348975
"sunlight","day 088",47.6133268126923
"sunlight","day 089",47.3486159495596
"sunlight","day 090",48.2333005362833
"sunlight","day 091",50.6223210078022
"sunlight","day 092",52.2862466135688
"sunlight","day 093",51.2328127440323
"sunlight","day 094",49.0027905391144
"sunlight","day 095",47.520286001577
"sunlight","day 096",46.7097088360695
"sunlight","day 097",46.1192000029301
"sunlight","day 098",45.7915217833635
"sunlight","day 099",45.8490424511816
"sunlight","day 100",46.2379329297563
"sunlight","day 101",46.8805960691254
"sunlight","day 102",47.780559776429
"sunlight","day 103",48.9385998898038
"sunlight","day 104",50.2633589142695
"sunlight","day 105",51.6188082192698
"sunlight","day 106",52.7823679650605
"sunlight","day 107",53.599236916233
"sunlight","day 108",54.2082186925144
"sunlight","day 109",54.5812902346827
"sunlight","day 110",54.6652139729039
"sunlight","day 111",54.562137380475
"sunlight","day 112",54.4042234779682
"sunlight","day 113",54.2883124319242
"sunlight","day 114",54.2801739422108
"sunlight","day 115",54.356618696035
"sunlight","day 116",54.4762296075245
"sunlight","day 117",54.6136375111492
"sunlight","day 118",54.7535938388613
"sunlight","day 119",54.9052844922006
"sunlight","day 120",55.0772017762614
"sunlight","day 121",55.2506291407696
"sunlight","day 122",55.4204564618838
"sunlight","day 123",55.6632081768643
"sunlight","day 124",56.0447473205116
"sunlight","day 125",56.5066567566863
"sunlight","day 126",56.9726551190428
"sunlight","day 127",57.41928429135
"sunlight","day 128",57.802812979535
"sunlight","day 129",57.9721262821069
"sunlight","day 130",57.8487597234625
"sunlight","day 131",57.4101759343716
"sunlight","day 132",56.7514165548383
"sunlight","day 133",56.0090080724544
"sunlight","day 134",55.3678373559288
"sunlight","day 135",54.967804522848
"sunlight","day 136",54.720502305191
"sunlight","day 137",54.5040018595328
"sunlight","day 138",54.2905954264409
"sunlight","day 139",54.1170318304085
"sunlight","day 140",54.1836651476409
"sunlight","day 141",54.6624667811977
"sunlight","day 142",55.4482721898446
"sunlight","day 143",56.3733773759732
"sunlight","day 144",57.2970564607726
"sunlight","day 145",58.0956025824896
"sunlight","day 146",58.6864068288042
"sunlight","day 147",59.0267690752528
"sunlight","day 148",59.1925263993648
"sunlight","day 149",59.2854074390534
"sunlight","day 150",59.3921698717739
"humidity","day 001",29.1847901063089
"humidity","day 002",29.0725833176659
"humidity","day 003",29.0213672625701
"humidity","day 004",29.0919906443899
"humidity","day 005",29.3435890444587
"humidity","day 006",29.8288013747355
"humidity","day 007",30.5968545828611
"humidity","day 008",31.6898244285787
"humidity","day 009",33.1373457795737
"humidity","day 010",34.9264411231973
"humidity","day 011",37.0251026621493
"humidity","day 012",39.367813840859
"humidity","day 013",41.8699953599719
"humidity","day 014",44.4043257032697
"humidity","day 015",46.8169629423774
"humidity","day 016",48.8907257171553
"humidity","day 017",50.4099255569348
"humidity","day 018",51.2281849806956
"humidity","day 019",51.2371067942166
"humidity","day 020",50.4109039608273
"humidity","day 021",48.7728642595753
"humidity","day 022",46.4599645748318
"humidity","day 023",43.6513273993983
"humidity","day 024",40.5705965437398
"humidity","day 025",37.413651107478
"humidity","day 026",34.3504592452782
"humidity","day 027",31.4888333749238
"humidity","day 028",28.9085195337707
"humidity","day 029",26.6391539743472
"humidity","day 030",24.694154152082
"humidity","day 031",23.0721721188342
"humidity","day 032",21.7617936705505
"humidity","day 033",20.7261049830968
"humidity","day 034",19.9192579879282
"humidity","day 035",19.2851672589361
"humidity","day 036",18.7707762354633
"humidity","day 037",18.3453811762236
"humidity","day 038",17.9882447206365
"humidity","day 039",17.6961422115757
"humidity","day 040",17.4714438997908
"humidity","day 041",17.3213869640815
"humidity","day 042",17.2537193673764
"humidity","day 043",17.2733652810708
"humidity","day 044",17.3860071804699
"humidity","day 045",17.6007139436566
"humidity","day 046",17.9181362829205
"humidity","day 047",18.3393495770601
"humidity","day 048",18.877010288496
"humidity","day 049",19.5438151255911
"humidity","day 050",20.3410406968551
"humidity","day 051",21.259587845437
"humidity","day 052",22.2602744528966
"humidity","day 053",23.2787032114465
"humidity","day 054",24.179699017499
"humidity","day 055",24.8399244418441
"humidity","day 056",25.2541705485829
"humidity","day 057",25.4505398409842
"humidity","day 058",25.472252085677
"humidity","day 059",25.3638703749098
"humidity","day 060",25.1602138400485
"humidity","day 061",24.8904741541462
"humidity","day 062",24.5710771178866
"humidity","day 063",24.21410135361
"humidity","day 064",23.8270026426537
"humidity","day 065",23.4220890274457
"humidity","day 066",23.036300606266
"humidity","day 067",22.7149861306807
"humidity","day 068",22.4928465303421
"humidity","day 069",22.3595907653036
"humidity","day 070",22.294794352733
"humidity","day 071",22.2824910078558
"humidity","day 072",22.3060716225742
"humidity","day 073",22.3418975974421
"humidity","day 074",22.3685095815732
"humidity","day 075",22.3801947096701
"humidity","day 076",22.3761001533199
"humidity","day 077",22.3590667460581
"humidity","day 078",22.3298910180664
"humidity","day 079",22.277498624163
"humidity","day 080",22.1891517905855
"humidity","day 081",22.0573299046126
"humidity","day 082",21.8810333451748
"humidity","day 083",21.680129296769
"humidity","day 084",21.4773986232572
"humidity","day 085",21.2864101003985
"humidity","day 086",21.1131209275263
"humidity","day 087",20.9445110084384
"humidity","day 088",20.7712793807802
"humidity","day 089",20.5883348982026
"humidity","day 090",20.3983979901315
"humidity","day 091",20.2106194045467
"humidity","day 092",20.0520595878681
"humidity","day 093",19.9537981948775
"humidity","day 094",19.9450820153609
"humidity","day 095",20.0563115407839
"humidity","day 096",20.3243349343249
"humidity","day 097",20.7815196767029
"humidity","day 098",21.4358628470883
"humidity","day 099",22.2886798050958
"humidity","day 100",23.3389294336654
"humidity","day 101",24.5871578565172
"humidity","day 102",26.0426166371638
"humidity","day 103",27.7118105463755
"humidity","day 104",29.5815517441585
"humidity","day 105",31.6312833855212
"humidity","day 106",33.8306652162456
"humidity","day 107",36.0642474972642
"humidity","day 108",37.8859873434422
"humidity","day 109",38.7674237735173
"humidity","day 110",38.3789682375902
"humidity","day 111",37.1862763748
"humidity","day 112",35.8186842938368
"humidity","day 113",34.7650057925567
"humidity","day 114",34.2723492582042
"humidity","day 115",33.7615237464109
"humidity","day 116",32.6360728610046
"humidity","day 117",31.0567777302097
"humidity","day 118",29.3332599428308
"humidity","day 119",27.6132654055957
"humidity","day 120",25.9839037496695
"humidity","day 121",24.4516151860433
"humidity","day 122",23.0097110702969
"humidity","day 123",21.679656756538
"humidity","day 124",20.4865078241862
"humidity","day 125",19.4415267553822
"humidity","day 126",18.5464885909502
"humidity","day 127",17.7790117037262
"humidity","day 128",17.1118468485083
"humidity","day 129",16.5264626384733
"humidity","day 130",16.0216258859322
"humidity","day 131",15.5981408582463
"humidity","day 132",15.2488349928046
"humidity","day 133",14.9652792509127
"humidity","day 134",14.7419955195135
"humidity","day 135",14.5708882742964
"humidity","day 136",14.4304414202986
"humidity","day 137",14.2990314724416
"humidity","day 138",14.1680259558363
"humidity","day 139",14.035251734888
"humidity","day 140",13.9113820209881
"humidity","day 141",13.8061958765253
"humidity","day 142",13.7130494208908
"humidity","day 143",13.6233701869277
"humidity","day 144",13.5372943042835
"humidity","day 145",13.4574927618697
"humidity","day 146",13.3880673888471
"humidity","day 147",13.3311364576659
"humidity","day 148",13.2794531736835
"humidity","day 149",13.2257378169121
"humidity","day 150",13.171944033075
