"dimension","time","value"
"sunlight","day 001",57.8518023875203
"sunlight","day 002",58.2608712989423
"sunlight","day 003",58.6611360913958
"sunlight","day 004",59.0778382931762
"sunlight","day 005",59.5480876277039
"sunlight","day 006",60.1202304973718
"sunlight","day 007",60.8306800250991
"sunlight","day 008",61.6568795369373
"sunlight","day 009",62.5850820552238
"sunlight","day 010",63.6957491843056
"sunlight","day 011",65.0542096075056
"sunlight","day 012",66.5710517420381
"sunlight","day 013",68.1194706323803
"sunlight","day 014",69.5778280981685
"sunlight","day 015",70.816713815239
"sunlight","day 016",71.6704621090687
"sunlight","day 017",71.9899616420043
"sunlight","day 018",71.7285737742335
"sunlight","day 019",70.9051945929839
"sunlight","day 020",69.6983863958043
"sunlight","day 021",68.322973316326
"sunlight","day 022",66.9791606221897
"sunlight","day 023",65.805264725481
"sunlight","day 024",64.7211058255421
"sunlight","day 025",63.6460313566033
"sunlight","day 026",62.5331794118679
"sunlight","day 027",61.4130893464871
"sunlight","day 028",60.3262434811207
"sunlight","day 029",59.2754947365155
"sunlight","day 030",58.2638128861652
"sunlight","day 031",57.3322645144615
"sunlight","day 032",56.5255211755476
"sunlight","day 033",55.864577491675
"sunlight","day 034",55.3539969617139
"sunlight","day 035",54.9562955229013
"sunlight","day 036",54.6253082486569
"sunlight","day 037",54.3221943187648
"sunlight","day 038",54.0215180215551
"sunlight","day 039",53.7441399731776
"sunlight","day 040",53.5062351226426
"sunlight","day 041",53.2589394225827
"sunlight","day 042",52.9477640773197
"sunlight","day 043",52.5607602943095
"sunlight","day 044",52.1217545721941
"sunlight","day 045",51.7330521255655
"sunlight","day 046",51.4337686767661
"sunlight","day 047",51.2325547994226
"sunlight","day 048",51.1045302549501
"sunlight","day 049",51.0200139400825
"sunlight","day 050",50.9636521050417
"sunlight","day 051",50.9199515548503
"sunlight","day 052",50.8585339602468
"sunlight","day 053",50.7387313864148
"sunlight","day 054",50.4936026106048
"sunlight","day 055",50.0746871817619
"sunlight","day 056",49.5337210235433
"sunlight","day 057",48.9426434281493
"sunlight","day 058",48.3540107872411
"sunlight","day 059",47.8069098614053
"sunlight","day 060",47.3059317874703
"sunlight","day 061",46.8459585759848
"sunlight","day 062",46.4175313561367
"sunlight","day 063",46.0139515369221
"sunlight","day 064",45.6439025279312
"sunlight","day 065",45.3154031197703
"sunlight","day 066",45.0178576482887
"sunlight","day 067",44.7338644172865
"sunlight","day 068",44.4503707699563
"sunlight","day 069",44.1740161199768
"sunlight","day 070",43.9277828201522
"sunlight","day 071",43.7803329093013
"sunlight","day 072",43.7925110543894
"sunlight","day 073",43.9482127489538
