"dimension","time","value"
"sunlight","day 001",30.8407951146513
"sunlight","day 002",31.0970124832653
"sunlight","day 003",31.2910832492518
"sunlight","day 004",31.4651956283797
"sunlight","day 005",31.6813275734677
"sunlight","day 006",31.9705626335712
"sunlight","day 007",32.3449046391656
"sunlight","day 008",32.7709329501709
"sunlight","day 009",33.2158536913621
"sunlight","day 010",33.6948045174878
"sunlight","day 011",34.2364087853189
"sunlight","day 012",34.8753011297405
"sunlight","day 013",35.6237218976476
"sunlight","day 014",36.3983230058585
"sunlight","day 015",37.1051815097087
"sunlight","day 016",37.7036634486787
"sunlight","day 017",38.1701197759917
"sunlight","day 018",38.495552115698
"sunlight","day 019",38.6863909179483
"sunlight","day 020",38.7961312664683
"sunlight","day 021",38.8749198707018
"sunlight","day 022",38.9124453093904
"sunlight","day 023",38.8937806551249
"sunlight","day 024",38.8384937490586
"sunlight","day 025",38.746646108726
"sunlight","day 026",38.6145048610568
"sunlight","day 027",38.453164920706
"sunlight","day 028",38.2652261657351
"sunlight","day 029",38.0044805401062
"sunlight","day 030",37.6243088058359
"sunlight","day 031",37.1252549312602
"sunlight","day 032",36.5293439882099
"sunlight","day 033",35.8973622561776
"sunlight","day 034",35.3091752319267
"sunlight","day 035",34.8822040736436
"sunlight","day 036",34.7309110496203
"sunlight","day 037",34.92036720715
"sunlight","day 038",35.5124115577827
"sunlight","day 039",36.6053461910932
"sunlight","day 040",38.2774821551367
"sunlight","day 041",40.4907032538637
"sunlight","day 042",43.0802320542883
"sunlight","day 043",45.491073419783
"sunlight","day 044",46.4132006791745
"sunlight","day 045",43.4891037052746
"sunlight","day 046",40.0334951763684
"sunlight","day 047",39.6318255142948
"sunlight","day 048",40.6227962010007
"sunlight","day 049",40.7123686008588
"sunlight","day 050",40.3222925478398
"sunlight","day 051",40.3528942317222
"sunlight","day 052",40.9030167959198
"sunlight","day 053",41.8623822606046
"sunlight","day 054",43.0857111993466
"sunlight","day 055",44.4480525348249
"sunlight","day 056",45.9407700327588
"sunlight","day 057",47.568342636024
"sunlight","day 058",49.2713951530817
"sunlight","day 059",50.9695952476353
"sunlight","day 060",52.5626361387705
"sunlight","day 061",53.9730874026319
"sunlight","day 062",55.2349984882175
"sunlight","day 063",56.3891961279999
"sunlight","day 064",57.3921363154993
"sunlight","day 065",58.2123955101257
"sunlight","day 066",58.930413023936
"sunlight","day 067",59.5758823201506
"sunlight","day 068",60.1238288465867
"sunlight","day 069",60.4145649889145
"sunlight","day 070",60.3106640033405
"sunlight","day 071",59.8984556903662
"sunlight","day 072",59.3146194766761
"sunlight","day 073",58.6734767493947
"sunlight","day 074",58.0729197739279
"sunlight","day 075",57.5674823683698
"sunlight","day 076",57.1843543867738
"sunlight","day 077",56.8847082743424
"sunlight","day 078",56.629328806476
"sunlight","day 079",56.4434674882182
"sunlight","day 080",56.3752604659304
"sunlight","day 081",56.4999157216011
"sunlight","day 082",56.8923394737077
"sunlight","day 083",57.5991590510563
"sunlight","day 084",58.6277353368184
"sunlight","day 085",59.8566423212982
"sunlight","day 086",61.1392137850809
"sunlight","day 087",62.3545587537146
"sunlight","day 088",63.3805395301343
"sunlight","day 089",64.1042751900468
"sunlight","day 090",64.4581151363585
"sunlight","day 091",64.4033589385943
"sunlight","day 092",63.971876505555
"sunlight","day 093",63.2164579829583
"sunlight","day 094",62.2030041249128
"sunlight","day 095",61.0069269829955
"sunlight","day 096",59.7285731902659
"sunlight","day 097",58.4669867230987
"sunlight","day 098",57.291066349645
"sunlight","day 099",56.2383014611621
"sunlight","day 100",55.2506891495528
"sunlight","day 101",54.2719443316441
"sunlight","day 102",53.3481455233128
"sunlight","day 103",52.551311795999
"sunlight","day 104",51.9548608443446
"sunlight","day 105",51.6235643046533
"sunlight","day 106",51.5862109566721
"sunlight","day 107",51.838008215447
"sunlight","day 108",52.2784384547045
"sunlight","day 109",52.7928686413263
"sunlight","day 110",53.2678933809238
"sunlight","day 111",53.5845475903094
"sunlight","day 112",53.6492059238467
"sunlight","day 113",53.4751616749042
"sunlight","day 114",53.1232535169893
"sunlight","day 115",52.7375830051593
"sunlight","day 116",52.4597332679046
"sunlight","day 117",52.3379508458961
"sunlight","day 118",52.3916160249454
"sunlight","day 119",52.6179806592463
"sunlight","day 120",53.0124970860147
"sunlight","day 121",53.5855480061746
"sunlight","day 122",54.3292992219105
"sunlight","day 123",55.1481185767425
"sunlight","day 124",55.9348806227593
"sunlight","day 125",56.624284704988
"sunlight","day 126",57.1787890570906
"sunlight","day 127",57.630062674329
"sunlight","day 128",58.0376560640513
"sunlight","day 129",58.4636129380357
"sunlight","day 130",58.8212675004863
"sunlight","day 131",59.01036693432
"sunlight","day 132",59.0355986665654
