"dimension","time","value"
"sunlight","day 001",66.8020596260184
"sunlight","day 002",66.8532013966937
"sunlight","day 003",66.92613079565
"sunlight","day 004",67.0310479528936
"sunlight","day 005",67.1665504976122
"sunlight","day 006",67.3052995339895
"sunlight","day 007",67.4209340824604
"sunlight","day 008",67.5169413534675
"sunlight","day 009",67.6018611698165
"sunlight","day 010",67.6745956137555
"sunlight","day 011",67.7321235522983
"sunlight","day 012",67.7733687320768
"sunlight","day 013",67.7969363536233
"sunlight","day 014",67.7982125534526
"sunlight","day 015",67.7707487766681
"sunlight","day 016",67.7039767667437
"sunlight","day 017",67.5886519566713
"sunlight","day 018",67.4249442391424
"sunlight","day 019",67.215484245457
"sunlight","day 020",66.9633311016467
"sunlight","day 021",66.6757255666396
"sunlight","day 022",66.376206436216
"sunlight","day 023",66.0832874288808
"sunlight","day 024",65.7834987188142
"sunlight","day 025",65.4719301002289
"sunlight","day 026",65.1500340853697
"sunlight","day 027",64.8270548520894
"sunlight","day 028",64.5151699179811
"sunlight","day 029",64.2304984939919
"sunlight","day 030",63.9799279379067
"sunlight","day 031",63.7294765015089
"sunlight","day 032",63.4427480611392
"sunlight","day 033",63.1145580973705
"sunlight","day 034",62.7456624252872
"sunlight","day 035",62.3293665937893
"sunlight","day 036",61.859231051305
"sunlight","day 037",61.337286110561
"sunlight","day 038",60.7683587676679
"sunlight","day 039",60.1599928879748
"sunlight","day 040",59.5226846726271
"sunlight","day 041",58.8760227967195
"sunlight","day 042",58.2428879380463
"sunlight","day 043",57.6502363112523
"sunlight","day 044",57.1140046245681
"sunlight","day 045",56.6056118204476
"sunlight","day 046",56.0989816376401
"sunlight","day 047",55.5778885334765
"sunlight","day 048",55.0509666526907
"sunlight","day 049",54.5302587667404
"sunlight","day 050",54.0165824665753
"sunlight","day 051",53.5099155181559
"sunlight","day 052",53.0181015679947
"sunlight","day 053",52.549010832551
"sunlight","day 054",52.10275392752
"sunlight","day 055",51.6770982218042
"sunlight","day 056",51.2681976978973
"sunlight","day 057",50.8719779987004
"sunlight","day 058",50.4850647951497
"sunlight","day 059",50.1057340566162
"sunlight","day 060",49.7381629181736
"sunlight","day 061",49.3855109497997
"sunlight","day 062",49.0409662953871
"sunlight","day 063",48.6971499604803
"sunlight","day 064",48.3543858233173
"sunlight","day 065",48.0176627058683
"sunlight","day 066",47.7028781866928
"sunlight","day 067",47.4284764873273
"sunlight","day 068",47.2098884303706
"sunlight","day 069",47.0506838252522
"sunlight","day 070",46.9488374447875
"sunlight","day 071",46.8918049285042
"sunlight","day 072",46.8646442896735
"sunlight","day 073",46.8533421698276
"sunlight","day 074",46.8448138549596
"sunlight","day 075",46.8287605806468
"sunlight","day 076",46.7984035685072
"sunlight","day 077",46.758258034736
"sunlight","day 078",46.7158645150164
"sunlight","day 079",46.6795708284034
"sunlight","day 080",46.6574957862328
"sunlight","day 081",46.6560348855913
"sunlight","day 082",46.680303456001
"sunlight","day 083",46.732019470975
"sunlight","day 084",46.7981812284962
"sunlight","day 085",46.8103056804352
"sunlight","day 086",46.6837542083161
"sunlight","day 087",46.3413450657835
"sunlight","day 088",45.7700025022404
"sunlight","day 089",44.9840452306895
"sunlight","day 090",44.0409785889546
"sunlight","day 091",43.0086657803533
"sunlight","day 092",41.9532148453582
"sunlight","day 093",40.9384779493675
"sunlight","day 094",40.0210389203263
"sunlight","day 095",39.2503169706011
"sunlight","day 096",38.6543411876966
"sunlight","day 097",38.2519237717908
"sunlight","day 098",38.0463994986168
"sunlight","day 099",38.0402589595653
"sunlight","day 100",38.2480934331044
"sunlight","day 101",38.6840223354471
"sunlight","day 102",39.3481769467087
"sunlight","day 103",40.2341884036477
"sunlight","day 104",41.3236754056927
"sunlight","day 105",42.5946317306433
"sunlight","day 106",44.0225639071124
"sunlight","day 107",45.5836493573895
"sunlight","day 108",47.2480463686156
"sunlight","day 109",48.9424460977411
"sunlight","day 110",50.5778885904687
"sunlight","day 111",52.0475692836715
"sunlight","day 112",53.2466153442074
"sunlight","day 113",54.095725467702
"sunlight","day 114",54.5285490541319
"sunlight","day 115",54.5049667921118
"sunlight","day 116",53.9756259647774
"sunlight","day 117",52.828008944713
"sunlight","day 118",50.9885179010149
"sunlight","day 119",48.602399099381
"sunlight","day 120",46.0412814812354
"sunlight","day 121",44.363480594307
"sunlight","day 122",44.3685528469488
"sunlight","day 123",45.1343314837057
"sunlight","day 124",45.5029723741687
"sunlight","day 125",45.0956450519235
"sunlight","day 126",43.8163995476107
"sunlight","day 127",41.9217942160976
"sunlight","day 128",39.7082724552117
"sunlight","day 129",37.3271182661943
"sunlight","day 130",35.0726086353868
"sunlight","day 131",33.2755918573777
"sunlight","day 132",32.2219664365481
"sunlight","day 133",32.0600574154534
"sunlight","day 134",32.4328457795523
"sunlight","day 135",32.8817438276323
"sunlight","day 136",33.0472331688924
"sunlight","day 137",32.6816860249478
"sunlight","day 138",31.8859677566669
"sunlight","day 139",30.8526918503036
"sunlight","day 140",29.7929711543993
"sunlight","day 141",28.9256005977717
"sunlight","day 142",28.4816040680563
"sunlight","day 143",28.6120898878036
"sunlight","day 144",29.1362751604056
"sunlight","day 145",29.7950479535611
"sunlight","day 146",30.3478714113556
"sunlight","day 147",30.5519989711032
"sunlight","day 148",30.1372701666469
"sunlight","day 149",28.9469205471074
"sunlight","day 150",27.3051836261862
"humidity","day 001",7.7368825426547
