"dimension","time","value"
"sunlight","day 001",69.8987133201384
"sunlight","day 002",71.4115943429414
"sunlight","day 003",72.1191022067405
"sunlight","day 004",72.0795552704635
"sunlight","day 005",71.5499523951364
"sunlight","day 006",70.7228013462497
"sunlight","day 007",69.8018411880472
"sunlight","day 008",69.1002272753213
"sunlight","day 009",68.8700104423724
"sunlight","day 010",69.0094071509843
"sunlight","day 011",69.2963740434865
"sunlight","day 012",69.3816628569068
"sunlight","day 013",68.9634760114117
"sunlight","day 014",68.0570235650232
"sunlight","day 015",66.7700562686109
"sunlight","day 016",65.2634800065796
"sunlight","day 017",63.7075599141299
"sunlight","day 018",62.2568429961107
"sunlight","day 019",61.0626262624279
"sunlight","day 020",60.2789248735677
"sunlight","day 021",60.0082544096693
"sunlight","day 022",60.1444139789021
"sunlight","day 023",60.5338714867255
"sunlight","day 024",61.0367101181762
"sunlight","day 025",61.4947554473681
"sunlight","day 026",61.7384689549351
"sunlight","day 027",61.5759612737961
"sunlight","day 028",60.870873423842
"sunlight","day 029",59.7313188205647
"sunlight","day 030",58.3236143685508
"sunlight","day 031",56.8024185331632
"sunlight","day 032",55.3327919224419
"sunlight","day 033",54.1330621543592
"sunlight","day 034",53.3956985473939
"sunlight","day 035",53.156470212119
"sunlight","day 036",53.3644553240977
"sunlight","day 037",53.7786685267588
"sunlight","day 038",54.15673429871
"sunlight","day 039",54.4407799914088
"sunlight","day 040",54.6194330125905
"sunlight","day 041",54.6828181222523
"sunlight","day 042",54.6261035886214
"sunlight","day 043",54.4631343605838
"sunlight","day 044",54.2116558710353
"sunlight","day 045",53.8872324251832
"sunlight","day 046",53.5082341097926
"sunlight","day 047",53.093640084415
"sunlight","day 048",52.6612913320321
"sunlight","day 049",52.2249471400989
"sunlight","day 050",51.7831781905323
"sunlight","day 051",51.3295670529188
"sunlight","day 052",50.8529324530594
"sunlight","day 053",50.345734676808
"sunlight","day 054",49.8197640940138
"sunlight","day 055",49.2943639940631
"sunlight","day 056",48.7997592604939
"sunlight","day 057",48.3674168891622
"sunlight","day 058",48.0228907310439
"sunlight","day 059",47.7916815680996
"sunlight","day 060",47.7049910511084
"sunlight","day 061",47.7908816452882
"sunlight","day 062",48.0591582047927
"sunlight","day 063",48.5060674044473
"sunlight","day 064",49.0918808128274
"sunlight","day 065",49.7726227106468
"sunlight","day 066",50.5183718955592
"sunlight","day 067",51.2842279024647
"sunlight","day 068",52.0186113800852
"sunlight","day 069",52.6629531838848
"sunlight","day 070",53.1695550858211
"sunlight","day 071",53.5411923170848
"sunlight","day 072",53.7936027189286
"sunlight","day 073",53.9439011136205
"sunlight","day 074",54.008965578296
"sunlight","day 075",54.0033502285457
"sunlight","day 076",53.9367611554054
"sunlight","day 077",53.8018363132374
"sunlight","day 078",53.5908953959568
"sunlight","day 079",53.312053192362
"sunlight","day 080",52.9758391572442
"sunlight","day 081",52.5866463144826
"sunlight","day 082",52.1490361822918
"sunlight","day 083",51.6743806871405
"sunlight","day 084",51.173726113788
"sunlight","day 085",50.6500057719021
"sunlight","day 086",50.1015070465786
"sunlight","day 087",49.5210072001464
"sunlight","day 088",48.9185082158485
"sunlight","day 089",48.3074682434259
"sunlight","day 090",47.6953276968965
"sunlight","day 091",47.090038040275
"sunlight","day 092",46.5076126732866
"sunlight","day 093",45.9638068092172
"sunlight","day 094",45.4652809798849
"sunlight","day 095",45.0143865547887
"sunlight","day 096",44.6053329356187
"sunlight","day 097",44.2344722476589
"sunlight","day 098",43.9148694783789
"sunlight","day 099",43.6657456122982
"sunlight","day 100",43.5142327599496
"sunlight","day 101",43.4810029523416
"sunlight","day 102",43.5529767763709
"sunlight","day 103",43.7130587483954
"sunlight","day 104",43.9618405467293
"sunlight","day 105",44.2996425951614
"sunlight","day 106",44.7080131374218
"sunlight","day 107",45.1599643833349
"sunlight","day 108",45.6138822712399
"sunlight","day 109",46.0272924869008
"sunlight","day 110",46.3618475682259
"sunlight","day 111",46.5927247253846
"sunlight","day 112",46.7013843920143
"sunlight","day 113",46.6808952233608
"sunlight","day 114",46.527258273746
"sunlight","day 115",46.2365959721868
"sunlight","day 116",45.8075245503423
"sunlight","day 117",45.2485140757457
"sunlight","day 118",44.5725146563737
"sunlight","day 119",43.800542726102
"sunlight","day 120",42.9578389740192
"sunlight","day 121",42.078474784166
"sunlight","day 122",41.2000960332544
"sunlight","day 123",40.3658158737295
"sunlight","day 124",39.6138554805084
"sunlight","day 125",38.957400842663
"sunlight","day 126",38.397605377012
"sunlight","day 127",37.9125273972079
"sunlight","day 128",37.4772736072308
"sunlight","day 129",37.075833539379
"sunlight","day 130",36.6853955474331
"sunlight","day 131",36.29174117529
"sunlight","day 132",35.9246480719498
"sunlight","day 133",35.6168926186361
"sunlight","day 134",35.3692500203648
"sunlight","day 135",35.1693281594471
"sunlight","day 136",34.984066803584
"sunlight","day 137",34.780843382785
"sunlight","day 138",34.5494540909043
"sunlight","day 139",34.2907528162445
"sunlight","day 140",34.0274054610555
"sunlight","day 141",33.7837197599333
"sunlight","day 142",33.5687587629111
"sunlight","day 143",33.3840849410374
"sunlight","day 144",33.2165031339863
"sunlight","day 145",33.0489209425495
"sunlight","day 146",32.8634146433653
"sunlight","day 147",32.647143140993
"sunlight","day 148",32.4084271758305
"sunlight","day 149",32.1585028673967
"sunlight","day 150",31.8991060158571
"humidity","day 001",42.707794336122
"humidity","day 002",41.9188640585659
"humidity","day 003",41.143484981225
"humidity","day 004",40.3727768869546
"humidity","day 005",39.6160992003863
"humidity","day 006",38.9690432701251
"humidity","day 007",38.5284642618061
"humidity","day 008",38.3100406852096
"humidity","day 009",38.2952205461123
"humidity","day 010",38.4097064901284
"humidity","day 011",38.5726028301993
"humidity","day 012",38.7323659087363
"humidity","day 013",38.8482374802648
"humidity","day 014",38.8932489182975
"humidity","day 015",38.8376463155122
"humidity","day 016",38.62674502226
"humidity","day 017",38.212467146935
"humidity","day 018",37.5980925724309
"humidity","day 019",36.8270824682623
"humidity","day 020",36.0522653759273
"humidity","day 021",35.4035536702962
"humidity","day 022",34.8098276877449
"humidity","day 023",34.1725706612299
"humidity","day 024",33.494497451798
"humidity","day 025",32.8403358397906
"humidity","day 026",32.2670951342169
"humidity","day 027",31.7617587456683
"humidity","day 028",31.3221490101004
"humidity","day 029",31.0594698633441
"humidity","day 030",31.0743424581015
"humidity","day 031",31.3116752146826
"humidity","day 032",31.6812343542398
"humidity","day 033",32.1079300336855
"humidity","day 034",32.5184007068753
"humidity","day 035",32.8310540796788
"humidity","day 036",32.9814468607298
"humidity","day 037",32.9819625177078
"humidity","day 038",32.8742367879172
"humidity","day 039",32.7400877281198
"humidity","day 040",32.6501138141164
"humidity","day 041",32.5898528784071
"humidity","day 042",32.5382942692026
"humidity","day 043",32.5332940408574
"humidity","day 044",32.5970552625527
"humidity","day 045",32.6420446387609
"humidity","day 046",32.5973283407519
"humidity","day 047",32.4159809848198
"humidity","day 048",32.1001418388495
"humidity","day 049",31.6958805880601
"humidity","day 050",31.3759239354152
"humidity","day 051",31.2825858501906
"humidity","day 052",31.3098723491663
"humidity","day 053",31.3139353774872
"humidity","day 054",31.2478185462567
"humidity","day 055",31.0826596643987
"humidity","day 056",30.7650816661632
"humidity","day 057",30.2393979273778
"humidity","day 058",29.4651984648577
"humidity","day 059",28.4245044578034
"humidity","day 060",27.1737850939691
"humidity","day 061",25.7818265216053
"humidity","day 062",24.2922347223942
"humidity","day 063",22.7948758273503
"humidity","day 064",21.5898367313869
"humidity","day 065",20.9087385920679
"humidity","day 066",20.5351037150386
"humidity","day 067",20.2753729231298
"humidity","day 068",20.00700864442
"humidity","day 069",19.7476202824696
"humidity","day 070",19.5455704230057
"humidity","day 071",19.4320874049405
"humidity","day 072",19.4176024312858
"humidity","day 073",19.4464924082668
"humidity","day 074",19.4656298253202
"humidity","day 075",19.4979238015137
"humidity","day 076",19.578426093913
"humidity","day 077",19.7147223819447
"humidity","day 078",19.891417203512
"humidity","day 079",20.0286566080643
"humidity","day 080",20.0600813193301
"humidity","day 081",20.0377692466069
"humidity","day 082",20.0166088839096
"humidity","day 083",19.9442938785521
"humidity","day 084",19.7512456284893
"humidity","day 085",19.405991380941
"humidity","day 086",18.890611359322
"humidity","day 087",18.226308463295
"humidity","day 088",17.5303785893362
"humidity","day 089",16.9202758130199
"humidity","day 090",16.4220204433789
"humidity","day 091",16.0484541042355
"humidity","day 092",15.85113744511
"humidity","day 093",15.8789251349202
"humidity","day 094",16.1311288944721
"humidity","day 095",16.5907546987697
"humidity","day 096",17.2251284877179
"humidity","day 097",17.98646120871
"humidity","day 098",18.7821838741922
"humidity","day 099",19.5316010114884
"humidity","day 100",20.246291142379
"humidity","day 101",20.9745466599002
"humidity","day 102",21.8192414476544
"humidity","day 103",22.864222690464
"humidity","day 104",24.0626492874668
"humidity","day 105",25.3375773331948
"humidity","day 106",26.622339989443
