"dimension","time","value"
"sunlight","day 001",58.4202442812427
"sunlight","day 002",59.0919168268011
"sunlight","day 003",59.6547890083202
"sunlight","day 004",60.0212206306656
"sunlight","day 005",60.1350230085638
"sunlight","day 006",60.0287078349073
"sunlight","day 007",59.7626225333357
"sunlight","day 008",59.419757072314
"sunlight","day 009",59.0873222097149
"sunlight","day 010",58.846769316219
"sunlight","day 011",58.7763512677425
"sunlight","day 012",58.9472863483363
"sunlight","day 013",59.4041207169694
"sunlight","day 014",60.0917466241488
"sunlight","day 015",60.9244795510056
"sunlight","day 016",61.793981809632
"sunlight","day 017",62.6022518040526
"sunlight","day 018",63.3152854750635
"sunlight","day 019",63.9344315405596
"sunlight","day 020",64.5384522900605
"sunlight","day 021",65.1759492754921
"sunlight","day 022",65.6974675267797
"sunlight","day 023",65.9047280818757
"sunlight","day 024",65.6471761735868
"sunlight","day 025",64.954801736231
"sunlight","day 026",63.936380087991
"sunlight","day 027",62.8359735195234
"sunlight","day 028",61.8877151899622
"sunlight","day 029",61.1507347598763
"sunlight","day 030",60.6083005761026
"sunlight","day 031",60.1152392291151
"sunlight","day 032",59.529051570303
"sunlight","day 033",58.8463772510793
"sunlight","day 034",58.1240500604635
"sunlight","day 035",57.5205415378785
"sunlight","day 036",57.1715277078662
"sunlight","day 037",57.01986478504
"sunlight","day 038",56.9833895877738
"sunlight","day 039",57.0726811594129
"sunlight","day 040",57.3200073238592
"sunlight","day 041",57.7516488022701
"sunlight","day 042",58.3657735409667
"sunlight","day 043",59.0540854896701
"sunlight","day 044",59.683063130801
"sunlight","day 045",60.1709284000918
"sunlight","day 046",60.6220190687745
"sunlight","day 047",61.1605455631805
"sunlight","day 048",61.805483626391
"sunlight","day 049",62.4940261529101
"sunlight","day 050",62.9414693261848
"sunlight","day 051",62.8706023717073
"sunlight","day 052",62.2560833942047
"sunlight","day 053",61.1654371143043
"sunlight","day 054",59.7857858369972
"sunlight","day 055",58.339322055669
"sunlight","day 056",57.0689214329198
"sunlight","day 057",56.1563482182819
"sunlight","day 058",55.5182378398019
"sunlight","day 059",55.029228618524
"sunlight","day 060",54.6610992689677
"sunlight","day 061",54.4094652767452
"sunlight","day 062",54.2681488183643
"sunlight","day 063",54.2373606666481
"sunlight","day 064",54.3446592887846
"sunlight","day 065",54.6989963052867
"sunlight","day 066",55.5410297353805
"sunlight","day 067",56.5198997471448
"sunlight","day 068",56.8513650669902
"sunlight","day 069",54.6837327355365
"sunlight","day 070",49.2821610651973
"sunlight","day 071",45.4466651413523
"sunlight","day 072",47.395019548041
"sunlight","day 073",51.481180090975
"sunlight","day 074",53.1007656686397
"sunlight","day 075",51.6798663289445
"sunlight","day 076",48.0751759923191
"sunlight","day 077",44.835332919853
"sunlight","day 078",44.1503835697132
"sunlight","day 079",45.0840628477176
"sunlight","day 080",46.2057772644196
"sunlight","day 081",47.2339313016641
"sunlight","day 082",48.150631002294
"sunlight","day 083",48.843790681851
"sunlight","day 084",49.211513272273
"sunlight","day 085",49.2868478983817
"sunlight","day 086",49.1418054143204
"sunlight","day 087",48.8516236803525
"sunlight","day 088",48.4260708647139
"sunlight","day 089",47.8678867064485
"sunlight","day 090",47.2223921009625
"sunlight","day 091",46.5396906614726
"sunlight","day 092",45.8464357160788
"sunlight","day 093",45.1646470995695
"sunlight","day 094",44.5212609586062
"sunlight","day 095",43.9378475768296
"sunlight","day 096",43.4095974739245
"sunlight","day 097",42.9206561626373
"sunlight","day 098",42.4373688919175
"sunlight","day 099",41.9344417748942
"sunlight","day 100",41.4378246452129
"sunlight","day 101",40.9794668011321
"sunlight","day 102",40.5640716788465
"sunlight","day 103",40.1948424881835
"sunlight","day 104",39.8962273955644
"sunlight","day 105",39.6906814727544
"sunlight","day 106",39.5714424563009
"sunlight","day 107",39.5171106201016
"sunlight","day 108",39.4906674471685
"sunlight","day 109",39.5026161896471
"sunlight","day 110",39.572237716031
"sunlight","day 111",39.6990684622281
"sunlight","day 112",39.874628006841
"sunlight","day 113",40.0781129318382
"sunlight","day 114",40.286528370083
"sunlight","day 115",40.4804366546522
"sunlight","day 116",40.6434847912239
"sunlight","day 117",40.768101275668
"sunlight","day 118",40.8504901688801
"sunlight","day 119",40.8931763016664
"sunlight","day 120",40.90246744898
"sunlight","day 121",40.8934823924521
"sunlight","day 122",40.8817454895765
"sunlight","day 123",40.8755923946198
"sunlight","day 124",40.8779111173184
"sunlight","day 125",40.8769877925134
"sunlight","day 126",40.8603396470193
"sunlight","day 127",40.8270101504385
"sunlight","day 128",40.7748422306163
"sunlight","day 129",40.6813662378073
"sunlight","day 130",40.5040937487154
"sunlight","day 131",40.2109982658241
"sunlight","day 132",39.8278376658341
"sunlight","day 133",39.3946164302641
"sunlight","day 134",38.9505410856902
"sunlight","day 135",38.529156608383
"sunlight","day 136",38.1421597283359
"sunlight","day 137",37.7931371131982
"sunlight","day 138",37.4750834275202
"sunlight","day 139",37.1758056125218
"sunlight","day 140",36.872951719199
"sunlight","day 141",36.5454254793007
"sunlight","day 142",36.1873122378115
"sunlight","day 143",35.7974739711628
"sunlight","day 144",35.3786975683395
"sunlight","day 145",34.9344794928956
"sunlight","day 146",34.467229594107
"sunlight","day 147",33.9804177834433
"sunlight","day 148",33.4828408354248
"sunlight","day 149",32.9832866034617
"sunlight","day 150",32.4851803934699
"humidity","day 001",32.7529396798117
"humidity","day 002",33.0062219574797
"humidity","day 003",33.2531660137924
"humidity","day 004",33.4672451875811
"humidity","day 005",33.6235992104828
"humidity","day 006",33.7235563300173
"humidity","day 007",33.7761163491231
"humidity","day 008",33.7947767765288
"humidity","day 009",33.7931735394087
"humidity","day 010",33.7809985329285
"humidity","day 011",33.7623753746208
"humidity","day 012",33.7230986034943
"humidity","day 013",33.6449718760202
"humidity","day 014",33.5121643970428
"humidity","day 015",33.3142094039814
"humidity","day 016",33.0597307161809
"humidity","day 017",32.7623614861973
"humidity","day 018",32.436681617505
"humidity","day 019",32.0956039103276
"humidity","day 020",31.7444260009647
"humidity","day 021",31.3876310104677
"humidity","day 022",31.0340591628182
"humidity","day 023",30.6928665126712
"humidity","day 024",30.3645161434301
"humidity","day 025",30.0263009293748
"humidity","day 026",29.6562865181901
"humidity","day 027",29.2580264152462
"humidity","day 028",28.8406751194982
"humidity","day 029",28.4103032465553
"humidity","day 030",27.9739846616729
"humidity","day 031",27.5458901120378
"humidity","day 032",27.1395691577939
"humidity","day 033",26.7589897289816
"humidity","day 034",26.4043392720303
"humidity","day 035",26.0702649290285
"humidity","day 036",25.7564212145454
"humidity","day 037",25.4880324374138
"humidity","day 038",25.2950070891598
"humidity","day 039",25.2004205978195
"humidity","day 040",25.2257738238179
"humidity","day 041",25.3931024206254
"humidity","day 042",25.7307660130179
"humidity","day 043",26.2918853179461
"humidity","day 044",27.1296566325593
"humidity","day 045",28.2670351999189
"humidity","day 046",29.6977324394129
"humidity","day 047",31.4036668774462
"humidity","day 048",33.3427145993208
"humidity","day 049",35.4617007981043
"humidity","day 050",37.6872895390318
"humidity","day 051",39.928871365841
"humidity","day 052",42.0469038641151
"humidity","day 053",43.8896914228501
"humidity","day 054",45.3058586028496
"humidity","day 055",46.1606457486065
"humidity","day 056",46.3854361675643
"humidity","day 057",45.9376526382721
"humidity","day 058",44.8127328607502
"humidity","day 059",43.0375734094279
"humidity","day 060",40.7268914348994
"humidity","day 061",38.0258547273546
"humidity","day 062",35.1136130592027
"humidity","day 063",32.1733708747429
"humidity","day 064",29.3705693236155
"humidity","day 065",26.8684749266286
"humidity","day 066",24.8159885135268
"humidity","day 067",23.2705552273198
"humidity","day 068",22.2933035857477
"humidity","day 069",22.0538174870421
"humidity","day 070",22.5848965871738
"humidity","day 071",23.2637481925789
"humidity","day 072",23.4382864027149
"humidity","day 073",22.9948448386585
"humidity","day 074",21.990853342223
"humidity","day 075",20.6297071165475
"humidity","day 076",19.1443762276843
"humidity","day 077",17.7401648320137
"humidity","day 078",16.5769406236924
"humidity","day 079",15.6604913576559
"humidity","day 080",14.9609209349617
"humidity","day 081",14.4596777803756
"humidity","day 082",14.1376887481677
"humidity","day 083",13.9624498869162
"humidity","day 084",13.9002370730361
"humidity","day 085",13.9258762999792
"humidity","day 086",14.0214259244264
"humidity","day 087",14.1852611878406
"humidity","day 088",14.404602361275
"humidity","day 089",14.6626734881154
"humidity","day 090",14.9429635054544
"humidity","day 091",15.2281625184222
"humidity","day 092",15.4975004105915
"humidity","day 093",15.7288163741705
"humidity","day 094",15.8978470574665
"humidity","day 095",15.9783920285009
"humidity","day 096",15.938605078052
"humidity","day 097",15.7528386016231
"humidity","day 098",15.4258851908604
"humidity","day 099",14.9800521807916
"humidity","day 100",14.4772656838267
"humidity","day 101",13.987749973874
"humidity","day 102",13.575303193451
"humidity","day 103",13.2969454973969
"humidity","day 104",13.1890112212251
"humidity","day 105",13.2657850903444
"humidity","day 106",13.4740392090689
"humidity","day 107",13.7473254458076
"humidity","day 108",14.0346899492824
"humidity","day 109",14.292287198939
"humidity","day 110",14.4830315584073
"humidity","day 111",14.5934265166979
"humidity","day 112",14.6176322422494
"humidity","day 113",14.5568464958287
"humidity","day 114",14.4157094828724
"humidity","day 115",14.2055935951663
"humidity","day 116",13.941243353175
"humidity","day 117",13.6441596057304
"humidity","day 118",13.3366952148803
"humidity","day 119",13.0378547671691
"humidity","day 120",12.7631450632123
"humidity","day 121",12.5174300354108
"humidity","day 122",12.3111111836769
"humidity","day 123",12.1873831461809
"humidity","day 124",12.1973566761867
"humidity","day 125",12.3910138490746
"humidity","day 126",12.8133064804604
"humidity","day 127",13.4901940247859
"humidity","day 128",14.443601292733
"humidity","day 129",15.6964994392383
"humidity","day 130",17.2653432982417
"humidity","day 131",19.1566476420082
"humidity","day 132",21.3443967636338
"humidity","day 133",23.7822364080384
"humidity","day 134",26.3749886066083
"humidity","day 135",29.0147620868773
"humidity","day 136",31.5916360745019
"humidity","day 137",33.9958302283428
"humidity","day 138",36.1201554419514
"humidity","day 139",37.8511577622569
"humidity","day 140",39.047732615008
"humidity","day 141",39.5765444190004
"humidity","day 142",39.3629841863984
"humidity","day 143",38.322081948338
"humidity","day 144",36.268697218471
"humidity","day 145",33.104718527018
"humidity","day 146",29.1803209879574
"humidity","day 147",25.1343333675148
"humidity","day 148",22.3119124571471
"humidity","day 149",21.7185797419821
"humidity","day 150",22.2949874566003
