"dimension","time","value"
"sunlight","day 001",34.3217277032119
"sunlight","day 002",34.2561918376434
"sunlight","day 003",34.1908835631251
"sunlight","day 004",34.1297818381629
"sunlight","day 005",34.0841105237357
"sunlight","day 006",34.0847152514309
"sunlight","day 007",34.1607864574487
"sunlight","day 008",34.3152720258282
"sunlight","day 009",34.5462024277643
"sunlight","day 010",34.8581810352339
"sunlight","day 011",35.2596037515191
"sunlight","day 012",35.7674637043413
"sunlight","day 013",36.3905808599786
"sunlight","day 014",37.0964853144977
"sunlight","day 015",37.8295966182515
"sunlight","day 016",38.4831820089494
"sunlight","day 017",38.9494562085961
"sunlight","day 018",39.1675761890189
"sunlight","day 019",39.1178466863767
"sunlight","day 020",38.89822124433
"sunlight","day 021",38.6299482637853
"sunlight","day 022",38.4098067671297
"sunlight","day 023",38.3057592039612
"sunlight","day 024",38.2989378267096
"sunlight","day 025",38.3636425215227
"sunlight","day 026",38.4785851085385
"sunlight","day 027",38.6242582819791
"sunlight","day 028",38.7853598074563
"sunlight","day 029",38.9616268620559
"sunlight","day 030",39.1547250710876
"sunlight","day 031",39.3589944412802
"sunlight","day 032",39.5726038567324
"sunlight","day 033",39.816363329602
"sunlight","day 034",40.1087381871608
"sunlight","day 035",40.4361738890788
"sunlight","day 036",40.7752224395832
"sunlight","day 037",41.0948818887327
"sunlight","day 038",41.373183333923
"sunlight","day 039",41.6318440160666
"sunlight","day 040",41.8966222740601
"sunlight","day 041",42.1657546952193
"sunlight","day 042",42.4313958131183
"sunlight","day 043",42.688893697945
"sunlight","day 044",42.9494699401538
"sunlight","day 045",43.2733469132772
"sunlight","day 046",43.6906230814686
"sunlight","day 047",44.1973067645852
"sunlight","day 048",44.6982447507906
"sunlight","day 049",45.123116827583
"sunlight","day 050",45.5920963114918
"sunlight","day 051",46.2272820366399
"sunlight","day 052",46.9679813784921
"sunlight","day 053",47.7227751806382
"sunlight","day 054",48.4601296178251
"sunlight","day 055",49.1611384373815
"sunlight","day 056",49.7975203458046
"sunlight","day 057",50.3453594302057
"sunlight","day 058",50.8075763409833
"sunlight","day 059",51.1915456599206
"sunlight","day 060",51.4956211310521
"sunlight","day 061",51.7208004997677
"sunlight","day 062",51.8876783546291
"sunlight","day 063",52.0114904082578
"sunlight","day 064",52.0664400263431
"sunlight","day 065",52.0094079256448
"sunlight","day 066",51.7808611657941
"sunlight","day 067",51.3615806108584
"sunlight","day 068",50.7686204033648
"sunlight","day 069",50.1167494330448
"sunlight","day 070",49.506145065416
"sunlight","day 071",48.8809038219341
"sunlight","day 072",48.1554885299043
"sunlight","day 073",47.2819080840893
"sunlight","day 074",46.2743025588514
"sunlight","day 075",45.3577906794911
"sunlight","day 076",44.7463823921642
"sunlight","day 077",44.3986738755079
"sunlight","day 078",44.2309138396493
"sunlight","day 079",44.2453748881953
"sunlight","day 080",44.4475764998344
"sunlight","day 081",44.7700017601023
"sunlight","day 082",45.1518534643835
"sunlight","day 083",45.6322496406093
"sunlight","day 084",46.255870391093
"sunlight","day 085",46.9897288831285
"sunlight","day 086",47.7786415259974
"sunlight","day 087",48.5719937822426
"sunlight","day 088",49.379147691315
"sunlight","day 089",50.2239872016079
"sunlight","day 090",51.1257272961206
"sunlight","day 091",52.0813609677035
"sunlight","day 092",53.0036622140052
"sunlight","day 093",53.8124013350028
"sunlight","day 094",54.5395528351873
"sunlight","day 095",55.2735197370234
"sunlight","day 096",56.2162149303569
"sunlight","day 097",57.5288738439164
"sunlight","day 098",59.0965121945824
"sunlight","day 099",60.7325817726657
"sunlight","day 100",62.2404983740467
"sunlight","day 101",63.4656734233781
"sunlight","day 102",64.4315368548313
"sunlight","day 103",65.2176394292268
"sunlight","day 104",65.9499967044621
"sunlight","day 105",66.7257387870566
"sunlight","day 106",67.479989180939
"sunlight","day 107",68.0634320672787
"sunlight","day 108",68.2145183304978
"sunlight","day 109",67.8818307497108
"sunlight","day 110",67.1025220246944
"sunlight","day 111",66.0139549710692
"sunlight","day 112",64.7471435583143
"sunlight","day 113",63.3074962554986
"sunlight","day 114",61.706357478234
"sunlight","day 115",60.1044209287174
"sunlight","day 116",58.6785399785017
