"dimension","time","value"
"sunlight","day 001",65.2938698784585
"sunlight","day 002",65.5360784797566
"sunlight","day 003",65.7770074558143
"sunlight","day 004",66.0235829673767
"sunlight","day 005",66.2823382063429
"sunlight","day 006",66.5527967305352
"sunlight","day 007",66.8231478687284
"sunlight","day 008",67.0432536675816
"sunlight","day 009",67.161691391885
"sunlight","day 010",67.1602264610669
"sunlight","day 011",67.0208060321657
"sunlight","day 012",66.6929160580224
"sunlight","day 013",66.1279352632128
"sunlight","day 014",65.3172746634503
"sunlight","day 015",64.2784667756009
"sunlight","day 016",63.0934978300032
"sunlight","day 017",61.8853723443674
"sunlight","day 018",60.8767142724173
"sunlight","day 019",60.2533679122099
"sunlight","day 020",59.9544395031184
"sunlight","day 021",59.8631848644037
"sunlight","day 022",59.88619619356
"sunlight","day 023",59.9377100319027
"sunlight","day 024",59.9435945618524
"sunlight","day 025",59.8490907913074
"sunlight","day 026",59.6293215302747
"sunlight","day 027",59.3613742209786
"sunlight","day 028",59.1269746926603
"sunlight","day 029",58.9244376904085
"sunlight","day 030",58.7344762179105
"sunlight","day 031",58.5508073973974
"sunlight","day 032",58.3672236818323
"sunlight","day 033",58.1648147285599
"sunlight","day 034",57.9274333770741
"sunlight","day 035",57.6626879910842
"sunlight","day 036",57.3865925676491
"sunlight","day 037",57.1250281130132
"sunlight","day 038",56.9014443297459
"sunlight","day 039",56.7196986965311
"sunlight","day 040",56.5790941725138
"sunlight","day 041",56.4803078625672
"sunlight","day 042",56.4181257297347
"sunlight","day 043",56.3623950240119
"sunlight","day 044",56.2823898491536
"sunlight","day 045",56.173003846682
"sunlight","day 046",56.0466858288746
"sunlight","day 047",55.91768275887
"sunlight","day 048",55.7955405645176
"sunlight","day 049",55.6867422070162
"sunlight","day 050",55.5902198162536
"sunlight","day 051",55.5074528978711
"sunlight","day 052",55.457661291837
"sunlight","day 053",55.4569307986133
"sunlight","day 054",55.4910707263106
"sunlight","day 055",55.5397597576069
"sunlight","day 056",55.588430565802
"sunlight","day 057",55.6285826370751
"sunlight","day 058",55.670228718502
"sunlight","day 059",55.7222058890808
"sunlight","day 060",55.7701352946017
"sunlight","day 061",55.7980255761336
"sunlight","day 062",55.8066512890662
"sunlight","day 063",55.8008046488141
"sunlight","day 064",55.78458259657
"sunlight","day 065",55.7639879572461
"sunlight","day 066",55.7484186855819
"sunlight","day 067",55.7296577214962
"sunlight","day 068",55.6948372743727
"sunlight","day 069",55.6321813485524
"sunlight","day 070",55.5326390191914
"sunlight","day 071",55.3969678497497
"sunlight","day 072",55.2267423384145
"sunlight","day 073",55.0169962339789
"sunlight","day 074",54.7628021983739
"sunlight","day 075",54.4659292954773
"sunlight","day 076",54.1277757845453
"sunlight","day 077",53.7415603044014
"sunlight","day 078",53.3000895615316
"sunlight","day 079",52.8027021535023
"sunlight","day 080",52.2485782495121
"sunlight","day 081",51.6297324142058
"sunlight","day 082",50.9390745496142
"sunlight","day 083",50.1802615118663
"sunlight","day 084",49.3592211512204
"sunlight","day 085",48.4802183403548
"sunlight","day 086",47.5478519547877
"sunlight","day 087",46.5642543416886
"sunlight","day 088",45.510445526307
"sunlight","day 089",44.3801502957293
"sunlight","day 090",43.2397745535447
"sunlight","day 091",42.186589168242
"sunlight","day 092",41.3686437514057
"sunlight","day 093",40.9036705074949
"sunlight","day 094",40.7373532693709
"sunlight","day 095",40.7717311437491
"sunlight","day 096",40.906312704358
"sunlight","day 097",41.0413496679408
"sunlight","day 098",41.0825968562856
"sunlight","day 099",40.9956506320807
"sunlight","day 100",40.979970416569
"sunlight","day 101",41.2266417511914
"sunlight","day 102",41.659391599623
"sunlight","day 103",42.1356994448688
"sunlight","day 104",42.5154134250165
"sunlight","day 105",42.6713297910571
"sunlight","day 106",42.5256685905109
"sunlight","day 107",41.9513524599503
"sunlight","day 108",40.7421465399544
"sunlight","day 109",39.2999863883345
"sunlight","day 110",38.109351517271
"sunlight","day 111",37.3150734791111
"sunlight","day 112",36.9546651525233
"sunlight","day 113",36.9760126812971
"sunlight","day 114",37.3139346548334
"sunlight","day 115",37.9406061798582
"sunlight","day 116",38.8314998444785
"sunlight","day 117",39.9379216449992
"sunlight","day 118",41.1961747785812
"sunlight","day 119",42.506717837613
"sunlight","day 120",43.7684224930349
"sunlight","day 121",44.9096573347684
"sunlight","day 122",45.8737664828316
"sunlight","day 123",46.6344992586498
"sunlight","day 124",47.1722897326432
"sunlight","day 125",47.4639057698054
"sunlight","day 126",47.4911268690248
"sunlight","day 127",47.2594452701955
"sunlight","day 128",46.7849857443978
"sunlight","day 129",46.0979009330898
"sunlight","day 130",45.2138897702135
"sunlight","day 131",44.1381063679607
"sunlight","day 132",42.8526836049727
"sunlight","day 133",41.3516812465578
"sunlight","day 134",39.6998878382408
"sunlight","day 135",37.9782543681951
"sunlight","day 136",36.2616528149707
"sunlight","day 137",34.6214442763472
"sunlight","day 138",33.1210253366451
"sunlight","day 139",31.8147972395687
"sunlight","day 140",30.7291443798153
"sunlight","day 141",29.8739735783879
"sunlight","day 142",29.2212982105185
"sunlight","day 143",28.7380196134723
"sunlight","day 144",28.4084844184183
"sunlight","day 145",28.209731166306
"sunlight","day 146",28.072120743304
"sunlight","day 147",27.9300094009104
"sunlight","day 148",27.7804125067227
"sunlight","day 149",27.6364544397029
"sunlight","day 150",27.5130365081718
"humidity","day 001",12.959502101569
"humidity","day 002",13.6957149599384
"humidity","day 003",14.3852377987481
"humidity","day 004",14.992178940779
"humidity","day 005",15.4847525699071
"humidity","day 006",15.8351949861806
"humidity","day 007",16.0221226963191
"humidity","day 008",16.0456509175584
"humidity","day 009",15.9115137853878
"humidity","day 010",15.6264223977971
"humidity","day 011",15.2050938088813
"humidity","day 012",14.6932919346564
"humidity","day 013",14.1417943622462
"humidity","day 014",13.5903865012842
"humidity","day 015",13.0679711215756
"humidity","day 016",12.5709126111051
"humidity","day 017",12.0887348654282
"humidity","day 018",11.6161381922043
"humidity","day 019",11.1512317941705
"humidity","day 020",10.7005840422709
"humidity","day 021",10.2730939847088
"humidity","day 022",9.878524210519
"humidity","day 023",9.52970845305041
"humidity","day 024",9.24999930577037
"humidity","day 025",9.06199591602217
"humidity","day 026",8.98375649404244
"humidity","day 027",9.01878420687193
"humidity","day 028",9.17023993271803
"humidity","day 029",9.45447043765058
"humidity","day 030",9.90056319036249
"humidity","day 031",10.5753825821763
"humidity","day 032",11.5504491309428
"humidity","day 033",12.8781309379962
"humidity","day 034",14.599751465748
"humidity","day 035",16.7316080374368
"humidity","day 036",19.263654560832
"humidity","day 037",22.1054974210012
"humidity","day 038",25.1376147989809
"humidity","day 039",28.2043195823866
"humidity","day 040",31.1344111120472
"humidity","day 041",33.730799835069
"humidity","day 042",35.8019193910512
"humidity","day 043",37.2041850832882
"humidity","day 044",37.8270075964041
"humidity","day 045",37.6492347129192
"humidity","day 046",36.692463125848
"humidity","day 047",35.0086822167763
"humidity","day 048",32.7497031764869
"humidity","day 049",30.1023351507373
"humidity","day 050",27.293557295989
"humidity","day 051",24.5389828852476
"humidity","day 052",21.9685916469917
"humidity","day 053",19.6830245189979
"humidity","day 054",17.7512008207605
"humidity","day 055",16.2196488782789
"humidity","day 056",15.0770546618555
"humidity","day 057",14.29374999659
"humidity","day 058",13.8244924824687
"humidity","day 059",13.6166829028237
"humidity","day 060",13.6038689994839
"humidity","day 061",13.7207897668809
"humidity","day 062",13.9208022513594
"humidity","day 063",14.1643681038273
"humidity","day 064",14.4217493415314
"humidity","day 065",14.6681719582267
"humidity","day 066",14.8916139793671
"humidity","day 067",15.0933532833453
"humidity","day 068",15.2787311847323
"humidity","day 069",15.4585567747961
"humidity","day 070",15.6443135107026
"humidity","day 071",15.844714536513
"humidity","day 072",16.0636899085693
"humidity","day 073",16.288807645441
"humidity","day 074",16.5036094700482
"humidity","day 075",16.6918939604834
"humidity","day 076",16.8450851058518
"humidity","day 077",16.9848516841354
"humidity","day 078",17.1370029570386
"humidity","day 079",17.3136653322795
"humidity","day 080",17.5231077785154
"humidity","day 081",17.7718523621478
"humidity","day 082",18.0661709134765
"humidity","day 083",18.4130812206495
"humidity","day 084",18.8171450164197
"humidity","day 085",19.2723538541105
"humidity","day 086",19.7779789932344
"humidity","day 087",20.3606754561786
"humidity","day 088",21.0377995511426
"humidity","day 089",21.8219659215346
"humidity","day 090",22.7240435168342
"humidity","day 091",23.7535279095336
