"dimension","time","value"
"sunlight","day 001",32.2900363524711
"sunlight","day 002",32.5388760554521
"sunlight","day 003",32.7756878108839
"sunlight","day 004",33.011995506531
"sunlight","day 005",33.2606225793858
"sunlight","day 006",33.5176578549526
"sunlight","day 007",33.7802245651159
"sunlight","day 008",34.066318178769
"sunlight","day 009",34.3909950539274
"sunlight","day 010",34.7366828680877
"sunlight","day 011",35.0761003622132
"sunlight","day 012",35.3757592116538
"sunlight","day 013",35.6117602499664
"sunlight","day 014",35.8047680091484
"sunlight","day 015",35.9803042152258
"sunlight","day 016",36.1387556718985
"sunlight","day 017",36.2782159554656
"sunlight","day 018",36.4127406549514
"sunlight","day 019",36.5533087057065
"sunlight","day 020",36.6826304156628
"sunlight","day 021",36.7841232944292
"sunlight","day 022",36.8723022857401
"sunlight","day 023",36.9732163297192
"sunlight","day 024",37.1159136527518
"sunlight","day 025",37.2850450584143
"sunlight","day 026",37.4614474200313
"sunlight","day 027",37.6588589505872
"sunlight","day 028",37.8969645019958
"sunlight","day 029",38.1863341422271
"sunlight","day 030",38.5278509722758
"sunlight","day 031",38.8927650091787
"sunlight","day 032",39.242388807219
"sunlight","day 033",39.5279181536228
"sunlight","day 034",39.7016189671795
"sunlight","day 035",39.7301544599886
"sunlight","day 036",39.6118061127621
"sunlight","day 037",39.456931187353
"sunlight","day 038",39.38763922511
"sunlight","day 039",39.4609731042249
"sunlight","day 040",39.703845217212
"sunlight","day 041",40.0877126770336
"sunlight","day 042",40.5813061024246
"sunlight","day 043",41.1979054147638
"sunlight","day 044",41.9734275320253
"sunlight","day 045",42.9279656625345
"sunlight","day 046",43.8458231119985
"sunlight","day 047",44.5027624124423
"sunlight","day 048",44.8876725747163
"sunlight","day 049",45.0550309444983
"sunlight","day 050",45.1085417279521
"sunlight","day 051",45.1574455327089
"sunlight","day 052",45.2839017117855
"sunlight","day 053",45.5349108420424
"sunlight","day 054",45.8439196503297
"sunlight","day 055",46.1280343190217
"sunlight","day 056",46.3525527025989
"sunlight","day 057",46.5037336677557
"sunlight","day 058",46.6034884579343
"sunlight","day 059",46.6874480988635
"sunlight","day 060",46.8104703686714
"sunlight","day 061",47.0186040874109
"sunlight","day 062",47.3034354904338
"sunlight","day 063",47.6428101422158
"sunlight","day 064",48.014073508429
"sunlight","day 065",48.3819489286425
