"dimension","time","value"
"sunlight","day 001",36.1130263007954
"sunlight","day 002",36.1497497059647
"sunlight","day 003",36.2385335422868
"sunlight","day 004",36.3699237719511
"sunlight","day 005",36.5173448950709
"sunlight","day 006",36.6602568424866
"sunlight","day 007",36.7798461708936
"sunlight","day 008",36.8581705096815
"sunlight","day 009",36.8889708326433
"sunlight","day 010",36.9118504184928
"sunlight","day 011",36.9675928684937
"sunlight","day 012",37.0558407691902
"sunlight","day 013",37.1661953979877
"sunlight","day 014",37.2892338104551
"sunlight","day 015",37.4215556718335
"sunlight","day 016",37.5828753078882
"sunlight","day 017",37.7853114959349
"sunlight","day 018",37.9874861589655
"sunlight","day 019",38.1506259297612
"sunlight","day 020",38.2998731345849
"sunlight","day 021",38.4706831534644
"sunlight","day 022",38.675847888008
"sunlight","day 023",38.915803998484
"sunlight","day 024",39.1747005751437
"sunlight","day 025",39.4718770041965
"sunlight","day 026",39.8256944539301
"sunlight","day 027",40.2087215532528
"sunlight","day 028",40.58469434707
"sunlight","day 029",40.9278110836528
"sunlight","day 030",41.2268579625678
"sunlight","day 031",41.5185107851949
"sunlight","day 032",41.8373083977579
"sunlight","day 033",42.1613522240409
"sunlight","day 034",42.4577670214621
"sunlight","day 035",42.7062083044142
"sunlight","day 036",42.8910652382412
"sunlight","day 037",43.0031308351176
"sunlight","day 038",43.0362753294489
"sunlight","day 039",42.9902739977362
"sunlight","day 040",42.8701297280836
"sunlight","day 041",42.6958508129117
"sunlight","day 042",42.4912154883113
"sunlight","day 043",42.2800763607352
"sunlight","day 044",42.1165245158288
"sunlight","day 045",42.1003002259874
"sunlight","day 046",42.0604422115773
"sunlight","day 047",41.953148629436
"sunlight","day 048",42.5441768209164
"sunlight","day 049",44.3155615674532
"sunlight","day 050",45.804888226293
"sunlight","day 051",45.5656077876424
"sunlight","day 052",44.1590831977359
"sunlight","day 053",42.5145605548311
"sunlight","day 054",41.0249066092492
"sunlight","day 055",39.8928828674564
"sunlight","day 056",39.0972092084346
"sunlight","day 057",38.55595889828
"sunlight","day 058",38.1686603790292
"sunlight","day 059",37.8501085986772
"sunlight","day 060",37.5947093531109
"sunlight","day 061",37.4246742556955
"sunlight","day 062",37.3938273418182
"sunlight","day 063",37.5513484448116
"sunlight","day 064",37.8962281677682
"sunlight","day 065",38.4058955371528
"sunlight","day 066",39.0322432638238
"sunlight","day 067",39.7602328322429
"sunlight","day 068",40.5840837070695
"sunlight","day 069",41.4929642310856
"sunlight","day 070",42.4679533480897
"sunlight","day 071",43.4628235278262
"sunlight","day 072",44.4331270886915
"sunlight","day 073",45.3688422177457
"sunlight","day 074",46.2641002682992
"sunlight","day 075",47.0952193900007
"sunlight","day 076",47.8412422390001
"sunlight","day 077",48.5099227011131
"sunlight","day 078",49.1079071207255
"sunlight","day 079",49.6087004468361
"sunlight","day 080",49.9767206075168
"sunlight","day 081",50.1731788425178
"sunlight","day 082",50.1826724716005
"sunlight","day 083",50.0865498228906
"sunlight","day 084",49.9739831829778
"sunlight","day 085",49.8686896639428
"sunlight","day 086",49.7945863015097
"sunlight","day 087",49.8259933711789
"sunlight","day 088",49.9903883485055
"sunlight","day 089",50.2804200495244
"sunlight","day 090",50.6128291694072
"sunlight","day 091",50.8969715754898
"sunlight","day 092",51.0885719446285
"sunlight","day 093",51.1758007936195
"sunlight","day 094",51.2302431894984
"sunlight","day 095",51.3267016105894
"sunlight","day 096",51.4694336301295
"sunlight","day 097",51.6595910276919
"sunlight","day 098",51.9564473132789
"sunlight","day 099",52.4265601142344
"sunlight","day 100",53.1075017968387
"sunlight","day 101",54.0098475161698
"sunlight","day 102",55.0651688435598
"sunlight","day 103",56.1925712190826
"sunlight","day 104",57.3402991415256
"sunlight","day 105",58.4593233497771
"sunlight","day 106",59.4823804844136
"sunlight","day 107",60.3584489237238
"sunlight","day 108",61.1266230885001
"sunlight","day 109",61.8744576352051
"sunlight","day 110",62.6843828647605
"sunlight","day 111",63.5906716825458
"sunlight","day 112",64.5956662738271
"sunlight","day 113",65.6221433389605
"sunlight","day 114",66.5948091645917
"sunlight","day 115",67.5256538674367
"sunlight","day 116",68.4389047199684
"sunlight","day 117",69.3204537876173
"sunlight","day 118",70.1444514819968
"sunlight","day 119",70.8764168064938
"sunlight","day 120",71.4876376950444
"sunlight","day 121",71.9811092120094
"sunlight","day 122",72.3582134601924
"sunlight","day 123",72.5821735657456
"sunlight","day 124",72.610646150287
"sunlight","day 125",72.4171807939522
"sunlight","day 126",71.9934738181069
"sunlight","day 127",71.3879155505218
"sunlight","day 128",70.6443756627938
"sunlight","day 129",69.7403349123409
"sunlight","day 130",68.6681307664833
"sunlight","day 131",67.4483911443452
"sunlight","day 132",66.1813549045914
"sunlight","day 133",64.9745688647609
"sunlight","day 134",63.8852007383485
"sunlight","day 135",62.9542961767173
"sunlight","day 136",62.2087916867468
"sunlight","day 137",61.6629601592134
"sunlight","day 138",61.2945291649654
"sunlight","day 139",61.0752768932262
"sunlight","day 140",60.9897293266496
"sunlight","day 141",61.0155450198201
"sunlight","day 142",61.0901650216159
"sunlight","day 143",61.1511273396004
"sunlight","day 144",61.1765753217825
"sunlight","day 145",61.1567096423979
"sunlight","day 146",61.0893549401428
"sunlight","day 147",60.9860847647871
"sunlight","day 148",60.9058443459335
"sunlight","day 149",60.8997085964438
"sunlight","day 150",60.9398994823841
"humidity","day 001",38.9026813905691
"humidity","day 002",39.5850829365782
"humidity","day 003",40.2759848492163
"humidity","day 004",40.9143127542092
"humidity","day 005",41.445905684043
"humidity","day 006",41.9162169387832
"humidity","day 007",42.3827850599681
"humidity","day 008",42.8518752874478
"humidity","day 009",43.3170199918622
"humidity","day 010",43.7720933686988
"humidity","day 011",44.201312734551
"humidity","day 012",44.5499260655882
"humidity","day 013",44.7677480878322
"humidity","day 014",44.8618298671393
"humidity","day 015",44.8414922771125
"humidity","day 016",44.6678990825059
"humidity","day 017",44.3039026252034
"humidity","day 018",43.7672666644568
"humidity","day 019",43.0725480455126
"humidity","day 020",42.1665645402306
"humidity","day 021",40.9961365910736
"humidity","day 022",39.5758343963049
"humidity","day 023",37.9368461880198
"humidity","day 024",36.13358919687
"humidity","day 025",34.3181877245095
"humidity","day 026",32.6509912719836
"humidity","day 027",31.2272236617816
"humidity","day 028",30.1056394793605
"humidity","day 029",29.2642420406048
"humidity","day 030",28.6610587264161
"humidity","day 031",28.2549644473381
"humidity","day 032",28.0164920647956
"humidity","day 033",27.9619587140937
"humidity","day 034",28.1218411236766
"humidity","day 035",28.5374701206645
"humidity","day 036",29.2550893561236
"humidity","day 037",30.3297396782297
"humidity","day 038",31.7453603302891
"humidity","day 039",33.1926869390232
"humidity","day 040",34.2488669196289
"humidity","day 041",34.3298984577904
"humidity","day 042",33.0551325706308
"humidity","day 043",31.0184808305416
"humidity","day 044",29.039703355212
"humidity","day 045",27.7245125567263
"humidity","day 046",27.089303927539
"humidity","day 047",27.0030062899676
"humidity","day 048",27.3162071118922
"humidity","day 049",27.8784308772373
"humidity","day 050",28.5532914885421
"humidity","day 051",29.2203627197633
"humidity","day 052",29.8089684119137
"humidity","day 053",30.2742790345756
"humidity","day 054",30.6251015045522
"humidity","day 055",30.8837284428236
"humidity","day 056",31.0727588398564
"humidity","day 057",31.2108590435756
"humidity","day 058",31.3006584622534
"humidity","day 059",31.3400752465438
"humidity","day 060",31.3242194562807
"humidity","day 061",31.2464285617706
"humidity","day 062",31.0957577660304
"humidity","day 063",30.8622905373135
"humidity","day 064",30.5445056721065
"humidity","day 065",30.1495490112253
"humidity","day 066",29.7069363741194
"humidity","day 067",29.2371403107151
"humidity","day 068",28.7515318625924
"humidity","day 069",28.2406875197402
"humidity","day 070",27.6926300764394
"humidity","day 071",27.105962095729
"humidity","day 072",26.4869489410433
"humidity","day 073",25.8619274086367
"humidity","day 074",25.2557365231862
"humidity","day 075",24.6671527902379
"humidity","day 076",24.0917862299203
"humidity","day 077",23.538643439823
"humidity","day 078",23.0186507124353
"humidity","day 079",22.5370165423858
"humidity","day 080",22.0970511274227
"humidity","day 081",21.7001892756338
"humidity","day 082",21.3455369675085
"humidity","day 083",21.0247602628034
"humidity","day 084",20.7319600822642
"humidity","day 085",20.4784167113281
"humidity","day 086",20.2788234018222
"humidity","day 087",20.1472581256013
"humidity","day 088",20.1085658563718
"humidity","day 089",20.1816087108805
"humidity","day 090",20.3496685014002
"humidity","day 091",20.5726955728516
"humidity","day 092",20.7528947052195
"humidity","day 093",20.805230472053
"humidity","day 094",20.7534521860921
"humidity","day 095",20.6395784610167
"humidity","day 096",20.4699203750748
"humidity","day 097",20.2472304250215
"humidity","day 098",19.995734317073
"humidity","day 099",19.7422831273414
"humidity","day 100",19.5027562020604
"humidity","day 101",19.286507199567
"humidity","day 102",19.0877587564872
"humidity","day 103",18.8994215473952
"humidity","day 104",18.7242894203669
"humidity","day 105",18.5647806664169
"humidity","day 106",18.4119281748108
"humidity","day 107",18.254959438563
"humidity","day 108",18.0864706819071
"humidity","day 109",17.8969187411716
"humidity","day 110",17.6753887920922
"humidity","day 111",17.4086597101261
"humidity","day 112",17.0890211088
"humidity","day 113",16.7331118541979
"humidity","day 114",16.367814509487
"humidity","day 115",16.0366371736111
"humidity","day 116",15.7753177321704
"humidity","day 117",15.5718876816155
"humidity","day 118",15.3942139934688
"humidity","day 119",15.177211928691
"humidity","day 120",14.8480271393347
"humidity","day 121",14.3356785523805
"humidity","day 122",13.6089365496829
"humidity","day 123",12.7937040576622
"humidity","day 124",12.0786362569185
"humidity","day 125",11.7462648002061
"humidity","day 126",12.026982355088
"humidity","day 127",12.8487491762098
"humidity","day 128",13.9646076573972
"humidity","day 129",14.8610743830634
"humidity","day 130",15.4482090638196
"humidity","day 131",15.7630451699283
"humidity","day 132",15.8276583264685
"humidity","day 133",15.6640843161129
"humidity","day 134",15.3091573970928
"humidity","day 135",14.8034583662706
"humidity","day 136",14.1877556994743
