"dimension","time","value"
"sunlight","day 001",27.9631798678804
"sunlight","day 002",28.4174957804253
"sunlight","day 003",28.8425420384581
"sunlight","day 004",29.2262278951816
"sunlight","day 005",29.5646196280976
"sunlight","day 006",29.8708892934849
"sunlight","day 007",30.1593610157289
"sunlight","day 008",30.4318614128637
"sunlight","day 009",30.686984425673
"sunlight","day 010",30.9228907922889
"sunlight","day 011",31.1335671023253
"sunlight","day 012",31.296736553974
"sunlight","day 013",31.3954801811912
"sunlight","day 014",31.4505737524129
"sunlight","day 015",31.4949389152734
"sunlight","day 016",31.572386099719
"sunlight","day 017",31.718155087407
"sunlight","day 018",31.9223142845254
"sunlight","day 019",32.1621084166558
"sunlight","day 020",32.4086588624215
"sunlight","day 021",32.6413351278551
"sunlight","day 022",32.8786225755811
"sunlight","day 023",33.1476188917245
"sunlight","day 024",33.4624662488516
"sunlight","day 025",33.8029843750122
"sunlight","day 026",34.140177043744
"sunlight","day 027",34.4429400144058
"sunlight","day 028",34.6880924630834
"sunlight","day 029",34.8862552469491
"sunlight","day 030",35.0573610143359
"sunlight","day 031",35.2247878971319
"sunlight","day 032",35.4071997864341
"sunlight","day 033",35.6009581266161
"sunlight","day 034",35.798990750003
"sunlight","day 035",36.002793487447
"sunlight","day 036",36.2147412095539
"sunlight","day 037",36.4321569474183
"sunlight","day 038",36.6535024577564
"sunlight","day 039",36.8868462392837
"sunlight","day 040",37.1448727956479
"sunlight","day 041",37.4491239082256
"sunlight","day 042",37.819328289859
"sunlight","day 043",38.2591051015228
"sunlight","day 044",38.7774933440156
"sunlight","day 045",39.4129846861276
"sunlight","day 046",40.1801730517542
"sunlight","day 047",41.0855491743057
"sunlight","day 048",42.1365359979391
"sunlight","day 049",43.3337149964986
"sunlight","day 050",44.6493695518309
"sunlight","day 051",46.0374537183647
"sunlight","day 052",47.4069023328539
"sunlight","day 053",48.6555869169597
"sunlight","day 054",49.6821449496469
"sunlight","day 055",50.4106919881188
"sunlight","day 056",50.8664899452296
"sunlight","day 057",51.097704698834
"sunlight","day 058",51.1429716311378
"sunlight","day 059",51.0381094278561
"sunlight","day 060",50.8172004843893
"sunlight","day 061",50.50984102522
"sunlight","day 062",50.1294188814731
"sunlight","day 063",49.6978201615021
"sunlight","day 064",49.2871324759313
"sunlight","day 065",48.9818513470575
"sunlight","day 066",48.8500665966499
"sunlight","day 067",48.8963822027896
"sunlight","day 068",49.0997855833131
"sunlight","day 069",49.4001412948739
"sunlight","day 070",49.7352228837661
