"dimension","time","value"
"sunlight","day 001",63.3654371722056
"sunlight","day 002",63.8213734561708
"sunlight","day 003",63.7602994133525
"sunlight","day 004",63.387833522215
"sunlight","day 005",63.1001963730118
"sunlight","day 006",63.3359447328655
"sunlight","day 007",64.4753605118638
"sunlight","day 008",66.6232900150867
"sunlight","day 009",69.5907457452436
"sunlight","day 010",72.2888406005697
"sunlight","day 011",73.7049066517892
"sunlight","day 012",74.0310522640556
"sunlight","day 013",73.6936765195138
"sunlight","day 014",72.8515650738437
"sunlight","day 015",71.6320811609774
"sunlight","day 016",70.3045117543224
"sunlight","day 017",69.1205678702162
"sunlight","day 018",68.1197329572396
"sunlight","day 019",67.2876244317571
"sunlight","day 020",66.6066231490244
"sunlight","day 021",66.0589221939767
"sunlight","day 022",65.6292001313767
"sunlight","day 023",65.2983530655206
"sunlight","day 024",65.0247252677361
"sunlight","day 025",64.7425111338249
"sunlight","day 026",64.3765283574129
"sunlight","day 027",63.8338338685223
"sunlight","day 028",63.0118887427534
"sunlight","day 029",61.7875314016211
"sunlight","day 030",60.1290021082128
"sunlight","day 031",58.3907711459901
"sunlight","day 032",56.9454236721816
"sunlight","day 033",55.8517743187097
"sunlight","day 034",55.0879947392313
"sunlight","day 035",54.6234551996494
"sunlight","day 036",54.4275672298478
"sunlight","day 037",54.4787088033904
"sunlight","day 038",54.7531571093556
"sunlight","day 039",55.2098197552029
"sunlight","day 040",55.8034375390919
"sunlight","day 041",56.4894536036052
"sunlight","day 042",57.2270029538637
"sunlight","day 043",57.9892857007204
"sunlight","day 044",58.7547500282207
"sunlight","day 045",59.5052996307087
"sunlight","day 046",60.2106832923352
"sunlight","day 047",60.8354360674442
"sunlight","day 048",61.3371247981069
"sunlight","day 049",61.6824712305885
"sunlight","day 050",61.881784940203
"sunlight","day 051",61.9552750551485
"sunlight","day 052",61.91916108611
"sunlight","day 053",61.7861456535296
"sunlight","day 054",61.5588534343897
"sunlight","day 055",61.2357177294537
"sunlight","day 056",60.8084842780674
"sunlight","day 057",60.2710225217254
"sunlight","day 058",59.632384271936
"sunlight","day 059",58.9059950991379
"sunlight","day 060",58.1075932394786
"sunlight","day 061",57.2551888838171
"sunlight","day 062",56.373567376148
"sunlight","day 063",55.4862001427954
"sunlight","day 064",54.6045277862644
"sunlight","day 065",53.7381778765105
"sunlight","day 066",52.8982273516576
"sunlight","day 067",52.083630521427
"sunlight","day 068",51.288475786358
"sunlight","day 069",50.5007052120698
"sunlight","day 070",49.711791276174
"sunlight","day 071",48.9334744391725
"sunlight","day 072",48.177874382818
"sunlight","day 073",47.4383596909755
"sunlight","day 074",46.7062331365454
"sunlight","day 075",45.9832853464573
"sunlight","day 076",45.2768501082335
"sunlight","day 077",44.6059459977393
"sunlight","day 078",43.9886682752496
"sunlight","day 079",43.4277341503353
"sunlight","day 080",42.9239696741849
"sunlight","day 081",42.4860143151622
"sunlight","day 082",42.1220944443553
"sunlight","day 083",41.8309706265755
"sunlight","day 084",41.6075454508653
"sunlight","day 085",41.440755409471
"sunlight","day 086",41.3217419743552
"sunlight","day 087",41.2572929984827
"sunlight","day 088",41.2613343000887
"sunlight","day 089",41.3470358073421
"sunlight","day 090",41.5211024267914
"sunlight","day 091",41.7910278411529
"sunlight","day 092",42.1739258594352
"sunlight","day 093",42.6804579050369
"sunlight","day 094",43.285855732624
"sunlight","day 095",43.9558024749861
"sunlight","day 096",44.6532164461411
"sunlight","day 097",45.3396502199931
"sunlight","day 098",45.9739582287646
"sunlight","day 099",46.5160070782019
"sunlight","day 100",46.9324102098275
"sunlight","day 101",47.1886401319733
"sunlight","day 102",47.238858784432
"sunlight","day 103",47.0358574781597
"sunlight","day 104",46.5382555773064
"sunlight","day 105",45.7027204550668
"sunlight","day 106",44.4722834676224
"sunlight","day 107",42.8339966728092
"sunlight","day 108",41.0037591051778
"sunlight","day 109",39.4014121175148
"sunlight","day 110",38.3792809060434
"sunlight","day 111",37.863113428405
"sunlight","day 112",37.6931052928124
"sunlight","day 113",37.7938199483454
"sunlight","day 114",38.1065035179853
"sunlight","day 115",38.5547649794527
"sunlight","day 116",39.055423294045
"sunlight","day 117",39.515774502629
"sunlight","day 118",39.8594109820421
"sunlight","day 119",40.0846333734352
"sunlight","day 120",40.2060598373021
"sunlight","day 121",40.2288703471938
"sunlight","day 122",40.1558433694688
"sunlight","day 123",39.9895895286566
"sunlight","day 124",39.7352282621996
"sunlight","day 125",39.4080821010192
"sunlight","day 126",39.0238169580555
"sunlight","day 127",38.5892691808424
"sunlight","day 128",38.1135619392508
"sunlight","day 129",37.6193893795565
"sunlight","day 130",37.1163163483253
"sunlight","day 131",36.6115903916599
"sunlight","day 132",36.1208133672082
"sunlight","day 133",35.6588772334097
"sunlight","day 134",35.2294800403239
"sunlight","day 135",34.8315232146681
"sunlight","day 136",34.45591559817
"sunlight","day 137",34.0945050761129
"sunlight","day 138",33.7508882929904
"sunlight","day 139",33.4322469760259
"sunlight","day 140",33.1483544241508
"sunlight","day 141",32.9091520528673
"sunlight","day 142",32.7226621722511
"sunlight","day 143",32.5916822775644
"sunlight","day 144",32.5000297102411
"sunlight","day 145",32.4290136399616
"sunlight","day 146",32.368890703221
"sunlight","day 147",32.3149234038372
"sunlight","day 148",32.2734502481036
"sunlight","day 149",32.2501436133375
"sunlight","day 150",32.2369353584753
"humidity","day 001",9.82632051561191
"humidity","day 002",10.9429634068893
"humidity","day 003",12.0864131381499
"humidity","day 004",13.2870681275596
"humidity","day 005",14.5728923947727
"humidity","day 006",15.9570954080942
"humidity","day 007",17.435944287264
"humidity","day 008",18.9526913091104
"humidity","day 009",20.4450639811932
"humidity","day 010",21.8817055769117
"humidity","day 011",23.2323100865312
"humidity","day 012",24.4398586019411
"humidity","day 013",25.447117969758
"humidity","day 014",26.22271095388
"humidity","day 015",26.7491454371788
"humidity","day 016",27.0386138611375
"humidity","day 017",27.1042980563642
"humidity","day 018",26.9336528513561
"humidity","day 019",26.512328318273
"humidity","day 020",25.8444825060379
"humidity","day 021",24.944826820388
"humidity","day 022",23.8517781175554
"humidity","day 023",22.628373055835
"humidity","day 024",21.3954209257291
"humidity","day 025",20.2244199549873
"humidity","day 026",19.1528713245445
"humidity","day 027",18.150292530268
"humidity","day 028",17.1711850868387
"humidity","day 029",16.1779702692595
"humidity","day 030",15.1478419581506
