"dimension","time","value"
"sunlight","day 001",27.7403202482788
"sunlight","day 002",27.9343738736176
"sunlight","day 003",28.1666030528138
"sunlight","day 004",28.448233008191
"sunlight","day 005",28.7736065309324
"sunlight","day 006",29.09402528445
"sunlight","day 007",29.3615342744755
"sunlight","day 008",29.5741930037934
"sunlight","day 009",29.7435636536248
"sunlight","day 010",29.8892046218847
"sunlight","day 011",30.0380415399986
"sunlight","day 012",30.2384727567395
"sunlight","day 013",30.5380090059545
"sunlight","day 014",30.9591378444417
"sunlight","day 015",31.5129840617618
"sunlight","day 016",32.1902445555771
"sunlight","day 017",32.9710913458054
"sunlight","day 018",33.8140248332839
"sunlight","day 019",34.6864086350583
"sunlight","day 020",35.6127308520859
"sunlight","day 021",36.6294047136679
"sunlight","day 022",37.7634194785682
"sunlight","day 023",39.0263762135142
"sunlight","day 024",40.3831960318698
"sunlight","day 025",41.8075632245795
"sunlight","day 026",43.2861881292045
"sunlight","day 027",44.8360898927914
"sunlight","day 028",46.4705334525565
"sunlight","day 029",48.1574580969106
"sunlight","day 030",49.8489553028776
"sunlight","day 031",51.4790509507393
"sunlight","day 032",52.9820342699519
"sunlight","day 033",54.3113134834115
"sunlight","day 034",55.427147581571
"sunlight","day 035",56.2980796316698
"sunlight","day 036",56.8955871918721
"sunlight","day 037",57.1946017072545
"sunlight","day 038",57.1794503504833
"sunlight","day 039",56.8685893176727
"sunlight","day 040",56.2900283464552
"sunlight","day 041",55.4758623170914
"sunlight","day 042",54.4543462565591
"sunlight","day 043",53.2342906360793
"sunlight","day 044",51.8382944580837
"sunlight","day 045",50.3874660565201
"sunlight","day 046",49.117206039149
"sunlight","day 047",48.2618482564896
"sunlight","day 048",47.9558169264346
"sunlight","day 049",48.2050034213757
"sunlight","day 050",48.60107736433
"sunlight","day 051",48.7475020253436
"sunlight","day 052",48.7091370119539
"sunlight","day 053",48.6431047091734
"sunlight","day 054",48.6141822744247
"sunlight","day 055",48.6551603741611
"sunlight","day 056",48.7632289385478
"sunlight","day 057",48.9228452643806
"sunlight","day 058",49.1031368512652
"sunlight","day 059",49.2656468923255
"sunlight","day 060",49.3569111519489
"sunlight","day 061",49.342644826341
"sunlight","day 062",49.2802882677182
"sunlight","day 063",49.2295622232929
"sunlight","day 064",49.1675838642512
"sunlight","day 065",49.0608558905385
"sunlight","day 066",48.9243106127737
"sunlight","day 067",48.8160524427776
"sunlight","day 068",48.7861690532851
"sunlight","day 069",48.819545482252
"sunlight","day 070",48.8880118864155
"sunlight","day 071",48.9763815324185
"sunlight","day 072",49.0702176602236
"sunlight","day 073",49.1451002931686
"sunlight","day 074",49.1789291062422
"sunlight","day 075",49.1688655976618
"sunlight","day 076",49.120258111946
"sunlight","day 077",49.0519405555892
"sunlight","day 078",49.0032378267757
"sunlight","day 079",49.0819532284742
"sunlight","day 080",49.3726406912544
"sunlight","day 081",49.7983782513045
"sunlight","day 082",50.2408564677891
"sunlight","day 083",50.57769188616
"sunlight","day 084",50.7176600594728
"sunlight","day 085",50.6982465849115
"sunlight","day 086",50.5889930390046
"sunlight","day 087",50.4666547267026
"sunlight","day 088",50.4386648419598
"sunlight","day 089",50.5848559122602
"sunlight","day 090",50.8438583785164
"sunlight","day 091",51.1283140746457
"sunlight","day 092",51.3881124931545
"sunlight","day 093",51.5866881190492
"sunlight","day 094",51.7044077487471
"sunlight","day 095",51.7306666117251
"sunlight","day 096",51.6740413582877
"sunlight","day 097",51.5601377827981
"sunlight","day 098",51.4634968350248
"sunlight","day 099",51.4568484772583
"sunlight","day 100",51.556743566471
"sunlight","day 101",51.7537902266725
"sunlight","day 102",51.9910047553374
"sunlight","day 103",52.2172055404478
"sunlight","day 104",52.4520111585491
"sunlight","day 105",52.7308714350422
"sunlight","day 106",53.0817610021865
"sunlight","day 107",53.5018545356414
"sunlight","day 108",53.8942986042158
"sunlight","day 109",54.220094724044
"sunlight","day 110",54.4819644489658
"sunlight","day 111",54.7627233780004
"sunlight","day 112",55.1387390247706
"sunlight","day 113",55.580492516131
"sunlight","day 114",56.0316646397522
"sunlight","day 115",56.4346212133343
"sunlight","day 116",56.753188858016
"sunlight","day 117",57.0383523786592
"sunlight","day 118",57.3509158088471
"sunlight","day 119",57.7038019133238
"sunlight","day 120",58.0911485411246
"sunlight","day 121",58.4798351472895
"sunlight","day 122",58.8287891583106
"sunlight","day 123",59.0923882804823
"sunlight","day 124",59.2435781992384
"sunlight","day 125",59.3341262367661
"sunlight","day 126",59.4191463494556
"sunlight","day 127",59.4883173937549
"sunlight","day 128",59.4926104808593
"sunlight","day 129",59.3283528278611
"sunlight","day 130",59.0085306294471
"sunlight","day 131",58.5815176921054
"sunlight","day 132",58.0982303216699
"sunlight","day 133",57.6259523567229
"sunlight","day 134",57.2948952674982
"sunlight","day 135",57.2386052483219
"sunlight","day 136",57.5410397582393
"sunlight","day 137",58.315207387452
"sunlight","day 138",59.839909986069
"sunlight","day 139",61.9983938419404
"sunlight","day 140",62.9258897339741
"sunlight","day 141",61.242439072046
"sunlight","day 142",59.2553412988456
"sunlight","day 143",59.4027510578244
"sunlight","day 144",60.9589857626691
"sunlight","day 145",62.6310908898097
"sunlight","day 146",64.0208613964166
"sunlight","day 147",65.0099581479962
"sunlight","day 148",65.7047561626589
"sunlight","day 149",66.2494436703994
"sunlight","day 150",66.7147475961443
"humidity","day 001",9.70273716055035
"humidity","day 002",9.90605388241002
"humidity","day 003",10.1248115218454
"humidity","day 004",10.3533436163064
"humidity","day 005",10.5832938830364
"humidity","day 006",10.816186544124
"humidity","day 007",11.0541920984624
"humidity","day 008",11.2921856473174
"humidity","day 009",11.5287797480491
"humidity","day 010",11.7848321800212
"humidity","day 011",12.0864806595989
"humidity","day 012",12.4587374291499
"humidity","day 013",12.9227165379251
"humidity","day 014",13.4850647367068
"humidity","day 015",14.144085292193
"humidity","day 016",14.8791748332133
"humidity","day 017",15.6678673366781
"humidity","day 018",16.4991528096901
"humidity","day 019",17.3678747517441
"humidity","day 020",18.2808346017115
"humidity","day 021",19.2462654242538
"humidity","day 022",20.2661688478162
"humidity","day 023",21.3266251010171
"humidity","day 024",22.3608524705224
"humidity","day 025",23.3060745867784
"humidity","day 026",24.1042108508723
"humidity","day 027",24.6975948619026
"humidity","day 028",25.0421095926105
"humidity","day 029",25.1474213122981
"humidity","day 030",25.0441908246881
"humidity","day 031",24.7932737746261
"humidity","day 032",24.4662167264894
"humidity","day 033",24.1471350816586
"humidity","day 034",23.9097445091399
"humidity","day 035",23.7735929114374
"humidity","day 036",23.7221744172896
"humidity","day 037",23.6489358268757
"humidity","day 038",23.4398341876686
"humidity","day 039",23.0409148648767
"humidity","day 040",22.4352752162561
"humidity","day 041",21.6941322520193
"humidity","day 042",20.9067981759344
"humidity","day 043",20.146846313537
"humidity","day 044",19.4859054903389
"humidity","day 045",18.9948683630826
"humidity","day 046",18.7118296204149
"humidity","day 047",18.6468228718263
"humidity","day 048",18.7324255978136
"humidity","day 049",18.8739307002535
"humidity","day 050",18.9449488955381
"humidity","day 051",18.8398989959818
"humidity","day 052",18.5681143830718
"humidity","day 053",18.1802022181224
"humidity","day 054",17.776950212582
"humidity","day 055",17.4611922543066
"humidity","day 056",17.2937663866476
"humidity","day 057",17.3366775933735
"humidity","day 058",17.6985944644248
"humidity","day 059",18.4812657992215
"humidity","day 060",19.7120976289306
"humidity","day 061",21.3025658106605
"humidity","day 062",22.7747682735399
"humidity","day 063",23.6825873294302
"humidity","day 064",24.096420749102
"humidity","day 065",24.1873936815641
"humidity","day 066",24.0194924267128
"humidity","day 067",23.654170185334
"humidity","day 068",23.1624721338
"humidity","day 069",22.6279429634483
"humidity","day 070",22.1439595614304
"humidity","day 071",21.8307280831879
"humidity","day 072",21.7958372957732
"humidity","day 073",22.0695771443893
"humidity","day 074",22.6415269976292
"humidity","day 075",23.4157227394925
"humidity","day 076",24.2748351646938
"humidity","day 077",25.1016181953983
"humidity","day 078",25.7702667677756
"humidity","day 079",26.1206567465591
"humidity","day 080",26.0094393004613
"humidity","day 081",25.3946858855465
"humidity","day 082",24.3352682289173
"humidity","day 083",23.191838854478
"humidity","day 084",22.3022674614935
"humidity","day 085",21.6115116538687
"humidity","day 086",20.998592911632
"humidity","day 087",20.4713550549795
"humidity","day 088",20.0685527653211
"humidity","day 089",19.8199365710318
"humidity","day 090",19.7206214270964
"humidity","day 091",19.7536154042673
"humidity","day 092",19.8881346097562
"humidity","day 093",20.0925081151457
"humidity","day 094",20.3453088130425
"humidity","day 095",20.6364078214463
"humidity","day 096",20.9906253389045
"humidity","day 097",21.4396268741609
"humidity","day 098",22.0075100961976
"humidity","day 099",22.7025813981933
"humidity","day 100",23.4775499098758
"humidity","day 101",24.2781919863293
"humidity","day 102",25.078150147515
"humidity","day 103",25.8607420848413
"humidity","day 104",26.6201200106278
"humidity","day 105",27.3547918179031
"humidity","day 106",28.0698536016192
"humidity","day 107",28.7653061152276
"humidity","day 108",29.4248076444385
"humidity","day 109",30.067782483714
"humidity","day 110",30.7177058102415
"humidity","day 111",31.3717479313769
"humidity","day 112",32.0097010543746
"humidity","day 113",32.5681498559124
"humidity","day 114",32.9914230963578
"humidity","day 115",33.298033401413
"humidity","day 116",33.5269621369673
"humidity","day 117",33.7248817643274
"humidity","day 118",33.9271894635886
"humidity","day 119",34.116490194585
