"dimension","time","value"
"sunlight","day 001",65.6519265137233
"sunlight","day 002",65.9511919644132
"sunlight","day 003",66.2236601000826
"sunlight","day 004",66.4370002462596
"sunlight","day 005",66.5663324642558
"sunlight","day 006",66.6245516655542
"sunlight","day 007",66.6389773503345
"sunlight","day 008",66.6568525233922
"sunlight","day 009",66.7223664487889
"sunlight","day 010",66.8475699230343
"sunlight","day 011",67.03495574193
"sunlight","day 012",67.2809231659965
"sunlight","day 013",67.5784897568616
"sunlight","day 014",67.9132398158641
"sunlight","day 015",68.2720180886457
"sunlight","day 016",68.6541443583498
"sunlight","day 017",69.0424436558773
"sunlight","day 018",69.3412869656575
"sunlight","day 019",69.4603995377233
"sunlight","day 020",69.4093777309955
"sunlight","day 021",69.2229809909331
"sunlight","day 022",68.9367500002593
"sunlight","day 023",68.5847782073542
"sunlight","day 024",68.1993920297542
"sunlight","day 025",67.8304879165155
"sunlight","day 026",67.517721433203
"sunlight","day 027",67.2405720362371
"sunlight","day 028",66.9665173301413
"sunlight","day 029",66.6752036209981
"sunlight","day 030",66.3526353298728
"sunlight","day 031",65.9980806362052
"sunlight","day 032",65.6101390996658
"sunlight","day 033",65.1714720424728
"sunlight","day 034",64.6652303118727
"sunlight","day 035",64.0924610926778
"sunlight","day 036",63.4553665752103
"sunlight","day 037",62.7428726342685
"sunlight","day 038",61.9458515706048
"sunlight","day 039",61.076237704313
"sunlight","day 040",60.1557125262876
"sunlight","day 041",59.2238841912845
"sunlight","day 042",58.3196160946315
"sunlight","day 043",57.4608659300831
"sunlight","day 044",56.6595378402899
"sunlight","day 045",55.9221392497105
"sunlight","day 046",55.2459975956975
"sunlight","day 047",54.6245971760971
"sunlight","day 048",54.0444025921283
"sunlight","day 049",53.4937636031295
"sunlight","day 050",52.9755902975472
"sunlight","day 051",52.4953292817386
"sunlight","day 052",52.0540129045966
"sunlight","day 053",51.649802250676
"sunlight","day 054",51.2737876046437
"sunlight","day 055",50.9175174970039
"sunlight","day 056",50.5814442414983
"sunlight","day 057",50.2669421569819
"sunlight","day 058",49.9701697995264
"sunlight","day 059",49.6881803105091
"sunlight","day 060",49.4268209353121
"sunlight","day 061",49.1923671943422
"sunlight","day 062",48.9840136041005
"sunlight","day 063",48.8010465415442
"sunlight","day 064",48.6502008293596
"sunlight","day 065",48.5353203499845
"sunlight","day 066",48.4437125856226
"sunlight","day 067",48.3678351927569
"sunlight","day 068",48.3050246026471
"sunlight","day 069",48.2622291196992
"sunlight","day 070",48.2451968263748
"sunlight","day 071",48.245263044213
"sunlight","day 072",48.2498626927446
"sunlight","day 073",48.2452418443898
"sunlight","day 074",48.21593811866
"sunlight","day 075",48.1408441705402
"sunlight","day 076",47.9992212858801
"sunlight","day 077",47.7774502385127
"sunlight","day 078",47.4683744797314
"sunlight","day 079",47.0835686826855
"sunlight","day 080",46.6410329583192
"sunlight","day 081",46.1657379468998
"sunlight","day 082",45.6804723133909
"sunlight","day 083",45.1923262922176
"sunlight","day 084",44.7082291846374
"sunlight","day 085",44.2501649897776
"sunlight","day 086",43.8394765484679
"sunlight","day 087",43.4795942356914
"sunlight","day 088",43.168371054522
"sunlight","day 089",42.9048268643726
"sunlight","day 090",42.693821489156
"sunlight","day 091",42.5398294386628
"sunlight","day 092",42.4399440016931
"sunlight","day 093",42.3910964735847
"sunlight","day 094",42.3969513968156
"sunlight","day 095",42.4583918793525
"sunlight","day 096",42.5584420439779
"sunlight","day 097",42.6796595540325
"sunlight","day 098",42.8205952202723
"sunlight","day 099",42.9820272509478
"sunlight","day 100",43.1576502968709
"sunlight","day 101",43.3412160143276
"sunlight","day 102",43.5337876389402
"sunlight","day 103",43.7364311639277
"sunlight","day 104",43.9429120335599
"sunlight","day 105",44.1467105627016
"sunlight","day 106",44.3474670975461
"sunlight","day 107",44.5457003373212
"sunlight","day 108",44.7386959287292
"sunlight","day 109",44.9207321303317
"sunlight","day 110",45.0869354832614
"sunlight","day 111",45.2381713922793
"sunlight","day 112",45.3729013890362
"sunlight","day 113",45.4742326491144
"sunlight","day 114",45.5255131312813
"sunlight","day 115",45.5264082831124
"sunlight","day 116",45.4789455817333
"sunlight","day 117",45.3782831336633
"sunlight","day 118",45.2195015649455
"sunlight","day 119",45.0042409503266
"sunlight","day 120",44.7330926081534
"sunlight","day 121",44.39589338247
"sunlight","day 122",43.9798329337395
"sunlight","day 123",43.4722666624037
"sunlight","day 124",42.8641057429639
"sunlight","day 125",42.1603187061793
"sunlight","day 126",41.3685837495779
"sunlight","day 127",40.4933603815026
"sunlight","day 128",39.5413383295051
"sunlight","day 129",38.5184256635812
"sunlight","day 130",37.3818804509405
"sunlight","day 131",36.1141706575869
"sunlight","day 132",34.8502887389944
"sunlight","day 133",33.7362980546159
"sunlight","day 134",32.8100210903503
"sunlight","day 135",32.0750886494605
"sunlight","day 136",31.5066056782184
"sunlight","day 137",31.0766956322915
"sunlight","day 138",30.7740818619207
"sunlight","day 139",30.5871728315132
"sunlight","day 140",30.4865175675673
"sunlight","day 141",30.4424584696403
"sunlight","day 142",30.4423708674331
"sunlight","day 143",30.4777022276699
"sunlight","day 144",30.5391556350242
"sunlight","day 145",30.6186162471295
"sunlight","day 146",30.7134418955082
"sunlight","day 147",30.8202132065989
"sunlight","day 148",30.9269293126156
"sunlight","day 149",31.0224779594725
"sunlight","day 150",31.1078828421093
"humidity","day 001",42.5934574318295
"humidity","day 002",42.5753260956821
"humidity","day 003",42.4673113294152
"humidity","day 004",42.1570430563108
"humidity","day 005",41.5679629376577
"humidity","day 006",40.783641285956
"humidity","day 007",39.9239823981651
"humidity","day 008",39.0940978578705
"humidity","day 009",38.3748347190502
"humidity","day 010",37.7647746306269
"humidity","day 011",37.2558844988224
"humidity","day 012",36.8959376641093
"humidity","day 013",36.7301649086968
"humidity","day 014",36.7378203474886
"humidity","day 015",36.8848608178846
"humidity","day 016",37.1500307145754
"humidity","day 017",37.4998139285529
"humidity","day 018",37.8388647787212
"humidity","day 019",38.0539113880545
"humidity","day 020",38.0218066678957
"humidity","day 021",37.6737257279818
"humidity","day 022",37.16800768326
"humidity","day 023",36.6959495861739
"humidity","day 024",36.332916587626
"humidity","day 025",36.0480421894371
"humidity","day 026",35.7739839810254
"humidity","day 027",35.3798944874747
"humidity","day 028",34.761353213541
"humidity","day 029",33.9831526470019
"humidity","day 030",33.1454763148508
"humidity","day 031",32.3208589179221
"humidity","day 032",31.5900210615993
"humidity","day 033",31.0940757956211
"humidity","day 034",30.9418170751651
"humidity","day 035",31.0523700328089
"humidity","day 036",31.2906213619891
"humidity","day 037",31.4941728221781
"humidity","day 038",31.5349776466957
"humidity","day 039",31.4496798982161
"humidity","day 040",31.3051613252823
"humidity","day 041",31.1245635905568
"humidity","day 042",30.9251846867039
"humidity","day 043",30.7446880122765
"humidity","day 044",30.6021577471347
"humidity","day 045",30.4329969322934
"humidity","day 046",30.19294260586
"humidity","day 047",29.865488606819
"humidity","day 048",29.5011514104073
"humidity","day 049",29.1593982377207
"humidity","day 050",28.8684766570384
"humidity","day 051",28.6509892714767
"humidity","day 052",28.5381784763145
"humidity","day 053",28.5519396421723
"humidity","day 054",28.6681402488722
"humidity","day 055",28.8558566507855
"humidity","day 056",29.1030285912775
"humidity","day 057",29.3935059364885
"humidity","day 058",29.6759156546647
"humidity","day 059",29.8905676402535
"humidity","day 060",29.9797263904002
"humidity","day 061",29.9005852269706
"humidity","day 062",29.6680981680137
"humidity","day 063",29.3043040020734
"humidity","day 064",28.8018199034921
"humidity","day 065",28.1513467889773
"humidity","day 066",27.3797913322371
"humidity","day 067",26.5772960462467
"humidity","day 068",25.8310963376418
"humidity","day 069",25.1590024943518
"humidity","day 070",24.5648521188856
"humidity","day 071",24.0660171907778
"humidity","day 072",23.6854970220041
"humidity","day 073",23.4552658772793
"humidity","day 074",23.3946092491142
"humidity","day 075",23.4630825884612
"humidity","day 076",23.5998702522055
"humidity","day 077",23.7224022625201
"humidity","day 078",23.7534807252348
"humidity","day 079",23.6591504155202
"humidity","day 080",23.4238671047717
"humidity","day 081",23.0624878799432
"humidity","day 082",22.5969635224481
"humidity","day 083",22.0472182759787
"humidity","day 084",21.4312708823274
"humidity","day 085",20.7615446134076
"humidity","day 086",20.0282233074247
"humidity","day 087",19.2496684858454
"humidity","day 088",18.8695608967602
"humidity","day 089",19.1891438155113
"humidity","day 090",19.4937508335875
"humidity","day 091",19.0145417936878
"humidity","day 092",17.7818912272063
"humidity","day 093",16.0595074560966
"humidity","day 094",14.2452192758548
"humidity","day 095",12.6840838336086
"humidity","day 096",11.3759512094708
"humidity","day 097",10.2331487288552
"humidity","day 098",9.16311976539556
"humidity","day 099",8.09369587964353
"humidity","day 100",7.03914533160402
"humidity","day 101",6.05020729350134
"humidity","day 102",5.23706788698505
"humidity","day 103",4.70759216151909
"humidity","day 104",4.50091392839992
"humidity","day 105",4.60992232633971
"humidity","day 106",4.91125904188132
"humidity","day 107",5.28226964706582
"humidity","day 108",5.7072097295391
"humidity","day 109",6.1514887112573
"humidity","day 110",6.57849645599974
"humidity","day 111",6.99215650906912
"humidity","day 112",7.40274497948646
"humidity","day 113",7.80541454962301
"humidity","day 114",8.18376225589527
"humidity","day 115",8.49028597755116
"humidity","day 116",8.68348752309372
"humidity","day 117",8.7769835752152
"humidity","day 118",8.80921026499451
"humidity","day 119",8.86276664286752
"humidity","day 120",9.02633817957069
"humidity","day 121",9.3687931076853
"humidity","day 122",9.94986424457292
"humidity","day 123",10.8125599848709
"humidity","day 124",11.9745955704529
"humidity","day 125",13.3692380548621
"humidity","day 126",14.9294999326744
"humidity","day 127",16.671823650927
"humidity","day 128",18.6291341945751
"humidity","day 129",20.8193468656717
"humidity","day 130",23.2659624876209
"humidity","day 131",25.9792530752391
"humidity","day 132",28.9066149374444
"humidity","day 133",31.9412273300439
"humidity","day 134",34.8222770023011
"humidity","day 135",37.2782479198755
"humidity","day 136",39.1488054205545
"humidity","day 137",40.311938193667
"humidity","day 138",40.6877469625794
"humidity","day 139",40.2298040842408
"humidity","day 140",38.9834564158965
"humidity","day 141",37.0153524157709
"humidity","day 142",34.3855724457122
"humidity","day 143",31.1766772485505
"humidity","day 144",27.5677171874212
"humidity","day 145",23.7532580328816
"humidity","day 146",19.8934375648734
"humidity","day 147",16.1202843407264
"humidity","day 148",12.4878180179417
"humidity","day 149",9.01081035246789
"humidity","day 150",5.62505039387473
