"dimension","time","value"
"sunlight","day 001",66.408067585177
"sunlight","day 002",65.8120040299116
"sunlight","day 003",65.2787870894604
"sunlight","day 004",64.7898975541392
"sunlight","day 005",64.3061959309038
"sunlight","day 006",63.7871822434438
"sunlight","day 007",63.2077971417617
"sunlight","day 008",62.6061042643768
"sunlight","day 009",62.0308076571337
"sunlight","day 010",61.5100500066613
"sunlight","day 011",61.0594158588394
"sunlight","day 012",60.6648185557661
"sunlight","day 013",60.3117545436928
"sunlight","day 014",60.0137238892646
"sunlight","day 015",59.7905338636662
"sunlight","day 016",59.6592169358489
"sunlight","day 017",59.6328860736601
"sunlight","day 018",59.7117510427658
"sunlight","day 019",59.8895668820735
"sunlight","day 020",60.1471729256388
"sunlight","day 021",60.4569718228908
"sunlight","day 022",60.770535189605
"sunlight","day 023",61.0413470570435
"sunlight","day 024",61.2558933058521
"sunlight","day 025",61.4258646057135
"sunlight","day 026",61.5660622559513
"sunlight","day 027",61.6856454593134
"sunlight","day 028",61.7866131719782
"sunlight","day 029",61.8479654604194
"sunlight","day 030",61.847163355801
"sunlight","day 031",61.7785106377506
"sunlight","day 032",61.6450838096902
"sunlight","day 033",61.4682075217556
"sunlight","day 034",61.2641618651321
"sunlight","day 035",61.010800548488
"sunlight","day 036",60.6826211241908
"sunlight","day 037",60.2791229019181
"sunlight","day 038",59.8079168549162
"sunlight","day 039",59.2840588533942
"sunlight","day 040",58.7210681665811
"sunlight","day 041",58.1188727628238
"sunlight","day 042",57.4779451505647
"sunlight","day 043",56.8145272995117
"sunlight","day 044",56.1501761493423
"sunlight","day 045",55.509397167357
"sunlight","day 046",54.9079008615459
"sunlight","day 047",54.3553494917295
"sunlight","day 048",53.8473798890138
"sunlight","day 049",53.379586842229
"sunlight","day 050",52.9614223998169
"sunlight","day 051",52.5985752838879
"sunlight","day 052",52.267823651617
"sunlight","day 053",51.9463424493623
"sunlight","day 054",51.6418043451499
"sunlight","day 055",51.3698025668736
"sunlight","day 056",51.1471148602283
