"dimension","time","value"
"sunlight","day 001",56.2565450856406
"sunlight","day 002",57.3912063132955
"sunlight","day 003",58.5436466780423
"sunlight","day 004",59.719130522841
"sunlight","day 005",60.9135750125943
"sunlight","day 006",62.0989221204822
"sunlight","day 007",63.2344463726214
"sunlight","day 008",64.2527276986001
"sunlight","day 009",65.0866009206819
"sunlight","day 010",65.6966150283625
"sunlight","day 011",66.0596221481336
"sunlight","day 012",66.1899727872419
"sunlight","day 013",66.1130584826388
"sunlight","day 014",65.8609365093395
"sunlight","day 015",65.466514196185
"sunlight","day 016",64.9594333492552
"sunlight","day 017",64.3789862796358
"sunlight","day 018",63.8063328411972
"sunlight","day 019",63.3304062281515
"sunlight","day 020",63.0293654532946
"sunlight","day 021",62.899911735823
"sunlight","day 022",62.6236893019534
"sunlight","day 023",61.7147966506749
"sunlight","day 024",59.5800483360052
"sunlight","day 025",56.5288453168106
"sunlight","day 026",53.142422853454
"sunlight","day 027",50.0979855284519
"sunlight","day 028",47.9364199712915
"sunlight","day 029",46.5573716771886
"sunlight","day 030",45.7347219842208
"sunlight","day 031",45.3805367361845
"sunlight","day 032",45.43291919752
"sunlight","day 033",45.7959378095242
"sunlight","day 034",46.3696390954026
"sunlight","day 035",47.0720167291391
"sunlight","day 036",47.8319735151021
"sunlight","day 037",48.6041016284193
"sunlight","day 038",49.3522817215828
"sunlight","day 039",50.0518589857829
"sunlight","day 040",50.6789641581787
"sunlight","day 041",51.2014056211063
"sunlight","day 042",51.5899653041885
"sunlight","day 043",51.8356416810188
"sunlight","day 044",51.9379995635683
"sunlight","day 045",51.911450235654
"sunlight","day 046",51.7771078327014
"sunlight","day 047",51.553586876727
"sunlight","day 048",51.2463127868849
"sunlight","day 049",50.861029964581
"sunlight","day 050",50.4179478430888
"sunlight","day 051",49.9384322031622
"sunlight","day 052",49.4340091836089
"sunlight","day 053",48.9116927836073
"sunlight","day 054",48.3702880857645
"sunlight","day 055",47.8112859695217
"sunlight","day 056",47.2551294182248
"sunlight","day 057",46.7237456355705
"sunlight","day 058",46.2260466027509
"sunlight","day 059",45.7647212165519
"sunlight","day 060",45.3305812586384
"sunlight","day 061",44.9161337217194
"sunlight","day 062",44.5325435578014
"sunlight","day 063",44.1932017018068
"sunlight","day 064",43.9017450610224
"sunlight","day 065",43.6565903819446
"sunlight","day 066",43.4464667801582
"sunlight","day 067",43.2630776558348
"sunlight","day 068",43.1043855669813
"sunlight","day 069",42.9876337644747
"sunlight","day 070",42.9358025941457
"sunlight","day 071",42.9755400887683
"sunlight","day 072",43.123987801679
"sunlight","day 073",43.356593681522
"sunlight","day 074",43.6677451425032
"sunlight","day 075",44.1692810657662
"sunlight","day 076",44.8698687835649
"sunlight","day 077",45.2480379656533
"sunlight","day 078",44.8402790662066
"sunlight","day 079",43.9450633395827
"sunlight","day 080",43.011604523103
"sunlight","day 081",42.330105485761
"sunlight","day 082",42.0897324718414
"sunlight","day 083",42.2345160951229
"sunlight","day 084",42.6625968394415
"sunlight","day 085",43.3336902993688
"sunlight","day 086",44.2176005006227
"sunlight","day 087",45.2673971071788
"sunlight","day 088",46.4487925340992
"sunlight","day 089",47.7306074869509
"sunlight","day 090",49.0761477356952
"sunlight","day 091",50.4447091327317
"sunlight","day 092",51.7850627958201
"sunlight","day 093",53.0521617085237
"sunlight","day 094",54.2362110522632
"sunlight","day 095",55.3437839704638
"sunlight","day 096",56.4116732567124
"sunlight","day 097",57.4793313956422
"sunlight","day 098",58.566629985909
"sunlight","day 099",59.6863054641713
"sunlight","day 100",60.8421345050743
"sunlight","day 101",62.0293265168737
"sunlight","day 102",63.2177816042786
"sunlight","day 103",64.3688699136206
"sunlight","day 104",65.4351510612681
"sunlight","day 105",66.369955009467
"sunlight","day 106",67.1385036339372
"sunlight","day 107",67.7049432338373
"sunlight","day 108",68.0232543701336
"sunlight","day 109",68.0674829749744
"sunlight","day 110",67.821658006449
"sunlight","day 111",67.2856266002989
"sunlight","day 112",66.4648989547358
"sunlight","day 113",65.3718193401981
"sunlight","day 114",64.0228697243208
"sunlight","day 115",62.4442487912992
"sunlight","day 116",60.6674912898977
"sunlight","day 117",58.7357595105967
"sunlight","day 118",56.6969857784308
"sunlight","day 119",54.606555014935
"sunlight","day 120",52.5178398896974
"sunlight","day 121",50.4687114680179
"sunlight","day 122",48.4907839103082
"sunlight","day 123",46.606145361717
"sunlight","day 124",44.8356793661676
"sunlight","day 125",43.2049770779475
"sunlight","day 126",41.7360581797155
"sunlight","day 127",40.4319488572543
"sunlight","day 128",39.2855611252437
"sunlight","day 129",38.2710112234649
"sunlight","day 130",37.3677192453521
"sunlight","day 131",36.5609111663106
"sunlight","day 132",35.8483668390934
"sunlight","day 133",35.2295498552894
"sunlight","day 134",34.6981048844839
"sunlight","day 135",34.2439724728061
"sunlight","day 136",33.8480955945642
"sunlight","day 137",33.4907357355928
"sunlight","day 138",33.1584259996515
"sunlight","day 139",32.8387265680094
"sunlight","day 140",32.5170343140474
"sunlight","day 141",32.1811339995057
"sunlight","day 142",31.8305252474476
"sunlight","day 143",31.465835449016
"sunlight","day 144",31.0804882063476
"sunlight","day 145",30.6643439868188
"sunlight","day 146",30.2002145077698
"sunlight","day 147",29.6758561372453
"sunlight","day 148",29.1058525961434
"sunlight","day 149",28.5102726244302
"sunlight","day 150",27.9042976854897
"humidity","day 001",24.5599084176199
"humidity","day 002",23.5669163364123
"humidity","day 003",22.5130903197393
"humidity","day 004",21.4703324170789
"humidity","day 005",20.5246839040656
"humidity","day 006",19.6782698117656
"humidity","day 007",18.9056907528277
"humidity","day 008",18.1553659108005
"humidity","day 009",17.4053558977118
"humidity","day 010",16.7784684686063
"humidity","day 011",16.3836547546923
"humidity","day 012",16.1296922488146
"humidity","day 013",15.9088609582517
"humidity","day 014",15.7476245863795
"humidity","day 015",15.6840527383798
"humidity","day 016",15.6684549305607
"humidity","day 017",15.6403421022286
"humidity","day 018",15.583790973557
"humidity","day 019",15.5207202854711
"humidity","day 020",15.5798510810348
"humidity","day 021",15.888458264091
"humidity","day 022",16.4612298794598
"humidity","day 023",17.2323314208511
"humidity","day 024",17.9897145611491
"humidity","day 025",18.7221132352548
"humidity","day 026",19.4712846052643
"humidity","day 027",20.2379206436839
"humidity","day 028",21.0054781377865
"humidity","day 029",21.7295383235016
"humidity","day 030",22.3782708340624
"humidity","day 031",22.998074443259
"humidity","day 032",23.6408444820137
"humidity","day 033",24.3022333692194
"humidity","day 034",24.9545663750743
"humidity","day 035",25.5331030870251
"humidity","day 036",26.0205338187054
"humidity","day 037",26.6263374712454
"humidity","day 038",27.5253345686635
"humidity","day 039",28.5269235390336
"humidity","day 040",29.3657043880208
"humidity","day 041",29.8425055275994
"humidity","day 042",29.7984180511757
"humidity","day 043",29.1693553715745
"humidity","day 044",27.9693150637997
"humidity","day 045",26.4497268737622
"humidity","day 046",24.9960704961362
"humidity","day 047",23.9297917594727
"humidity","day 048",23.2365296613932
"humidity","day 049",22.7975771126776
"humidity","day 050",22.4126495076705
"humidity","day 051",21.918322559865
"humidity","day 052",21.3801907757827
"humidity","day 053",20.9069066641236
"humidity","day 054",20.5503359492726
"humidity","day 055",20.3286998240921
"humidity","day 056",20.1824281396706
"humidity","day 057",20.05666824866
"humidity","day 058",19.9932288517383
"humidity","day 059",20.0459186477044
"humidity","day 060",20.2198849798136
"humidity","day 061",20.4928492809136
"humidity","day 062",20.7814906977658
"humidity","day 063",21.0008424849265
"humidity","day 064",21.1203966142191
"humidity","day 065",21.0876999234111
"humidity","day 066",20.771732936644
"humidity","day 067",20.2606081241482
"humidity","day 068",19.7298307338357
"humidity","day 069",19.4497853648837
"humidity","day 070",19.6597537284319
"humidity","day 071",20.3797266322083
"humidity","day 072",21.5243456669743
"humidity","day 073",22.806146459039
"humidity","day 074",23.9397428239905
"humidity","day 075",24.8501672989858
"humidity","day 076",25.5249001395952
"humidity","day 077",25.9907937534722
"humidity","day 078",26.3046686154413
"humidity","day 079",26.6038453169285
"humidity","day 080",27.0011189450675
"humidity","day 081",27.4306824532214
"humidity","day 082",27.8159696612817
"humidity","day 083",28.2159799890239
"humidity","day 084",28.6956102802439
"humidity","day 085",29.2077814749359
"humidity","day 086",29.6261578007168
"humidity","day 087",29.7001235518511
"humidity","day 088",29.4508843355862
"humidity","day 089",28.9868291557089
"humidity","day 090",28.441996552754
"humidity","day 091",27.9456050899891
"humidity","day 092",27.5819438848628
"humidity","day 093",27.4370822513647
"humidity","day 094",27.6491397354647
"humidity","day 095",28.3027480579139
"humidity","day 096",29.2165374066088
"humidity","day 097",30.1542626742269
"humidity","day 098",30.9261791054241
"humidity","day 099",31.4008731890448
"humidity","day 100",31.6337560387066
