"dimension","time","value"
"sunlight","day 001",29.957482704777
"sunlight","day 002",31.2030934575089
"sunlight","day 003",32.4692089228527
"sunlight","day 004",33.7512018304798
"sunlight","day 005",35.034164328793
"sunlight","day 006",36.2941518481763
"sunlight","day 007",37.5095051497856
"sunlight","day 008",38.6767430358839
"sunlight","day 009",39.7910456752114
"sunlight","day 010",40.8240606613096
"sunlight","day 011",41.7338564808977
"sunlight","day 012",42.4477177686048
"sunlight","day 013",42.9092847651836
"sunlight","day 014",43.1584039879737
"sunlight","day 015",43.2479968349003
"sunlight","day 016",43.1870779496438
"sunlight","day 017",42.9792682137297
"sunlight","day 018",42.6505202143075
"sunlight","day 019",42.2303859312887
"sunlight","day 020",41.7404832100094
"sunlight","day 021",41.1910394885868
"sunlight","day 022",40.5546547108402
"sunlight","day 023",39.8117981503893
"sunlight","day 024",39.0173278823259
"sunlight","day 025",38.2645141370065
"sunlight","day 026",37.6437273913094
"sunlight","day 027",37.2126031563105
"sunlight","day 028",37.0129386203561
"sunlight","day 029",37.055912646676
"sunlight","day 030",37.3504353497483
"sunlight","day 031",37.9269601741598
"sunlight","day 032",38.8132968503794
"sunlight","day 033",40.0051369222925
"sunlight","day 034",41.4749313011592
"sunlight","day 035",43.1342865543199
"sunlight","day 036",44.8998635572805
"sunlight","day 037",46.7693847621294
"sunlight","day 038",48.7377292469888
"sunlight","day 039",50.7073410175344
"sunlight","day 040",52.5632091099725
"sunlight","day 041",54.2129377550789
"sunlight","day 042",55.581250543129
"sunlight","day 043",56.6387333078274
"sunlight","day 044",57.3542297709173
"sunlight","day 045",57.6674693854095
"sunlight","day 046",57.5998396216666
"sunlight","day 047",57.208463112567
"sunlight","day 048",56.5985374508834
"sunlight","day 049",55.8844909950805
"sunlight","day 050",55.1696002064993
"sunlight","day 051",54.5585998372207
"sunlight","day 052",54.1732096994105
"sunlight","day 053",54.125069892328
"sunlight","day 054",54.4685166035227
"sunlight","day 055",55.2359762057174
"sunlight","day 056",56.4295397240378
"sunlight","day 057",58.0181529439525
"sunlight","day 058",59.8685160398998
"sunlight","day 059",61.8005933424543
"sunlight","day 060",63.5496514177678
"sunlight","day 061",64.8732620640012
"sunlight","day 062",65.7029157717726
"sunlight","day 063",66.0246693209863
"sunlight","day 064",65.8689259562328
"sunlight","day 065",65.2817757788011
"sunlight","day 066",64.3191697726005
"sunlight","day 067",63.0074988441115
"sunlight","day 068",61.3795584091319
"sunlight","day 069",59.5279222386849
"sunlight","day 070",57.578046439043
"sunlight","day 071",55.7271381022514
"sunlight","day 072",54.175598560642
"sunlight","day 073",53.0648551219232
"sunlight","day 074",52.5382431047704
"sunlight","day 075",52.8057038963508
"sunlight","day 076",53.860550945079
"sunlight","day 077",54.762979875869
"sunlight","day 078",54.5837894335352
"sunlight","day 079",53.3693086659939
"sunlight","day 080",51.4838897571452
"sunlight","day 081",49.5884471317239
"sunlight","day 082",48.2662613288444
"sunlight","day 083",47.4935151043057
"sunlight","day 084",47.0625779504711
"sunlight","day 085",46.6376640892736
"sunlight","day 086",46.0030129959023
"sunlight","day 087",45.4628439233372
"sunlight","day 088",45.1203341727756
"sunlight","day 089",44.9742004002697
"sunlight","day 090",44.9584227039382
"sunlight","day 091",44.9976615110409
"sunlight","day 092",45.0440351233372
"sunlight","day 093",45.079578834404
"sunlight","day 094",45.1785380305885
"sunlight","day 095",45.4127539205237
"sunlight","day 096",45.7522409092168
"sunlight","day 097",46.136606613611
"sunlight","day 098",46.4856583020205
"sunlight","day 099",46.7259429072238
"sunlight","day 100",46.8307663684857
"sunlight","day 101",46.8032282251876
"sunlight","day 102",46.7188434106907
"sunlight","day 103",46.658648228675
"sunlight","day 104",46.653349070116
"sunlight","day 105",46.7215343271087
"sunlight","day 106",46.8836503089306
"sunlight","day 107",47.1406262641974
"sunlight","day 108",47.4349928634813
"sunlight","day 109",47.7754095645423
"sunlight","day 110",48.1886241939774
"sunlight","day 111",48.6876277265872
"sunlight","day 112",49.2817862813379
"sunlight","day 113",49.9797234056561
"sunlight","day 114",50.7575970684881
"sunlight","day 115",51.4624454963987
"sunlight","day 116",51.9421754205242
"sunlight","day 117",52.1772873326677
"sunlight","day 118",52.1925778547241
"sunlight","day 119",52.0574343682897
"sunlight","day 120",51.8556272818573
"sunlight","day 121",51.6838683518029
"sunlight","day 122",51.6278851597195
"sunlight","day 123",51.7165272401829
"sunlight","day 124",51.951575762574
"sunlight","day 125",52.2834164825121
"sunlight","day 126",52.6547146001682
"sunlight","day 127",53.0286485076823
"sunlight","day 128",53.378163129693
"sunlight","day 129",53.7057098033172
"sunlight","day 130",54.0621919979882
"sunlight","day 131",54.4877979303534
"sunlight","day 132",54.936040908106
"sunlight","day 133",55.3467127733415
"sunlight","day 134",55.6913944147175
"sunlight","day 135",55.9601958400188
"sunlight","day 136",56.1855544869752
"sunlight","day 137",56.4168780211421
"sunlight","day 138",56.72912758943
"sunlight","day 139",57.1792530082304
"sunlight","day 140",57.7266052905032
"sunlight","day 141",58.3083645808061
"sunlight","day 142",58.8706263535189
"sunlight","day 143",59.3587436040783
"sunlight","day 144",59.7061840823249
"sunlight","day 145",59.8540674089184
"sunlight","day 146",59.78600593339
"sunlight","day 147",59.5036161343672
"sunlight","day 148",59.0380382779925
"sunlight","day 149",58.436318085451
