"dimension","time","value"
"sunlight","day 001",40.4767022787996
"sunlight","day 002",40.2965696796236
"sunlight","day 003",40.0255283099781
"sunlight","day 004",39.6309708351927
"sunlight","day 005",39.1013805606589
"sunlight","day 006",38.4483974907334
"sunlight","day 007",37.6976363914547
"sunlight","day 008",36.9074543766258
"sunlight","day 009",36.145113181204
"sunlight","day 010",35.4807506770005
"sunlight","day 011",34.9774542369871
"sunlight","day 012",34.6672331019239
"sunlight","day 013",34.5704653259431
"sunlight","day 014",34.6920823488789
"sunlight","day 015",35.0219464502482
"sunlight","day 016",35.5050898825985
"sunlight","day 017",36.081273500698
"sunlight","day 018",36.7140025951675
"sunlight","day 019",37.3625259342666
"sunlight","day 020",37.945321760958
"sunlight","day 021",38.3805008179968
"sunlight","day 022",38.6254743726062
"sunlight","day 023",38.6614411463506
"sunlight","day 024",38.5238254521129
"sunlight","day 025",38.2555191196745
"sunlight","day 026",37.8939900488001
"sunlight","day 027",37.4615052255101
"sunlight","day 028",36.9733252306095
"sunlight","day 029",36.4318859377857
"sunlight","day 030",35.8452424839565
"sunlight","day 031",35.2567517660808
"sunlight","day 032",34.7188183226337
"sunlight","day 033",34.2847354981166
"sunlight","day 034",34.0053920710925
"sunlight","day 035",33.9211697503471
"sunlight","day 036",34.0556614978558
"sunlight","day 037",34.3758123581315
"sunlight","day 038",34.836755556576
"sunlight","day 039",35.4030249596102
"sunlight","day 040",36.0466119973485
"sunlight","day 041",36.7599377136608
"sunlight","day 042",37.5381415523576
"sunlight","day 043",38.3668069432579
"sunlight","day 044",39.2173432819249
"sunlight","day 045",40.0218884644647
"sunlight","day 046",40.7322698505142
"sunlight","day 047",41.3235179985292
"sunlight","day 048",41.8320017679514
"sunlight","day 049",42.3072209216569
"sunlight","day 050",42.7898605352746
"sunlight","day 051",43.3053967846498
"sunlight","day 052",43.8272849337425
"sunlight","day 053",44.3166677961983
"sunlight","day 054",44.7374592962935
"sunlight","day 055",45.0605867118418
"sunlight","day 056",45.2822596241761
"sunlight","day 057",45.4157166889155
"sunlight","day 058",45.5170305553018
"sunlight","day 059",45.6407229254252
"sunlight","day 060",45.7922777191452
"sunlight","day 061",45.9655667287386
"sunlight","day 062",46.1570510183827
"sunlight","day 063",46.3700482803917
"sunlight","day 064",46.6327134477247
"sunlight","day 065",46.9592894800112
"sunlight","day 066",47.3023001854579
"sunlight","day 067",47.6692120189521
"sunlight","day 068",48.0887176913354
"sunlight","day 069",48.5993510070958
"sunlight","day 070",49.2162184349306
"sunlight","day 071",49.8508760067259
"sunlight","day 072",50.404827449414
"sunlight","day 073",50.8429177069221
"sunlight","day 074",51.1549420236848
"sunlight","day 075",51.3671556291711
"sunlight","day 076",51.5159395707457
"sunlight","day 077",51.6417181823231
"sunlight","day 078",51.7821257163447
"sunlight","day 079",51.9595928128113
"sunlight","day 080",52.1773304786901
"sunlight","day 081",52.376874801254
"sunlight","day 082",52.497052539251
"sunlight","day 083",52.5275280570232
"sunlight","day 084",52.489272192656
"sunlight","day 085",52.4776440736134
"sunlight","day 086",52.592164261153
"sunlight","day 087",52.8602395367903
"sunlight","day 088",53.2373561413304
"sunlight","day 089",53.6726701168871
"sunlight","day 090",54.1475016129684
"sunlight","day 091",54.6591295043213
"sunlight","day 092",55.2365034592562
"sunlight","day 093",55.8998865014917
"sunlight","day 094",56.6031242828144
"sunlight","day 095",57.2935512427621
"sunlight","day 096",57.9588743438088
"sunlight","day 097",58.5908011251581
"sunlight","day 098",59.1566689099973
"sunlight","day 099",59.6220795673076
"sunlight","day 100",59.9700633652631
"sunlight","day 101",60.1885063804662
"sunlight","day 102",60.2672895240408
"sunlight","day 103",60.1919042200154
"sunlight","day 104",59.9282891095132
"sunlight","day 105",59.4518462163573
"sunlight","day 106",58.7953838780745
"sunlight","day 107",57.9982740625849
"sunlight","day 108",57.0783816160572
"sunlight","day 109",56.0843621181348
"sunlight","day 110",55.1006533314408
"sunlight","day 111",54.3162430690096
"sunlight","day 112",53.9240027793088
"sunlight","day 113",54.0277884021274
"sunlight","day 114",54.7613058070258
"sunlight","day 115",56.4666760913281
"sunlight","day 116",59.307903244492
"sunlight","day 117",62.5281075967445
"sunlight","day 118",65.1936987546004
"sunlight","day 119",66.5851270889562
"sunlight","day 120",66.2830348847892
"sunlight","day 121",64.854791319021
"sunlight","day 122",63.0624837629636
"sunlight","day 123",61.4603454735481
"sunlight","day 124",60.4541011370267
"sunlight","day 125",60.0632952713182
"sunlight","day 126",60.201965797424
"sunlight","day 127",60.7483044170105
"sunlight","day 128",61.5560699173108
