"dimension","time","value"
"sunlight","day 001",62.3154385984292
"sunlight","day 002",61.5714382506519
"sunlight","day 003",60.7610877692284
"sunlight","day 004",59.9278336305312
"sunlight","day 005",59.1324816019794
"sunlight","day 006",58.3784308317281
"sunlight","day 007",57.6643460805176
"sunlight","day 008",57.0273611786925
"sunlight","day 009",56.5095527576088
"sunlight","day 010",56.1342995830652
"sunlight","day 011",55.8985995763094
"sunlight","day 012",55.7126251459437
"sunlight","day 013",55.4922315145089
"sunlight","day 014",55.2628306729452
"sunlight","day 015",55.0662739531174
"sunlight","day 016",54.9006132821888
"sunlight","day 017",54.7396089128467
"sunlight","day 018",54.5036538045744
"sunlight","day 019",54.1300243801262
"sunlight","day 020",53.6768982085442
"sunlight","day 021",53.2319028429533
"sunlight","day 022",52.8795646265218
"sunlight","day 023",52.7090621949739
"sunlight","day 024",52.7967148292385
"sunlight","day 025",53.085990465392
"sunlight","day 026",53.4780103560395
"sunlight","day 027",53.8427879597983
"sunlight","day 028",54.0725805671002
"sunlight","day 029",54.1797285896236
"sunlight","day 030",54.1951127907494
"sunlight","day 031",54.1036922194227
"sunlight","day 032",53.9033419154234
"sunlight","day 033",53.6895225963083
"sunlight","day 034",53.5879645782424
"sunlight","day 035",53.7478908940485
"sunlight","day 036",54.2944219999297
"sunlight","day 037",55.2327753289543
"sunlight","day 038",56.5151282690001
"sunlight","day 039",58.0014010503196
"sunlight","day 040",59.5440549585404
"sunlight","day 041",61.0579726584171
"sunlight","day 042",62.4721699219168
"sunlight","day 043",63.7097735707274
"sunlight","day 044",64.7209212212364
"sunlight","day 045",65.5477214461896
"sunlight","day 046",66.1729211597323
"sunlight","day 047",66.5812743577461
"sunlight","day 048",66.8534080539258
"sunlight","day 049",67.0600003835505
"sunlight","day 050",67.1360609504229
"sunlight","day 051",66.9743214659163
"sunlight","day 052",66.4340706031631
"sunlight","day 053",65.4209160320708
"sunlight","day 054",64.0591844478884
"sunlight","day 055",62.5154029454076
"sunlight","day 056",60.9061811922513
"sunlight","day 057",59.3044636521665
"sunlight","day 058",57.6584514005662
"sunlight","day 059",55.8936162989467
"sunlight","day 060",53.9692567414746
"sunlight","day 061",51.8989208775303
"sunlight","day 062",49.8793293446788
"sunlight","day 063",48.1263345987561
"sunlight","day 064",46.7491438804961
"sunlight","day 065",45.7830787046452
"sunlight","day 066",45.1006286793343
"sunlight","day 067",44.6313221194073
"sunlight","day 068",44.3440042421022
"sunlight","day 069",44.2605247453075
"sunlight","day 070",44.3854903062797
"sunlight","day 071",44.6015310390976
"sunlight","day 072",44.7710004425892
"sunlight","day 073",44.797122117758
"sunlight","day 074",44.6334765714796
"sunlight","day 075",44.3942018319429
"sunlight","day 076",44.2081325567752
"sunlight","day 077",44.1023324000438
"sunlight","day 078",44.0693501495122
"sunlight","day 079",44.0654461312863
"sunlight","day 080",44.0457691132106
"sunlight","day 081",43.9973100917412
"sunlight","day 082",43.9258012522383
"sunlight","day 083",43.8800973070659
"sunlight","day 084",43.9154584382422
"sunlight","day 085",44.0696441793965
"sunlight","day 086",44.3391015798132
"sunlight","day 087",44.5896284143821
"sunlight","day 088",44.718485194131
"sunlight","day 089",44.6541878371897
"sunlight","day 090",44.3818738317092
"sunlight","day 091",43.9253591508748
"sunlight","day 092",43.4065521379873
"sunlight","day 093",42.9637227118497
"sunlight","day 094",42.7024947231573
"sunlight","day 095",42.6949686655562
"sunlight","day 096",42.911797672604
"sunlight","day 097",43.2790695366597
"sunlight","day 098",43.6460580453756
"sunlight","day 099",43.8555215668986
"sunlight","day 100",43.8009707960599
"sunlight","day 101",43.3656233849666
"sunlight","day 102",42.3407724881458
"sunlight","day 103",40.64413691716
"sunlight","day 104",38.7910626092932
"sunlight","day 105",37.5803316009125
"sunlight","day 106",38.346843198995
"sunlight","day 107",41.5273177156526
"sunlight","day 108",44.2464711465543
"sunlight","day 109",45.8641269093677
"sunlight","day 110",46.5763009792783
"sunlight","day 111",46.6564638270286
"sunlight","day 112",46.3904652611858
"sunlight","day 113",46.0362179460584
"sunlight","day 114",45.8165834501156
"sunlight","day 115",45.8421561027298
"sunlight","day 116",46.1591857468049
"sunlight","day 117",46.6688115184685
"sunlight","day 118",47.2392146176874
"sunlight","day 119",47.7518552065639
"sunlight","day 120",48.106024342994
"sunlight","day 121",48.2590577059155
"sunlight","day 122",48.2074270128342
"sunlight","day 123",48.0461035144874
"sunlight","day 124",47.8714690068648
"sunlight","day 125",47.6870479337336
