"dimension","time","value"
"sunlight","day 001",58.168285910921
"sunlight","day 002",57.8440183824865
"sunlight","day 003",57.5490153170546
"sunlight","day 004",57.3202630883916
"sunlight","day 005",57.1885489278171
"sunlight","day 006",57.151516549121
"sunlight","day 007",57.1901265652109
"sunlight","day 008",57.2517507029918
"sunlight","day 009",57.2857842008204
"sunlight","day 010",57.2833052288614
"sunlight","day 011",57.2401098953917
"sunlight","day 012",57.1291831293273
"sunlight","day 013",56.926864502624
"sunlight","day 014",56.6457233387573
"sunlight","day 015",56.3094197515892
"sunlight","day 016",55.9497472650083
"sunlight","day 017",55.5987252644044
"sunlight","day 018",55.2811431711475
"sunlight","day 019",55.0114783893436
"sunlight","day 020",54.7701902180643
"sunlight","day 021",54.5313130207977
"sunlight","day 022",54.2771995237328
"sunlight","day 023",53.9982167271545
"sunlight","day 024",53.7099049868403
"sunlight","day 025",53.4394778292208
"sunlight","day 026",53.2267969333323
"sunlight","day 027",53.1565781014038
"sunlight","day 028",53.3034853734679
"sunlight","day 029",53.6571216175819
"sunlight","day 030",54.171914294813
"sunlight","day 031",54.7466504102436
"sunlight","day 032",55.2811037616321
"sunlight","day 033",55.7346357734251
"sunlight","day 034",56.1008083480453
"sunlight","day 035",56.4503976731319
"sunlight","day 036",56.8719351971002
"sunlight","day 037",57.4477591262552
"sunlight","day 038",58.2329771281807
"sunlight","day 039",59.1799679576858
"sunlight","day 040",60.2178003952952
"sunlight","day 041",61.2850322371684
"sunlight","day 042",62.3361350035114
"sunlight","day 043",63.3797460950807
"sunlight","day 044",64.4248063971516
"sunlight","day 045",65.4256001517603
"sunlight","day 046",66.3163548122628
"sunlight","day 047",67.0403449351115
"sunlight","day 048",67.5838522922039
"sunlight","day 049",67.9429291336725
"sunlight","day 050",68.1097024071442
"sunlight","day 051",68.0791820718937
"sunlight","day 052",67.8618354362924
"sunlight","day 053",67.4677819802392
"sunlight","day 054",66.8902925206454
"sunlight","day 055",66.1290528040329
"sunlight","day 056",65.2262569583514
"sunlight","day 057",64.2238509082356
"sunlight","day 058",63.1202793836295
"sunlight","day 059",61.9027644960115
"sunlight","day 060",60.5571390776869
"sunlight","day 061",59.0868212609388
"sunlight","day 062",57.566959657134
"sunlight","day 063",56.0790271969533
"sunlight","day 064",54.6580636092489
"sunlight","day 065",53.3148161402279
"sunlight","day 066",52.0225130770921
"sunlight","day 067",50.7945696038408
"sunlight","day 068",49.6603685725604
"sunlight","day 069",48.6602924286995
"sunlight","day 070",47.8359691404188
"sunlight","day 071",47.2230091733658
"sunlight","day 072",46.8502618794286
"sunlight","day 073",46.7255496579702
"sunlight","day 074",46.8423957909132
"sunlight","day 075",47.1581540429435
"sunlight","day 076",47.6321178230078
"sunlight","day 077",48.2675086343303
"sunlight","day 078",49.072929374938
"sunlight","day 079",50.0345804277882
"sunlight","day 080",51.132021918292
"sunlight","day 081",52.3406554567438
"sunlight","day 082",53.6307396739519
"sunlight","day 083",54.9561197978969
"sunlight","day 084",56.2661363824248
"sunlight","day 085",57.50852468767
"sunlight","day 086",58.6435482565842
"sunlight","day 087",59.6659830474341
"sunlight","day 088",60.5147105860729
"sunlight","day 089",61.1149386636832
"sunlight","day 090",61.4060041714221
"sunlight","day 091",61.3467294722127
"sunlight","day 092",60.9597497160654
"sunlight","day 093",60.2877125071486
"sunlight","day 094",59.3895024791737
"sunlight","day 095",58.3174536502124
"sunlight","day 096",57.0814605462345
"sunlight","day 097",55.6813588762091
"sunlight","day 098",54.1191885732052
"sunlight","day 099",52.4066088925251
"sunlight","day 100",50.5915521543076
"sunlight","day 101",48.7282043472191
"sunlight","day 102",46.8594930692012
"sunlight","day 103",45.0194368586478
"sunlight","day 104",43.2176764064873
"sunlight","day 105",41.4720022121005
"sunlight","day 106",39.8571818561423
"sunlight","day 107",38.4581585024642
"sunlight","day 108",37.3307306874806
"sunlight","day 109",36.4751487446919
"sunlight","day 110",35.8782355581086
"sunlight","day 111",35.524583729574
"sunlight","day 112",35.4020838080932
"sunlight","day 113",35.514048413485
"sunlight","day 114",35.860006154012
"sunlight","day 115",36.4089275208982
"sunlight","day 116",37.1122942924389
"sunlight","day 117",37.8821915122555
"sunlight","day 118",38.5342627722104
"sunlight","day 119",38.5377825918058
"sunlight","day 120",37.5355990742437
"sunlight","day 121",36.2112237298864
"sunlight","day 122",35.3213061987016
"sunlight","day 123",34.8743852319198
"sunlight","day 124",34.5740363242446
"sunlight","day 125",33.6520928330102
"sunlight","day 126",31.6394344122906
"sunlight","day 127",29.7348680404885
"sunlight","day 128",29.0805869409471
"sunlight","day 129",29.1222527333337
"sunlight","day 130",29.6233344147369
"sunlight","day 131",30.5213363238549
"sunlight","day 132",31.6585012022615
"sunlight","day 133",32.8594996664482
"sunlight","day 134",33.9739754297023
"sunlight","day 135",34.8901298207718
"sunlight","day 136",35.6254215334535
"sunlight","day 137",36.2168910877705
"sunlight","day 138",36.6506489436035
"sunlight","day 139",36.9053478441832
"sunlight","day 140",36.9807397262822
"sunlight","day 141",36.8880982006015
"sunlight","day 142",36.6636843800132
"sunlight","day 143",36.3389523360378
"sunlight","day 144",35.9011404726166
"sunlight","day 145",35.3249919657036
"sunlight","day 146",34.5794847468822
"sunlight","day 147",33.6442108132993
"sunlight","day 148",32.5469836687249
"sunlight","day 149",31.3336483405573
"sunlight","day 150",30.0739544440824
"humidity","day 001",41.1429339384843
"humidity","day 002",42.3727742156687
"humidity","day 003",43.4817259114562
"humidity","day 004",44.3746744479193
