"dimension","time","value"
"sunlight","day 001",66.7242746251669
"sunlight","day 002",66.2531696145705
"sunlight","day 003",65.8736378248088
"sunlight","day 004",65.6836967525549
"sunlight","day 005",65.7687653522281
"sunlight","day 006",66.1319619127508
"sunlight","day 007",66.7353081837639
"sunlight","day 008",67.4587404232761
"sunlight","day 009",68.1535333445823
"sunlight","day 010",68.6384009737548
"sunlight","day 011",68.7501131469875
"sunlight","day 012",68.4302236281839
"sunlight","day 013",67.6590691403924
"sunlight","day 014",66.4673343155301
"sunlight","day 015",64.9171507274956
"sunlight","day 016",63.1460898092436
"sunlight","day 017",61.3250659449029
"sunlight","day 018",59.6829254642441
"sunlight","day 019",58.3831883480338
"sunlight","day 020",57.270137235382
"sunlight","day 021",56.1465806064164
"sunlight","day 022",54.9686676469935
"sunlight","day 023",53.7758201913499
"sunlight","day 024",52.7458101369555
"sunlight","day 025",51.9357475549934
"sunlight","day 026",51.3368148964038
"sunlight","day 027",50.8420834293896
"sunlight","day 028",50.3418299851106
"sunlight","day 029",49.8132648292911
"sunlight","day 030",49.255042286381
"sunlight","day 031",48.664659481167
"sunlight","day 032",48.0259168875659
"sunlight","day 033",47.2689855756763
"sunlight","day 034",46.3361925687409
"sunlight","day 035",45.2721181063959
"sunlight","day 036",44.1507135657836
"sunlight","day 037",43.0611616576756
"sunlight","day 038",42.084670394068
"sunlight","day 039",41.2553176582253
"sunlight","day 040",40.623402069893
"sunlight","day 041",40.3512353234716
"sunlight","day 042",40.5633945502401
"sunlight","day 043",41.1215055543378
"sunlight","day 044",41.8336145885014
"sunlight","day 045",42.6224644813653
"sunlight","day 046",43.6872101594075
"sunlight","day 047",45.1262190366669
"sunlight","day 048",46.370454659964
"sunlight","day 049",46.8308738331171
"sunlight","day 050",46.5058102551569
"sunlight","day 051",45.5564727433756
"sunlight","day 052",44.2081936928984
"sunlight","day 053",42.6914655621279
"sunlight","day 054",41.1932974847403
"sunlight","day 055",39.88607744598
"sunlight","day 056",38.9271921620895
"sunlight","day 057",38.4328699976934
"sunlight","day 058",38.369707179946
"sunlight","day 059",38.6552068212155
"sunlight","day 060",39.160131712196
"sunlight","day 061",39.7502009675762
"sunlight","day 062",40.3176993196966
"sunlight","day 063",40.777511406769
"sunlight","day 064",41.1083558728372
"sunlight","day 065",41.3544942877145
"sunlight","day 066",41.7064729040215
"sunlight","day 067",42.1962103409419
"sunlight","day 068",42.7924395066651
"sunlight","day 069",43.4193625231509
"sunlight","day 070",43.9793758754736
"sunlight","day 071",44.332184287396
"sunlight","day 072",44.3744583598092
"sunlight","day 073",44.1934239634305
"sunlight","day 074",43.9211546872873
"sunlight","day 075",43.6785597238223
"sunlight","day 076",43.5635062399986
"sunlight","day 077",43.5928576974461
"sunlight","day 078",43.7929258250881
"sunlight","day 079",44.3088191263552
"sunlight","day 080",45.2489023252609
"sunlight","day 081",46.4557682536423
"sunlight","day 082",47.703707420478
"sunlight","day 083",48.7595729354878
"sunlight","day 084",49.4691661277937
"sunlight","day 085",50.001518603384
"sunlight","day 086",50.5843896115877
"sunlight","day 087",51.3233259455482
"sunlight","day 088",52.1662234618024
"sunlight","day 089",53.0234988091659
"sunlight","day 090",53.791222816299
"sunlight","day 091",54.4109901836677
"sunlight","day 092",55.020836919114
"sunlight","day 093",55.7872701636521
"sunlight","day 094",56.7942402836066
"sunlight","day 095",58.0481805741436
"sunlight","day 096",59.328012820484
"sunlight","day 097",60.3901050168294
"sunlight","day 098",61.1281215032489
"sunlight","day 099",61.4912331504175
"sunlight","day 100",61.5133406055645
"sunlight","day 101",61.2471992158095
"sunlight","day 102",60.7362533512763
"sunlight","day 103",60.0298820027731
"sunlight","day 104",59.2105136208391
"sunlight","day 105",58.3713231917022
"sunlight","day 106",57.6154223846124
"sunlight","day 107",57.0031135886522
"sunlight","day 108",56.4387394707129
"sunlight","day 109",55.8822055727639
"sunlight","day 110",55.3207377502627
"sunlight","day 111",54.7499867866181
"sunlight","day 112",54.1711326347289
"sunlight","day 113",53.5990469975022
"sunlight","day 114",53.0389734336122
"sunlight","day 115",52.4439511747913
"sunlight","day 116",51.7684506883401
"sunlight","day 117",51.0248717107738
"sunlight","day 118",50.2349641148508
"sunlight","day 119",49.3999490490908
"sunlight","day 120",48.5227744260798
"sunlight","day 121",47.6338239389095
"sunlight","day 122",46.7632060877187
"sunlight","day 123",45.9124928203286
"sunlight","day 124",45.0842408826811
"sunlight","day 125",44.3134827655198
"sunlight","day 126",43.6596643732986
"sunlight","day 127",43.2474095205119
"sunlight","day 128",43.1558074139023
"sunlight","day 129",43.25282435067
"sunlight","day 130",43.489371268772
"sunlight","day 131",43.8547079842266
"sunlight","day 132",44.3467160992806
"sunlight","day 133",44.940366142498
"sunlight","day 134",45.5103625614845
"sunlight","day 135",45.9417041269548
"sunlight","day 136",46.2608329830199
"sunlight","day 137",46.5115925830343
"sunlight","day 138",46.6659882439311
"sunlight","day 139",46.6830147587481
"sunlight","day 140",46.5414629613608
"sunlight","day 141",46.227123510771
"sunlight","day 142",45.7339903256454
"sunlight","day 143",45.0660562845203
"sunlight","day 144",44.259106845744
"sunlight","day 145",43.3708434122762
"sunlight","day 146",42.5148385857085
"sunlight","day 147",41.8525206983506
"sunlight","day 148",41.6808698067516
"sunlight","day 149",42.2420504152231
"sunlight","day 150",43.4234130948869
"humidity","day 001",50.1145805898512
"humidity","day 002",50.8274133545232
"humidity","day 003",51.1679110813538
"humidity","day 004",50.9393729315651
"humidity","day 005",50.0174238908647
"humidity","day 006",48.3992078271161
"humidity","day 007",46.1201652629411
"humidity","day 008",43.2474044578412
"humidity","day 009",39.9012350285055
"humidity","day 010",36.3831042834943
"humidity","day 011",32.9955822233191
"humidity","day 012",29.8645919244242
"humidity","day 013",27.0702951733045
"humidity","day 014",24.6864555207239
"humidity","day 015",22.7604968480661
"humidity","day 016",21.240882594924
"humidity","day 017",20.0636047023792
"humidity","day 018",19.2137295592599
"humidity","day 019",18.6952119174728
"humidity","day 020",18.538485533491
"humidity","day 021",18.7663864211392
"humidity","day 022",19.3448806190809
"humidity","day 023",20.2209053620056
"humidity","day 024",21.3184593061589
"humidity","day 025",22.5419564467656
"humidity","day 026",23.7922603722277
"humidity","day 027",24.9708063944908
"humidity","day 028",25.947931377556
"humidity","day 029",26.4690066701016
"humidity","day 030",26.3365500743652
"humidity","day 031",25.7066307221439
"humidity","day 032",24.8305157147023
"humidity","day 033",23.9867127016151
"humidity","day 034",23.4102373017275
"humidity","day 035",23.1348964626544
"humidity","day 036",23.1390850626323
"humidity","day 037",23.3807583736116
"humidity","day 038",23.8112603986393
"humidity","day 039",24.3759296714346
"humidity","day 040",25.0180626968607
"humidity","day 041",25.6787933336856
"humidity","day 042",26.2405892830583
"humidity","day 043",26.353416261746
"humidity","day 044",25.7882750113918
"humidity","day 045",24.956666078827
"humidity","day 046",24.1446814170702
"humidity","day 047",23.5250511312774
"humidity","day 048",23.1216270499405
"humidity","day 049",22.8990486518914
"humidity","day 050",22.7339842939869
"humidity","day 051",22.5237658360775
"humidity","day 052",22.3363502719653
"humidity","day 053",22.2744143531577
"humidity","day 054",22.4088887280315
"humidity","day 055",22.7810300400683
"humidity","day 056",23.3451450163
"humidity","day 057",24.0208148239317
"humidity","day 058",24.6756683073128
"humidity","day 059",25.1927668306736
"humidity","day 060",25.568854160626
"humidity","day 061",25.8426787330712
"humidity","day 062",26.1073252586879
"humidity","day 063",26.4307211260444
"humidity","day 064",26.7258281604902
"humidity","day 065",26.8397474947173
"humidity","day 066",26.574542056541
"humidity","day 067",25.9589114820584
"humidity","day 068",25.1059999348364
"humidity","day 069",24.2129736781862
"humidity","day 070",23.4670995462826
"humidity","day 071",22.9320245570107
"humidity","day 072",22.609545797293
"humidity","day 073",22.3776804464912
"humidity","day 074",22.116005890774
"humidity","day 075",21.8341202511005
"humidity","day 076",21.5750772761089
"humidity","day 077",21.3857324903642
"humidity","day 078",21.3117883077546
"humidity","day 079",21.3905329235347
"humidity","day 080",21.651059098226
"humidity","day 081",22.098092072052
"humidity","day 082",22.6868459804659
"humidity","day 083",23.1988580601363
"humidity","day 084",23.4390855047493
"humidity","day 085",23.4798422348441
"humidity","day 086",23.4761846637501
"humidity","day 087",23.599880014282
"humidity","day 088",23.8509890810477
"humidity","day 089",24.1885141837207
"humidity","day 090",24.5948334815192
"humidity","day 091",25.057892563611
"humidity","day 092",25.5645308994165
"humidity","day 093",26.0881620001553
"humidity","day 094",26.5496016639914
"humidity","day 095",26.8793665239867
"humidity","day 096",27.0993742658508
"humidity","day 097",27.2430896505471
"humidity","day 098",27.2987646874045
"humidity","day 099",27.2370887189397
"humidity","day 100",27.003713172054
"humidity","day 101",26.5494209106809
"humidity","day 102",25.8705584624982
"humidity","day 103",24.9978935843538
"humidity","day 104",24.0543152860317
"humidity","day 105",23.1742271983201
"humidity","day 106",22.4459701830885
"humidity","day 107",21.9159476156511
"humidity","day 108",21.5046268756855
"humidity","day 109",21.0850582752007
"humidity","day 110",20.554553322769
"humidity","day 111",19.9244635865578
"humidity","day 112",19.252682092947
"humidity","day 113",18.6692276415721
"humidity","day 114",18.2903377794432
"humidity","day 115",18.1049992698151
"humidity","day 116",18.0716898134302
"humidity","day 117",18.1541016447381
"humidity","day 118",18.3171050041353
"humidity","day 119",18.525067622099
"humidity","day 120",18.7338208967321
"humidity","day 121",18.8655534065613
"humidity","day 122",18.860519006359
"humidity","day 123",18.7648754754566
"humidity","day 124",18.6484226819596
"humidity","day 125",18.5696249245107
"humidity","day 126",18.5822920890958
"humidity","day 127",18.7329519805374
"humidity","day 128",19.0705790206335
"humidity","day 129",19.6339624272358
"humidity","day 130",20.3571435434096
"humidity","day 131",21.1802886951067
"humidity","day 132",22.177079151879
"humidity","day 133",23.3919397518204
"humidity","day 134",24.6187546635915
"humidity","day 135",25.6229916489164
"humidity","day 136",26.3069935112069
"humidity","day 137",26.6409195802784
"humidity","day 138",26.7293202498753
"humidity","day 139",26.7057712999484
"humidity","day 140",26.6855589913446
"humidity","day 141",26.7534844715086
"humidity","day 142",26.8906979533783
"humidity","day 143",27.031569496393
"humidity","day 144",27.0269994805015
"humidity","day 145",26.7569083401802
"humidity","day 146",26.3007664075046
"humidity","day 147",25.7814030578181
"humidity","day 148",25.2955339419345
"humidity","day 149",24.8998276625374
"humidity","day 150",24.5168783543158
