"dimension","time","value"
"sunlight","day 001",45.2022724944126
"sunlight","day 002",45.3329205585885
"sunlight","day 003",45.4774820499072
"sunlight","day 004",45.5971365020677
"sunlight","day 005",45.6488179607028
"sunlight","day 006",45.6150374303634
"sunlight","day 007",45.491876709053
"sunlight","day 008",45.304123809667
"sunlight","day 009",45.0963969351656
"sunlight","day 010",44.9639288338746
"sunlight","day 011",44.9765561608616
"sunlight","day 012",45.0519166527939
"sunlight","day 013",45.0876999584973
"sunlight","day 014",45.054002293833
"sunlight","day 015",44.9582482703158
"sunlight","day 016",44.88476951504
"sunlight","day 017",44.920497901428
"sunlight","day 018",45.0858592726368
"sunlight","day 019",45.4033659820801
"sunlight","day 020",45.9703824544663
"sunlight","day 021",46.9098209459722
"sunlight","day 022",48.371932967353
"sunlight","day 023",50.4905087564704
"sunlight","day 024",53.256037164559
"sunlight","day 025",56.4352427944123
"sunlight","day 026",59.7545583235243
"sunlight","day 027",62.9797168900931
"sunlight","day 028",65.8903701136722
"sunlight","day 029",68.2825430785311
"sunlight","day 030",70.0034403221386
"sunlight","day 031",71.0886107300445
"sunlight","day 032",71.4159880398911
"sunlight","day 033",70.0447010496079
"sunlight","day 034",66.5966563781278
"sunlight","day 035",63.7636768681106
"sunlight","day 036",63.9374984246119
"sunlight","day 037",65.2395929785457
"sunlight","day 038",65.22995610746
"sunlight","day 039",63.4929419495811
"sunlight","day 040",60.3129745617028
"sunlight","day 041",56.7503991142112
"sunlight","day 042",53.7812836567599
"sunlight","day 043",51.268666642482
"sunlight","day 044",48.9319770246354
"sunlight","day 045",46.9624780615652
"sunlight","day 046",45.4190517431317
"sunlight","day 047",44.29280934483
"sunlight","day 048",43.5708084524353
"sunlight","day 049",43.2305883809159
"sunlight","day 050",43.2156690517329
"sunlight","day 051",43.4709013975076
"sunlight","day 052",43.9804797890087
"sunlight","day 053",44.7070042542451
"sunlight","day 054",45.4873540120393
"sunlight","day 055",46.1460921181218
"sunlight","day 056",46.5842377850417
"sunlight","day 057",46.7403138055835
"sunlight","day 058",46.6264011366536
"sunlight","day 059",46.2789621444744
"sunlight","day 060",45.758426668411
"sunlight","day 061",45.1392345756035
"sunlight","day 062",44.5278983711503
"sunlight","day 063",44.0245244177259
"sunlight","day 064",43.6715218703515
"sunlight","day 065",43.4937177210057
"sunlight","day 066",43.5063558133302
"sunlight","day 067",43.7337153145565
"sunlight","day 068",44.1705885563675
"sunlight","day 069",44.6816273435319
"sunlight","day 070",45.1261521846154
"sunlight","day 071",45.4722989302852
"sunlight","day 072",45.7272198261003
"sunlight","day 073",45.9453173550831
"sunlight","day 074",46.1783451489802
"sunlight","day 075",46.420211196971
"sunlight","day 076",46.6426902746512
"sunlight","day 077",46.7868699458493
"sunlight","day 078",46.8076061056804
"sunlight","day 079",46.7455151861734
"sunlight","day 080",46.6585915019473
"sunlight","day 081",46.5885803610674
"sunlight","day 082",46.5470112768266
"sunlight","day 083",46.4407995899821
"sunlight","day 084",46.1787873655186
"sunlight","day 085",45.7821377378665
"sunlight","day 086",45.3204894040922
"sunlight","day 087",44.9235683129797
"sunlight","day 088",44.6555199910707
"sunlight","day 089",44.5542346386447
"sunlight","day 090",44.6385568684478
"sunlight","day 091",44.8968889390366
"sunlight","day 092",45.2149092797429
"sunlight","day 093",45.4818898871868
"sunlight","day 094",45.7042008563672
"sunlight","day 095",45.9011422968193
"sunlight","day 096",46.026636277845
"sunlight","day 097",46.0375697266497
"sunlight","day 098",45.968067042285
"sunlight","day 099",45.9021361484558
"sunlight","day 100",46.0460815956324
"sunlight","day 101",46.5989874955104
"sunlight","day 102",47.608759577923
"sunlight","day 103",49.0872872809226
