"dimension","time","value"
"sunlight","day 001",67.5584311920239
"sunlight","day 002",70.162521698517
"sunlight","day 003",72.249998721071
"sunlight","day 004",72.6114942385224
"sunlight","day 005",70.3848826474957
"sunlight","day 006",66.9705317955785
"sunlight","day 007",64.0469387175381
"sunlight","day 008",62.1426237459001
"sunlight","day 009",61.3924899922686
"sunlight","day 010",61.5069483868045
"sunlight","day 011",62.1230197498201
"sunlight","day 012",63.0086566436767
"sunlight","day 013",63.9483017596597
"sunlight","day 014",64.661426562701
"sunlight","day 015",64.9136683178779
"sunlight","day 016",64.720298717201
"sunlight","day 017",64.1665998697927
"sunlight","day 018",63.3682611262882
"sunlight","day 019",62.4475341687672
"sunlight","day 020",61.5225127635756
"sunlight","day 021",60.6938462511041
"sunlight","day 022",59.9965641836564
"sunlight","day 023",59.4416997253619
"sunlight","day 024",59.012215589034
"sunlight","day 025",58.6926642995113
"sunlight","day 026",58.468535109201
"sunlight","day 027",58.319882927606
"sunlight","day 028",58.2220815377487
"sunlight","day 029",58.1372145596325
"sunlight","day 030",58.0334023979496
"sunlight","day 031",57.9162027591658
"sunlight","day 032",57.7960118593218
"sunlight","day 033",57.6651426509857
"sunlight","day 034",57.5180031578155
"sunlight","day 035",57.3754649513017
"sunlight","day 036",57.2587229563647
"sunlight","day 037",57.1638019638125
"sunlight","day 038",57.0749621910586
"sunlight","day 039",56.9545756960538
"sunlight","day 040",56.7739409285729
"sunlight","day 041",56.5619500651511
"sunlight","day 042",56.3558297130266
"sunlight","day 043",56.1685504754897
"sunlight","day 044",56.0031369190394
"sunlight","day 045",55.8498852202785
"sunlight","day 046",55.7064085332951
"sunlight","day 047",55.5709781034288
"sunlight","day 048",55.4332985277344
"sunlight","day 049",55.2834230081557
"sunlight","day 050",55.121365814476
"sunlight","day 051",54.95344300926
"sunlight","day 052",54.8012167583579
"sunlight","day 053",54.6890018706815
"sunlight","day 054",54.6368776241042
"sunlight","day 055",54.6602390529886
"sunlight","day 056",54.7599797486926
"sunlight","day 057",54.9371387025535
"sunlight","day 058",55.2078379488316
"sunlight","day 059",55.5810718887213
"sunlight","day 060",56.0222413482303
"sunlight","day 061",56.4883695919129
"sunlight","day 062",56.9465632136975
"sunlight","day 063",57.3678524446256
"sunlight","day 064",57.7288787348203
"sunlight","day 065",58.0055153861846
"sunlight","day 066",58.1718076607597
"sunlight","day 067",58.2270529559991
"sunlight","day 068",58.1815976981341
"sunlight","day 069",58.062561340104
"sunlight","day 070",57.89634586149
"sunlight","day 071",57.6897103217307
"sunlight","day 072",57.4409719666357
"sunlight","day 073",57.1343237076402
"sunlight","day 074",56.7495427709324
"sunlight","day 075",56.2628679760857
"sunlight","day 076",55.6581179931366
"sunlight","day 077",54.9529693005908
"sunlight","day 078",54.1716460006331
"sunlight","day 079",53.3307048816976
"sunlight","day 080",52.4418069814375
"sunlight","day 081",51.5046976481332
"sunlight","day 082",50.5219974101452
"sunlight","day 083",49.5197432055269
"sunlight","day 084",48.5295415877276
"sunlight","day 085",47.5818611620876
"sunlight","day 086",46.7088600354314
"sunlight","day 087",45.9465885956232
"sunlight","day 088",45.3170565270075
"sunlight","day 089",44.8381806503173
"sunlight","day 090",44.5275210238699
"sunlight","day 091",44.3948072567372
"sunlight","day 092",44.4188039234262
"sunlight","day 093",44.5634248148313
"sunlight","day 094",44.7641456219603
"sunlight","day 095",44.9460791011334
"sunlight","day 096",45.0213243698054
"sunlight","day 097",44.9116709355199
"sunlight","day 098",44.5906835050407
"sunlight","day 099",44.0603869984509
"sunlight","day 100",43.3848719898899
"sunlight","day 101",42.6403307412551
"sunlight","day 102",41.8892966114181
"sunlight","day 103",41.1869242492518
"sunlight","day 104",40.5725123666593
"sunlight","day 105",40.0732538400619
"sunlight","day 106",39.6837741409228
"sunlight","day 107",39.3902739796997
"sunlight","day 108",39.1775199513767
"sunlight","day 109",39.0287858355356
"sunlight","day 110",38.9281484390742
