"dimension","time","value"
"sunlight","day 001",65.5502086017777
"sunlight","day 002",64.8314740184816
"sunlight","day 003",64.1181329743578
"sunlight","day 004",63.4757774672751
"sunlight","day 005",62.9703690081747
"sunlight","day 006",62.6368193424812
"sunlight","day 007",62.4899841578791
"sunlight","day 008",62.4955446766091
"sunlight","day 009",62.5846458447944
"sunlight","day 010",62.5994619695301
"sunlight","day 011",62.4161034365782
"sunlight","day 012",62.1353955853938
"sunlight","day 013",61.8917043159908
"sunlight","day 014",61.7288428169223
"sunlight","day 015",61.6634555067515
"sunlight","day 016",61.6940644355405
"sunlight","day 017",61.7742082126988
"sunlight","day 018",61.6956140535259
"sunlight","day 019",61.2631482136892
"sunlight","day 020",60.4960445044374
"sunlight","day 021",59.4691741402344
"sunlight","day 022",58.2655903928233
"sunlight","day 023",56.9966650504385
"sunlight","day 024",55.8521544294199
"sunlight","day 025",54.9412579259536
"sunlight","day 026",54.3149976376612
"sunlight","day 027",53.8985163902321
"sunlight","day 028",53.5876130220654
"sunlight","day 029",53.2865896943299
"sunlight","day 030",52.9088715565099
"sunlight","day 031",52.3958723885826
"sunlight","day 032",51.7251754684248
"sunlight","day 033",50.9910534350179
"sunlight","day 034",50.2979016844758
"sunlight","day 035",49.6739172803366
"sunlight","day 036",49.1469085235105
"sunlight","day 037",48.8193269969704
"sunlight","day 038",48.8008103308094
"sunlight","day 039",49.1550970615385
"sunlight","day 040",49.9018369492089
"sunlight","day 041",50.9302237416152
"sunlight","day 042",52.1050721764005
"sunlight","day 043",53.324136962857
"sunlight","day 044",54.5020481003573
"sunlight","day 045",55.5882951127327
"sunlight","day 046",56.5422011641357
"sunlight","day 047",57.3092806876469
"sunlight","day 048",57.7786198489055
"sunlight","day 049",57.8548325554125
"sunlight","day 050",57.5610719495594
"sunlight","day 051",56.9535559729233
"sunlight","day 052",56.1022225289339
"sunlight","day 053",55.1014770710267
"sunlight","day 054",54.1298752908049
"sunlight","day 055",53.3436230429741
"sunlight","day 056",52.7253765964806
"sunlight","day 057",52.2222399701816
"sunlight","day 058",51.8126577683373
"sunlight","day 059",51.4661479047367
"sunlight","day 060",51.0851809458811
