"dimension","time","value"
"sunlight","day 001",29.662802743594
"sunlight","day 002",29.8535497235011
"sunlight","day 003",30.0527110206052
"sunlight","day 004",30.2569748726165
"sunlight","day 005",30.4619328014321
"sunlight","day 006",30.6726131143116
"sunlight","day 007",30.8945407035129
"sunlight","day 008",31.125790015924
"sunlight","day 009",31.3644252930525
"sunlight","day 010",31.6159204002542
"sunlight","day 011",31.8848769440209
"sunlight","day 012",32.1649978715411
"sunlight","day 013",32.4489982261177
"sunlight","day 014",32.7365400948147
"sunlight","day 015",33.0270850674048
"sunlight","day 016",33.3123457007345
"sunlight","day 017",33.583747093575
"sunlight","day 018",33.8393135453227
"sunlight","day 019",34.0781054977776
"sunlight","day 020",34.2967287617299
"sunlight","day 021",34.4931694979526
"sunlight","day 022",34.6733898981602
"sunlight","day 023",34.8479663543357
"sunlight","day 024",35.033239867552
"sunlight","day 025",35.2293069872473
"sunlight","day 026",35.4332002399104
"sunlight","day 027",35.648560704402
"sunlight","day 028",35.8796088936542
"sunlight","day 029",36.1262745045131
"sunlight","day 030",36.386362293908
"sunlight","day 031",36.6534680751878
"sunlight","day 032",36.9308065206856
"sunlight","day 033",37.2642766822521
"sunlight","day 034",37.6952763604977
"sunlight","day 035",38.2045139715536
"sunlight","day 036",38.7484247456037
"sunlight","day 037",39.2470405535234
"sunlight","day 038",39.6335626300135
"sunlight","day 039",39.9302730243883
"sunlight","day 040",40.1776227528649
"sunlight","day 041",40.3996578846598
"sunlight","day 042",40.6131664275236
"sunlight","day 043",40.8223090903439
"sunlight","day 044",41.0297157194383
"sunlight","day 045",41.2412808325337
"sunlight","day 046",41.4515682008048
"sunlight","day 047",41.6541994064506
"sunlight","day 048",41.8519839844644
"sunlight","day 049",42.0482371669761
"sunlight","day 050",42.2391090218682
"sunlight","day 051",42.4209278701217
"sunlight","day 052",42.5979002093594
"sunlight","day 053",42.7746100928066
"sunlight","day 054",42.9492736194563
"sunlight","day 055",43.1205437103987
"sunlight","day 056",43.295188529343
"sunlight","day 057",43.480596643834
"sunlight","day 058",43.6785229941406
"sunlight","day 059",43.88951704257
"sunlight","day 060",44.1149399668599
"sunlight","day 061",44.3567564165231
"sunlight","day 062",44.618533212743
"sunlight","day 063",44.9054714656049
"sunlight","day 064",45.2277072691323
"sunlight","day 065",45.5952733165353
"sunlight","day 066",46.0135322684926
"sunlight","day 067",46.4892238575242
"sunlight","day 068",47.0281369039137
"sunlight","day 069",47.6295423603594
"sunlight","day 070",48.2895195151794
"sunlight","day 071",48.9978988667549
"sunlight","day 072",49.7432438354394
"sunlight","day 073",50.5152983194117
"sunlight","day 074",51.3027182373159
"sunlight","day 075",52.0886271118321
"sunlight","day 076",52.8566374863795
"sunlight","day 077",53.5978503832977
"sunlight","day 078",54.3032273516636
"sunlight","day 079",54.9556835685819
"sunlight","day 080",55.5455324553426
"sunlight","day 081",56.1007267819473
"sunlight","day 082",56.6501909101303
"sunlight","day 083",57.1890962198439
"sunlight","day 084",57.7054280986499
"sunlight","day 085",58.1921809463284
"sunlight","day 086",58.6423317054558
"sunlight","day 087",59.0505821623035
"sunlight","day 088",59.4375791318004
"sunlight","day 089",59.8302924056825
"sunlight","day 090",60.2537689439985
"sunlight","day 091",60.7363771659252
"sunlight","day 092",61.3216941588391
"sunlight","day 093",62.0385746675128
"sunlight","day 094",62.8417753981038
"sunlight","day 095",63.6675029598392
"sunlight","day 096",64.45186161284
"sunlight","day 097",65.1284450830324
"sunlight","day 098",65.6209073086692
"sunlight","day 099",65.8484172282065
"sunlight","day 100",65.7221435685845
"sunlight","day 101",65.1672489185118
"sunlight","day 102",64.1728715252835
"sunlight","day 103",62.7994247758706
"sunlight","day 104",61.3284469573595
"sunlight","day 105",60.032047048814
"sunlight","day 106",58.9234918970908
"sunlight","day 107",57.9669639075727
"sunlight","day 108",57.1831272050673
"sunlight","day 109",56.5841814184177
"sunlight","day 110",56.1785656189178
"sunlight","day 111",55.9837672352067
"sunlight","day 112",56.0158554482283
"sunlight","day 113",56.2761780907991
"sunlight","day 114",56.7574367911001
"sunlight","day 115",57.4324697068952
"sunlight","day 116",58.2633936451439
"sunlight","day 117",59.1893034800052
"sunlight","day 118",60.1443262512929
"sunlight","day 119",61.0657395942407
"sunlight","day 120",61.8955771886634
"sunlight","day 121",62.5917462972791
"sunlight","day 122",63.1201774624546
"sunlight","day 123",63.4630207622479
"sunlight","day 124",63.6136909707854
"sunlight","day 125",63.5944421107777
"sunlight","day 126",63.4360464327341
"sunlight","day 127",63.1745098497766
"sunlight","day 128",62.8469196111921
"sunlight","day 129",62.4915197816124
"sunlight","day 130",62.1545878793729
"sunlight","day 131",61.8797419849848
"sunlight","day 132",61.6917018944712
"sunlight","day 133",61.605302908439
"sunlight","day 134",61.6147406303204
"sunlight","day 135",61.7064366223093
"sunlight","day 136",61.8563559788206
"sunlight","day 137",62.040589026629
"sunlight","day 138",62.2461834897271
"sunlight","day 139",62.4651177134311
"sunlight","day 140",62.6981351311354
"sunlight","day 141",62.947096498515
"sunlight","day 142",63.2095667722892
"sunlight","day 143",63.4804370673379
"sunlight","day 144",63.7481989301384
"sunlight","day 145",64.0021120297732
"sunlight","day 146",64.2409080941469
"sunlight","day 147",64.4643451732983
"sunlight","day 148",64.6668145469797
"sunlight","day 149",64.8450147125706
"sunlight","day 150",65.0102398082465
"humidity","day 001",27.1344687456552
"humidity","day 002",27.1216492122291
"humidity","day 003",27.2127721090846
"humidity","day 004",27.4060980181122
"humidity","day 005",27.6405521727422
"humidity","day 006",27.7420228270077
"humidity","day 007",27.5571363843179
"humidity","day 008",27.1285088249842
"humidity","day 009",26.5683470287129
"humidity","day 010",26.0712318958885
"humidity","day 011",25.8130256015847
"humidity","day 012",25.8123413989544
"humidity","day 013",26.0341219251847
"humidity","day 014",26.3858762755215
"humidity","day 015",26.7764049388351
"humidity","day 016",27.177107520437
"humidity","day 017",27.5602822537167
"humidity","day 018",27.8392227679362
"humidity","day 019",27.9299846728505
"humidity","day 020",27.8186761043152
"humidity","day 021",27.5203555712798
"humidity","day 022",27.0958305489696
"humidity","day 023",26.6285193392343
"humidity","day 024",26.2085091175986
"humidity","day 025",25.7849587784552
"humidity","day 026",25.3009932098459
"humidity","day 027",24.8277031405988
"humidity","day 028",24.4531253571078
"humidity","day 029",24.2051150352434
"humidity","day 030",24.1010779199636
"humidity","day 031",24.1768036430994
"humidity","day 032",24.4853802445545
"humidity","day 033",25.130705509651
"humidity","day 034",26.2044335788372
"humidity","day 035",27.6984342676482
"humidity","day 036",29.5771547453882
"humidity","day 037",31.7951359213509
"humidity","day 038",34.2914820942651
"humidity","day 039",36.9534573806119
"humidity","day 040",39.6516903020866
"humidity","day 041",42.2421071834899
"humidity","day 042",44.6193424034714
