"dimension","time","value"
"sunlight","day 001",72.3940671549353
"sunlight","day 002",72.4429230120418
"sunlight","day 003",72.4622983812868
"sunlight","day 004",72.4281902863666
"sunlight","day 005",72.3206349899811
"sunlight","day 006",72.1293414214241
"sunlight","day 007",71.8474693167964
"sunlight","day 008",71.4723089728297
"sunlight","day 009",71.0045148102974
"sunlight","day 010",70.4540671855076
"sunlight","day 011",69.8339787682159
"sunlight","day 012",69.1600655464339
"sunlight","day 013",68.4499214748382
"sunlight","day 014",67.7254490565082
"sunlight","day 015",67.0035997307557
"sunlight","day 016",66.2772121334185
"sunlight","day 017",65.5369709838458
"sunlight","day 018",64.7890581389053
"sunlight","day 019",64.0437078123948
"sunlight","day 020",63.3118665083135
"sunlight","day 021",62.6027174558028
"sunlight","day 022",61.9176784943736
"sunlight","day 023",61.2509831666424
"sunlight","day 024",60.5826807510311
"sunlight","day 025",59.9147277114845
"sunlight","day 026",59.2576123089767
"sunlight","day 027",58.6287998575914
"sunlight","day 028",58.0480556465737
"sunlight","day 029",57.5373678127061
"sunlight","day 030",57.1128193063471
"sunlight","day 031",56.7646494846214
"sunlight","day 032",56.4747702720716
"sunlight","day 033",56.2176274561446
"sunlight","day 034",55.9777647516837
"sunlight","day 035",55.7875837202118
"sunlight","day 036",55.688165460863
"sunlight","day 037",55.7074513765356
"sunlight","day 038",55.8668211669214
"sunlight","day 039",56.174547415122
"sunlight","day 040",56.6366238258979
"sunlight","day 041",57.2630357072342
"sunlight","day 042",58.0594359577448
"sunlight","day 043",59.0101562353321
"sunlight","day 044",60.0805392557006
"sunlight","day 045",61.1898599478406
"sunlight","day 046",62.2780015741882
"sunlight","day 047",63.2928376988692
"sunlight","day 048",64.1799361273035
"sunlight","day 049",64.882619674897
"sunlight","day 050",65.3375369557049
"sunlight","day 051",65.4878535111052
"sunlight","day 052",65.3094767931155
"sunlight","day 053",64.795962496273
"sunlight","day 054",63.9787173745544
"sunlight","day 055",62.8949117272936
"sunlight","day 056",61.5669189758158
"sunlight","day 057",60.0281493912018
"sunlight","day 058",58.3709575215668
"sunlight","day 059",56.7020657845566
"sunlight","day 060",55.1267237989065
"sunlight","day 061",53.7390109017088
"sunlight","day 062",52.589798102395
"sunlight","day 063",51.7160948722304
"sunlight","day 064",51.1426728574774
"sunlight","day 065",50.9182109376403
"sunlight","day 066",51.0495358467
"sunlight","day 067",50.9715653941605
"sunlight","day 068",50.224664723542
"sunlight","day 069",49.3698639284006
"sunlight","day 070",49.0348745429117
"sunlight","day 071",49.0934689136933
"sunlight","day 072",49.270850019775
"sunlight","day 073",49.4518825573901
"sunlight","day 074",49.5735903725555
"sunlight","day 075",49.6219721932206
"sunlight","day 076",49.5965727862936
"sunlight","day 077",49.5021461925853
"sunlight","day 078",49.3442828439659
"sunlight","day 079",49.1267094626401
"sunlight","day 080",48.8540901971783
"sunlight","day 081",48.5367026112788
"sunlight","day 082",48.1838020206519
"sunlight","day 083",47.7949413339274
"sunlight","day 084",47.366646685257
"sunlight","day 085",46.8930395179619
"sunlight","day 086",46.3724076786426
"sunlight","day 087",45.8179252546056
"sunlight","day 088",45.2307976561721
"sunlight","day 089",44.609126345214
"sunlight","day 090",43.9553332427781
"sunlight","day 091",43.2752071254494
"sunlight","day 092",42.5836837327892
"sunlight","day 093",41.8943305609804
"sunlight","day 094",41.2060951697141
"sunlight","day 095",40.51807884271
"sunlight","day 096",39.8446176962899
"sunlight","day 097",39.2013680240177
"sunlight","day 098",38.5940319958197
"sunlight","day 099",38.0237406416817
"sunlight","day 100",37.4832945554637
"sunlight","day 101",36.9678919194451
"sunlight","day 102",36.4906517057076
"sunlight","day 103",36.067021065998
"sunlight","day 104",35.7038390809193
"sunlight","day 105",35.4052568860827
"sunlight","day 106",35.1732819082757
"sunlight","day 107",35.0143043914669
"sunlight","day 108",34.9494362895725
"sunlight","day 109",34.984895230501
"sunlight","day 110",35.1227084120608
"sunlight","day 111",35.3679543820552
"sunlight","day 112",35.7278021044324
"sunlight","day 113",36.2147308577238
"sunlight","day 114",36.8409804696156
"sunlight","day 115",37.6125226498275
"sunlight","day 116",38.5245538749967
"sunlight","day 117",39.535437807396
"sunlight","day 118",40.5662261423442
"sunlight","day 119",41.425555521708
"sunlight","day 120",41.9428517262278
"sunlight","day 121",42.1431121455898
"sunlight","day 122",42.0930517195378
"sunlight","day 123",41.8306839790992
"sunlight","day 124",41.3905098178169
"sunlight","day 125",40.8216809880128
"sunlight","day 126",40.1752320394633
"sunlight","day 127",39.4950778529818
"sunlight","day 128",38.8238321216811
"sunlight","day 129",38.1944053633761
"sunlight","day 130",37.5937144515868
"sunlight","day 131",37.0353598522859
"sunlight","day 132",36.6861487750928
"sunlight","day 133",36.6927729014409
"sunlight","day 134",36.968255056374
"sunlight","day 135",37.3476828004055
"sunlight","day 136",37.5880714923171
"sunlight","day 137",37.4947624039761
"sunlight","day 138",37.1444726613207
"sunlight","day 139",36.6646941325277
"sunlight","day 140",36.1146418006539
"sunlight","day 141",35.5406939271817
"sunlight","day 142",35.0061587724152
"sunlight","day 143",34.5693287339642
"sunlight","day 144",34.2515027598396
"sunlight","day 145",34.0583316538795
"sunlight","day 146",33.9698670928282
"sunlight","day 147",33.9577414985
"sunlight","day 148",33.9855094000829
"sunlight","day 149",34.0206404799332
"sunlight","day 150",34.0543429257062
"humidity","day 001",9.25295738434197
"humidity","day 002",9.52446988783478
"humidity","day 003",9.79890829378251
"humidity","day 004",10.0663471718338
"humidity","day 005",10.3158910948863
"humidity","day 006",10.5476900175417
"humidity","day 007",10.7666153665737
"humidity","day 008",10.9853790757414
"humidity","day 009",11.2141284739167
"humidity","day 010",11.4449119634365
"humidity","day 011",11.6675724527527
"humidity","day 012",11.8812298013099
"humidity","day 013",12.0893551560005
"humidity","day 014",12.3035478625154
"humidity","day 015",12.5329568404119
"humidity","day 016",12.7688011059152
"humidity","day 017",13.0000707548545
"humidity","day 018",13.2247701048053
"humidity","day 019",13.4431815788071
"humidity","day 020",13.6556858000075
"humidity","day 021",13.8605418948408
"humidity","day 022",14.0474248027795
"humidity","day 023",14.2083034834475
"humidity","day 024",14.3526959335404
"humidity","day 025",14.4937152946572
"humidity","day 026",14.6401021471862
"humidity","day 027",14.7839517486582
"humidity","day 028",14.9152616905932
"humidity","day 029",15.0322842233221
"humidity","day 030",15.1353361907073
"humidity","day 031",15.2247381519238
"humidity","day 032",15.2985515699313
"humidity","day 033",15.3457978075135
"humidity","day 034",15.3577221439727
"humidity","day 035",15.3435056248596
"humidity","day 036",15.3118616437567
"humidity","day 037",15.2516972201242
"humidity","day 038",15.1489138027307
"humidity","day 039",14.9971969317004
"humidity","day 040",14.7965155627773
"humidity","day 041",14.5641882228296
"humidity","day 042",14.3203324985846
"humidity","day 043",14.0789126450828
"humidity","day 044",13.8474555667549
"humidity","day 045",13.6186234178223
"humidity","day 046",13.39910461699
"humidity","day 047",13.1998793017555
"humidity","day 048",13.0301692026117
"humidity","day 049",12.8967606533081
"humidity","day 050",12.7984568076232
"humidity","day 051",12.736747396883
"humidity","day 052",12.7318516425741
"humidity","day 053",12.8066840812595
"humidity","day 054",12.9762110196475
"humidity","day 055",13.251204196887
"humidity","day 056",13.6336053117445
"humidity","day 057",14.1254437922348
"humidity","day 058",14.7379300237497
"humidity","day 059",15.4839787074285
"humidity","day 060",16.3741408500239
"humidity","day 061",17.4211550949412
"humidity","day 062",18.6488743265824
"humidity","day 063",20.0820892751993
"humidity","day 064",21.738227813446
"humidity","day 065",23.5740319363558
"humidity","day 066",25.3353059216509
"humidity","day 067",26.8067806261206
"humidity","day 068",27.7296633238392
"humidity","day 069",27.5732952157314
"humidity","day 070",26.0564459777814
"humidity","day 071",24.1674652593601
"humidity","day 072",23.0077356139746
"humidity","day 073",22.8611912382874
"humidity","day 074",23.7377847032809
"humidity","day 075",25.3689904340616
"humidity","day 076",27.4367143137441
"humidity","day 077",29.7030662033516
"humidity","day 078",31.9556870835458
"humidity","day 079",34.0041384356338
"humidity","day 080",35.6343463907917
"humidity","day 081",36.5157751790235
"humidity","day 082",36.4226718081146
"humidity","day 083",35.6648762981472
"humidity","day 084",34.6361292053796
"humidity","day 085",33.5301802184789
"humidity","day 086",32.455356349697
"humidity","day 087",31.3953949127578
"humidity","day 088",30.3670488200271
"humidity","day 089",29.4029370154758
"humidity","day 090",28.5307020113378
"humidity","day 091",27.7736250075936
"humidity","day 092",27.1425183869508
"humidity","day 093",26.6443691385398
"humidity","day 094",26.283331494457
"humidity","day 095",26.0617204617209
"humidity","day 096",25.9773269040708
"humidity","day 097",26.0256675214149
"humidity","day 098",26.1976865016139
"humidity","day 099",26.480330018281
"humidity","day 100",26.8491247000862
"humidity","day 101",27.279489789344
"humidity","day 102",27.7578345278924
