"dimension","time","value"
"sunlight","day 001",66.6956031023591
"sunlight","day 002",68.5818867971396
"sunlight","day 003",70.3638552053402
"sunlight","day 004",71.9185212716311
"sunlight","day 005",73.134398070665
"sunlight","day 006",73.9684781171459
"sunlight","day 007",74.3993626904345
"sunlight","day 008",74.4236086884679
"sunlight","day 009",74.0574280267516
"sunlight","day 010",73.377697072488
"sunlight","day 011",72.4736222775402
"sunlight","day 012",71.4230659807166
"sunlight","day 013",70.288453759809
"sunlight","day 014",69.0818082615963
"sunlight","day 015",67.8070766216313
"sunlight","day 016",66.4863068615747
"sunlight","day 017",65.1453454414682
"sunlight","day 018",63.8071316887718
"sunlight","day 019",62.503987184583
"sunlight","day 020",61.3086696571314
"sunlight","day 021",60.2995926067423
"sunlight","day 022",59.5373564749887
"sunlight","day 023",59.0600010374464
"sunlight","day 024",58.8347198018193
"sunlight","day 025",58.8169322239736
"sunlight","day 026",58.9661520462187
"sunlight","day 027",59.2519368071654
"sunlight","day 028",59.6492892834566
"sunlight","day 029",60.1449494075604
"sunlight","day 030",60.7239442872
"sunlight","day 031",61.3527125752938
"sunlight","day 032",61.9962101788375
"sunlight","day 033",62.6320504759421
"sunlight","day 034",63.2388349262177
"sunlight","day 035",63.7864598441537
"sunlight","day 036",64.2384585024463
"sunlight","day 037",64.5416171517387
"sunlight","day 038",64.6511593747275
"sunlight","day 039",64.572805104377
"sunlight","day 040",64.3244181179686
"sunlight","day 041",63.9219412197843
"sunlight","day 042",63.3815753206645
"sunlight","day 043",62.7224747306837
"sunlight","day 044",61.9684754933155
"sunlight","day 045",61.1595910158901
"sunlight","day 046",60.3413934073068
"sunlight","day 047",59.5500687971062
"sunlight","day 048",58.7826440794143
"sunlight","day 049",58.0300368992482
"sunlight","day 050",57.2978871406048
"sunlight","day 051",56.5948424907231
"sunlight","day 052",55.9268596108299
"sunlight","day 053",55.2980018539758
"sunlight","day 054",54.7074503665186
"sunlight","day 055",54.1522578842051
"sunlight","day 056",53.625845707031
"sunlight","day 057",53.1213354527426
"sunlight","day 058",52.6342814458412
"sunlight","day 059",52.1595767913422
"sunlight","day 060",51.6870370095639
"sunlight","day 061",51.2076478338996
"sunlight","day 062",50.7221534347385
"sunlight","day 063",50.2335680742463
"sunlight","day 064",49.7442279446972
"sunlight","day 065",49.253967567718
"sunlight","day 066",48.7581150859372
"sunlight","day 067",48.2689554236165
"sunlight","day 068",47.801252875173
"sunlight","day 069",47.3604002808367
"sunlight","day 070",46.9495000477567
"sunlight","day 071",46.5718643049449
"sunlight","day 072",46.2312845650899
"sunlight","day 073",45.9332601537241
"sunlight","day 074",45.6798387527955
"sunlight","day 075",45.4575536570705
"sunlight","day 076",45.2529043511536
"sunlight","day 077",45.0677694661825
"sunlight","day 078",44.9055032393299
"sunlight","day 079",44.759983185374
"sunlight","day 080",44.6226773569036
"sunlight","day 081",44.484892680145
"sunlight","day 082",44.3408077422492
"sunlight","day 083",44.196248900431
"sunlight","day 084",44.0570218680305
"sunlight","day 085",43.9172020128265
"sunlight","day 086",43.7705555030754
"sunlight","day 087",43.6217600207424
"sunlight","day 088",43.4797884996114
"sunlight","day 089",43.3497927302952
"sunlight","day 090",43.2199680657723
"sunlight","day 091",43.0763530068108
"sunlight","day 092",42.9133150829706
"sunlight","day 093",42.729993290198
"sunlight","day 094",42.5362834611919
"sunlight","day 095",42.3430628676889
