"dimension","time","value"
"sunlight","day 001",69.3731355270924
"sunlight","day 002",69.8616813993513
"sunlight","day 003",69.597026736997
"sunlight","day 004",68.7632785150161
"sunlight","day 005",67.7448817874994
"sunlight","day 006",66.7752837411953
"sunlight","day 007",66.007009929763
"sunlight","day 008",65.4198972418486
"sunlight","day 009",64.9587076031402
"sunlight","day 010",64.6005917525103
"sunlight","day 011",64.3312334933286
"sunlight","day 012",64.1380600737702
"sunlight","day 013",64.007916891136
"sunlight","day 014",63.9235784944245
"sunlight","day 015",63.8682685145166
"sunlight","day 016",63.8310777581227
"sunlight","day 017",63.8006666688253
"sunlight","day 018",63.7581070618629
"sunlight","day 019",63.6848771328991
"sunlight","day 020",63.5716692276406
"sunlight","day 021",63.4118824776018
"sunlight","day 022",63.2005290074833
"sunlight","day 023",62.9291239659148
"sunlight","day 024",62.5837235355112
"sunlight","day 025",62.1870514003482
"sunlight","day 026",61.7811622388319
"sunlight","day 027",61.4448669808616
"sunlight","day 028",61.2470308330314
"sunlight","day 029",61.1799798572223
"sunlight","day 030",61.1962331022697
"sunlight","day 031",61.1656207095401
"sunlight","day 032",60.9432985872644
"sunlight","day 033",60.4084146185994
"sunlight","day 034",59.5366541781481
"sunlight","day 035",58.6658606313722
"sunlight","day 036",58.2276652117958
"sunlight","day 037",58.6666926343342
"sunlight","day 038",60.0923636524163
"sunlight","day 039",61.2602896921342
"sunlight","day 040",60.9741029296688
"sunlight","day 041",59.5833278688946
"sunlight","day 042",57.7599951884478
"sunlight","day 043",55.9202679383179
"sunlight","day 044",54.3305724486213
"sunlight","day 045",52.9406697307361
"sunlight","day 046",51.7202067117569
"sunlight","day 047",50.663954640544
"sunlight","day 048",49.7615263245938
"sunlight","day 049",49.0025774145397
"sunlight","day 050",48.3820933749288
"sunlight","day 051",47.895924613957
"sunlight","day 052",47.5380515005013
"sunlight","day 053",47.3002735066951
"sunlight","day 054",47.167536557018
"sunlight","day 055",47.1248913201526
"sunlight","day 056",47.1646609892487
"sunlight","day 057",47.2793037478782
"sunlight","day 058",47.4545452168361
"sunlight","day 059",47.6762933969918
"sunlight","day 060",47.9379183722895
"sunlight","day 061",48.2326350186086
"sunlight","day 062",48.5455752964963
"sunlight","day 063",48.8619928254208
"sunlight","day 064",49.1757107758697
