"dimension","time","value"
"sunlight","day 001",66.539228841521
"sunlight","day 002",65.1972107351751
"sunlight","day 003",64.1764533090301
"sunlight","day 004",64.2131367888355
"sunlight","day 005",65.7316427689592
"sunlight","day 006",67.360308776632
"sunlight","day 007",67.7306511903306
"sunlight","day 008",67.2829458606522
"sunlight","day 009",66.7743799974888
"sunlight","day 010",66.4210267757907
"sunlight","day 011",66.2647689257109
"sunlight","day 012",66.1918414331555
"sunlight","day 013",66.0786633717669
"sunlight","day 014",65.9180379103789
"sunlight","day 015",65.7219347089941
"sunlight","day 016",65.4626052970967
"sunlight","day 017",65.1165866097647
"sunlight","day 018",64.7172753349678
"sunlight","day 019",64.3122503988334
"sunlight","day 020",63.9489599272275
"sunlight","day 021",63.6639468042416
"sunlight","day 022",63.4502637471298
"sunlight","day 023",63.2885335163634
"sunlight","day 024",63.146040154797
"sunlight","day 025",62.9600740609244
"sunlight","day 026",62.6788753561876
"sunlight","day 027",62.3229192831078
"sunlight","day 028",61.9247323013734
"sunlight","day 029",61.492810618262
"sunlight","day 030",61.0342943482274
"sunlight","day 031",60.5749294868404
"sunlight","day 032",60.1405871927179
"sunlight","day 033",59.7390333955463
"sunlight","day 034",59.3686256686337
"sunlight","day 035",59.0081933887057
"sunlight","day 036",58.6416524856755
"sunlight","day 037",58.2927932987881
"sunlight","day 038",57.9845063886563
"sunlight","day 039",57.696208792032
"sunlight","day 040",57.4021118387534
"sunlight","day 041",57.0990775548651
"sunlight","day 042",56.7887849151178
"sunlight","day 043",56.4695299928805
"sunlight","day 044",56.1384143112661
"sunlight","day 045",55.7923259250915
"sunlight","day 046",55.4325313896517
"sunlight","day 047",55.0615396452786
"sunlight","day 048",54.6821018470651
"sunlight","day 049",54.2939579893836
"sunlight","day 050",53.8845612089656
"sunlight","day 051",53.4411746939187
"sunlight","day 052",52.9625886954954
"sunlight","day 053",52.4572993647368
"sunlight","day 054",51.9610993886928
"sunlight","day 055",51.5133339086709
"sunlight","day 056",51.1402613470006
"sunlight","day 057",50.8582195255189
"sunlight","day 058",50.6569505830722
"sunlight","day 059",50.5220192306825
