"dimension","time","value"
"sunlight","day 001",36.1631569001744
"sunlight","day 002",37.7470220110115
"sunlight","day 003",39.0761290353704
"sunlight","day 004",39.7767590366526
"sunlight","day 005",39.5576796836991
"sunlight","day 006",38.6108203595994
"sunlight","day 007",37.2811939413661
"sunlight","day 008",36.042985567456
"sunlight","day 009",35.2920825547505
"sunlight","day 010",34.9820086723868
"sunlight","day 011",34.9847556657855
"sunlight","day 012",35.2885507332463
"sunlight","day 013",35.9028888143638
"sunlight","day 014",36.8061003610344
"sunlight","day 015",37.9750361361392
"sunlight","day 016",39.4117926341973
"sunlight","day 017",41.1462133059276
"sunlight","day 018",43.2938836952088
"sunlight","day 019",45.9452054969442
"sunlight","day 020",49.0041029169737
"sunlight","day 021",52.3087805898374
"sunlight","day 022",55.6210423539372
"sunlight","day 023",58.6692353632286
"sunlight","day 024",61.1468580140403
"sunlight","day 025",62.8233609533691
"sunlight","day 026",63.5369621881302
"sunlight","day 027",63.3106404288351
"sunlight","day 028",62.2290291899216
"sunlight","day 029",60.4386204979389
"sunlight","day 030",58.1102192611731
"sunlight","day 031",55.4500234027458
"sunlight","day 032",52.6605112760971
"sunlight","day 033",49.8938899411049
"sunlight","day 034",47.2897416232085
"sunlight","day 035",44.9874205036553
"sunlight","day 036",43.1009922767019
"sunlight","day 037",41.6435967328351
"sunlight","day 038",40.5858581912678
"sunlight","day 039",39.8292649898894
"sunlight","day 040",39.2633714358835
"sunlight","day 041",38.7991316949348
"sunlight","day 042",38.3727960254442
"sunlight","day 043",38.0003991981775
"sunlight","day 044",37.7182306616527
"sunlight","day 045",37.5602239178082
"sunlight","day 046",37.5462604373431
"sunlight","day 047",37.6870757197993
"sunlight","day 048",37.9711819609914
"sunlight","day 049",38.370830173711
"sunlight","day 050",38.8154499423847
"sunlight","day 051",39.2289806396861
"sunlight","day 052",39.5562222196418
"sunlight","day 053",39.7592623451186
"sunlight","day 054",39.8484789329922
"sunlight","day 055",39.853699377295
"sunlight","day 056",39.8342587266788
"sunlight","day 057",39.8613952073732
"sunlight","day 058",40.0244521012999
"sunlight","day 059",40.3878476678598
"sunlight","day 060",40.898195020677
"sunlight","day 061",41.4817019135597
"sunlight","day 062",42.1007598068287
"sunlight","day 063",42.7250919813001
"sunlight","day 064",43.3175652932583
"sunlight","day 065",43.8325632280473
"sunlight","day 066",44.2132243333003
"sunlight","day 067",44.459246377921
"sunlight","day 068",44.6059480253319
"sunlight","day 069",44.7678030309532
"sunlight","day 070",45.0484533874306
"sunlight","day 071",45.4290589443146
"sunlight","day 072",45.8695334488241
"sunlight","day 073",46.367288381946
"sunlight","day 074",46.9180549284232
"sunlight","day 075",47.4733453542543
"sunlight","day 076",47.9756720859641
"sunlight","day 077",48.3757671109274
"sunlight","day 078",48.639120032156
"sunlight","day 079",48.7820313543589
"sunlight","day 080",48.8359449833389
"sunlight","day 081",48.8420675275771
"sunlight","day 082",48.8434299220617
"sunlight","day 083",48.8805977051318
"sunlight","day 084",48.9859445453742
"sunlight","day 085",49.1615420290135
"sunlight","day 086",49.3919747993208
"sunlight","day 087",49.6335874631974
"sunlight","day 088",49.8784358175151
"sunlight","day 089",50.1392057545952
"sunlight","day 090",50.4654809362232
"sunlight","day 091",50.9016272348412
"sunlight","day 092",51.4342415960548
"sunlight","day 093",52.0282235192091
"sunlight","day 094",52.6194516454431
"sunlight","day 095",53.1593330519485
"sunlight","day 096",53.6904094183339
"sunlight","day 097",54.267302180249
"sunlight","day 098",54.9018171950908
"sunlight","day 099",55.5695956654554
"sunlight","day 100",56.1444357529869
"sunlight","day 101",56.4926849780286
"sunlight","day 102",56.552731336672
"sunlight","day 103",56.2863024393774
"sunlight","day 104",55.6764438783313
"sunlight","day 105",54.7723445441804
"sunlight","day 106",53.866448539684
"sunlight","day 107",53.2516409668182
"sunlight","day 108",52.9701314785506
"sunlight","day 109",52.9670199889804
"sunlight","day 110",53.1766573428553
"sunlight","day 111",53.5271350425743
"sunlight","day 112",53.9563119269474
"sunlight","day 113",54.4473755227787
"sunlight","day 114",54.9984228511259
"sunlight","day 115",55.6218602220693
"sunlight","day 116",56.3352187620857
"sunlight","day 117",57.1622195742134
"sunlight","day 118",58.1026208727481
"sunlight","day 119",59.0541393404535
"sunlight","day 120",59.8903939675515
"sunlight","day 121",60.4906545056306
"sunlight","day 122",60.7778911434917
"sunlight","day 123",60.8442250574205
"sunlight","day 124",60.8157706466254
"sunlight","day 125",60.7854642145202
"sunlight","day 126",60.8260408874934
"sunlight","day 127",60.9626091796251
"sunlight","day 128",61.1929327973109
"sunlight","day 129",61.4596338566752
"sunlight","day 130",61.7163404318659
"sunlight","day 131",61.9243189368841
"sunlight","day 132",62.0489450325116
"sunlight","day 133",62.0629085218952
"sunlight","day 134",61.9640465308598
"sunlight","day 135",61.7608350098087
"sunlight","day 136",61.4791578847794
"sunlight","day 137",61.1628589801686
"sunlight","day 138",60.9102137381754
"sunlight","day 139",60.814804734876
"sunlight","day 140",60.8970114640526
"sunlight","day 141",61.1434849312454
"sunlight","day 142",61.4791652713205
"sunlight","day 143",61.8180628915039
"sunlight","day 144",62.0921801591375
"sunlight","day 145",62.2495946616782
"sunlight","day 146",62.2846929069296
"sunlight","day 147",62.2052785650214
"sunlight","day 148",62.0265150350421
"sunlight","day 149",61.7712792698646
"sunlight","day 150",61.4859427085406
"humidity","day 001",35.0095541939907
"humidity","day 002",34.2157489235073
"humidity","day 003",33.4906741737695
"humidity","day 004",32.9189474921539
"humidity","day 005",32.5955645675842
"humidity","day 006",32.6369253286079
"humidity","day 007",33.1195126376084
"humidity","day 008",33.9387368526889
"humidity","day 009",34.9276609349936
"humidity","day 010",35.8510307621114
"humidity","day 011",36.5175182000148
"humidity","day 012",36.9798161517663
"humidity","day 013",37.3438278565798
"humidity","day 014",37.6842768611853
"humidity","day 015",38.0624025922396
"humidity","day 016",38.5166876885874
"humidity","day 017",39.0669735114126
"humidity","day 018",39.681293099064
"humidity","day 019",40.3139516805047
"humidity","day 020",40.9161515699902
"humidity","day 021",41.4434114824363
"humidity","day 022",41.8716186501081
"humidity","day 023",42.1703092534687
"humidity","day 024",42.2755399902336
"humidity","day 025",42.1610973442177
"humidity","day 026",41.8100132761517
"humidity","day 027",41.1931286871916
"humidity","day 028",40.3025946357273
"humidity","day 029",39.2279938686614
"humidity","day 030",38.066935928126
"humidity","day 031",36.8517058486582
"humidity","day 032",35.5866402903937
"humidity","day 033",34.2296069234556
"humidity","day 034",32.7504816406811
"humidity","day 035",31.2136422157767
"humidity","day 036",29.7105353296667
"humidity","day 037",28.3463814112789
"humidity","day 038",27.2208534985758
"humidity","day 039",26.3976613176533
"humidity","day 040",25.9432695480553
"humidity","day 041",25.9711259949826
"humidity","day 042",26.5130869459636
"humidity","day 043",27.227659492177
"humidity","day 044",27.5488348424897
"humidity","day 045",26.745704228452
"humidity","day 046",25.3954377207247
"humidity","day 047",24.3049658781403
"humidity","day 048",23.7610037898828
"humidity","day 049",23.814676890058
"humidity","day 050",24.0949674621074
"humidity","day 051",24.2169375939404
"humidity","day 052",24.1621117420047
"humidity","day 053",23.9979319147276
"humidity","day 054",23.769047959919
"humidity","day 055",23.5013060651688
"humidity","day 056",23.1681299378069
"humidity","day 057",22.7396666024607
"humidity","day 058",22.2253788332062
"humidity","day 059",21.6511297350303
"humidity","day 060",21.0690679871128
"humidity","day 061",20.5395078148053
"humidity","day 062",20.1291400539536
"humidity","day 063",19.8909796883609
"humidity","day 064",19.8169616831656
"humidity","day 065",19.8777788338831
"humidity","day 066",20.0308593946846
"humidity","day 067",20.2701559287192
"humidity","day 068",20.6107130625312
"humidity","day 069",21.109447202313
"humidity","day 070",21.8134855670676
"humidity","day 071",22.6889268473942
"humidity","day 072",23.6835270258031
"humidity","day 073",24.7526997808538
"humidity","day 074",25.8629044194528
"humidity","day 075",27.0171250658451
"humidity","day 076",28.2314972077549
"humidity","day 077",29.5382369694854
"humidity","day 078",30.9511089106338
"humidity","day 079",32.393990695394
"humidity","day 080",33.7684913369766
"humidity","day 081",34.9770321400599
"humidity","day 082",35.9416004735315
"humidity","day 083",36.6616356716464
"humidity","day 084",37.1368713220904
"humidity","day 085",37.2907660609044
"humidity","day 086",37.0495279988165
"humidity","day 087",36.4279096583935
"humidity","day 088",35.4675680205815
"humidity","day 089",34.2125427765266
"humidity","day 090",32.7113182123954
"humidity","day 091",31.01222354458
"humidity","day 092",29.1585231153567
"humidity","day 093",27.1962133762055
"humidity","day 094",25.1872840895388
"humidity","day 095",23.1995293028403
"humidity","day 096",21.3079668929462
"humidity","day 097",19.5780028167044
"humidity","day 098",18.0293715216566
"humidity","day 099",16.6702867563604
"humidity","day 100",15.5085509827434
"humidity","day 101",14.5457521957158
"humidity","day 102",13.7590318087487
"humidity","day 103",13.1229029821398
"humidity","day 104",12.6258124449312
"humidity","day 105",12.2610927765988
"humidity","day 106",12.0276863896081
"humidity","day 107",11.9186304473314
"humidity","day 108",11.8974472410159
"humidity","day 109",11.9192151835146
"humidity","day 110",11.9483797118845
"humidity","day 111",11.9879905310511
"humidity","day 112",12.0512575739724
"humidity","day 113",12.1534274178671
"humidity","day 114",12.3033952805578
"humidity","day 115",12.4826142980214
"humidity","day 116",12.6735561300252
"humidity","day 117",12.8902086133436
"humidity","day 118",13.1521870266866
"humidity","day 119",13.4701002395006
"humidity","day 120",13.8470267955995
"humidity","day 121",14.264930345534
"humidity","day 122",14.7061448507154
"humidity","day 123",15.175600409261
"humidity","day 124",15.6814459253025
"humidity","day 125",16.2221093903218
"humidity","day 126",16.8031712073415
"humidity","day 127",17.4685423381969
"humidity","day 128",18.2639056795348
"humidity","day 129",19.1962475359412
"humidity","day 130",20.2349284171284
"humidity","day 131",21.3535662085287
"humidity","day 132",22.5726233884367
"humidity","day 133",23.876787499028
"humidity","day 134",25.0608017451395
"humidity","day 135",25.8760090461187
"humidity","day 136",26.0900955166937
"humidity","day 137",25.5382169725701
"humidity","day 138",24.3090648379829
"humidity","day 139",22.5603077464383
"humidity","day 140",20.4719875599971
"humidity","day 141",18.2177444530944
"humidity","day 142",15.9232386211076
"humidity","day 143",13.6926996312719
"humidity","day 144",11.5926145173119
"humidity","day 145",9.67254485641391
"humidity","day 146",7.95209293312305
"humidity","day 147",6.43395434942434
"humidity","day 148",5.08315726970432
"humidity","day 149",3.85145697238713
"humidity","day 150",2.67518462964574
