"dimension","time","value"
"sunlight","day 001",34.3064854756841
"sunlight","day 002",33.711578384646
"sunlight","day 003",33.1556610889058
"sunlight","day 004",32.7293411773601
"sunlight","day 005",32.5169049224108
"sunlight","day 006",32.532095333443
"sunlight","day 007",32.7557671432326
"sunlight","day 008",33.1077652411355
"sunlight","day 009",33.5119400269383
"sunlight","day 010",33.9691737855711
"sunlight","day 011",34.4900659025629
"sunlight","day 012",35.0470522806938
"sunlight","day 013",35.6031554699917
"sunlight","day 014",36.1219080922254
"sunlight","day 015",36.5620443382248
"sunlight","day 016",36.8625946033253
"sunlight","day 017",36.9860155699747
"sunlight","day 018",37.0081728645651
"sunlight","day 019",37.0194647215049
"sunlight","day 020",37.0550108633211
"sunlight","day 021",37.1211288983943
"sunlight","day 022",37.1642064903999
"sunlight","day 023",37.1426192205578
"sunlight","day 024",37.1021646825308
"sunlight","day 025",37.033772463932
"sunlight","day 026",36.9189262984916
"sunlight","day 027",36.7831649141794
"sunlight","day 028",36.6873728075919
"sunlight","day 029",36.7897625555911
"sunlight","day 030",37.2548979096063
"sunlight","day 031",38.1754192390695
"sunlight","day 032",39.5410604643297
"sunlight","day 033",41.0018530914004
"sunlight","day 034",42.2150067540531
"sunlight","day 035",43.2061460114264
"sunlight","day 036",44.0843469102009
"sunlight","day 037",44.924076521859
"sunlight","day 038",45.7841448905688
"sunlight","day 039",46.6953429264405
"sunlight","day 040",47.6639032872028
"sunlight","day 041",48.6258447551154
"sunlight","day 042",49.5063876905525
"sunlight","day 043",50.2577726418154
"sunlight","day 044",50.851798097769
"sunlight","day 045",51.3048299465161
"sunlight","day 046",51.6194602693845
"sunlight","day 047",51.803998140041
"sunlight","day 048",51.9161973018668
"sunlight","day 049",52.0032742965718
"sunlight","day 050",52.0208521894673
"sunlight","day 051",51.9099704215252
"sunlight","day 052",51.6449274127593
"sunlight","day 053",51.2186517839447
"sunlight","day 054",50.6653339798612
"sunlight","day 055",50.0281599716607
"sunlight","day 056",49.3450360119783
"sunlight","day 057",48.6564526772018
"sunlight","day 058",48.0185175572456
"sunlight","day 059",47.4966437110708
"sunlight","day 060",47.1778490603001
"sunlight","day 061",47.123223490355
"sunlight","day 062",47.2685398791922
"sunlight","day 063",47.5251349685778
"sunlight","day 064",47.8319179629811
"sunlight","day 065",48.1441190337252
"sunlight","day 066",48.4543389211421
"sunlight","day 067",48.763242873917
"sunlight","day 068",49.062885017354
"sunlight","day 069",49.3122383260572
"sunlight","day 070",49.4629829426044
"sunlight","day 071",49.4707088321679
"sunlight","day 072",49.3167072840125
"sunlight","day 073",49.0811650611784
"sunlight","day 074",48.8568207211156
"sunlight","day 075",48.6877245251385
"sunlight","day 076",48.5938386226032
"sunlight","day 077",48.5474610111691
"sunlight","day 078",48.5172420762599
"sunlight","day 079",48.5049059060526
"sunlight","day 080",48.5252252532423
"sunlight","day 081",48.6120938258431
"sunlight","day 082",48.7996962000206
"sunlight","day 083",49.1042594692273
"sunlight","day 084",49.5254519638519
"sunlight","day 085",50.0146644447418
"sunlight","day 086",50.49606824098
"sunlight","day 087",50.870045940939
"sunlight","day 088",51.1690757608359
"sunlight","day 089",51.4668629012564
"sunlight","day 090",51.8547748330374
"sunlight","day 091",52.3915030818564
"sunlight","day 092",52.9873731225014
"sunlight","day 093",53.5192937302242
"sunlight","day 094",53.8788729330196
"sunlight","day 095",53.9964938392512
"sunlight","day 096",53.9429406260151
"sunlight","day 097",53.8128876390399
"sunlight","day 098",53.6561688298533
"sunlight","day 099",53.5110596459312
"sunlight","day 100",53.4144419127441
"sunlight","day 101",53.4013847208451
"sunlight","day 102",53.5010998431233
"sunlight","day 103",53.7170053961561
"sunlight","day 104",53.9552021889394
"sunlight","day 105",54.1221704946221
"sunlight","day 106",54.2232257505453
"sunlight","day 107",54.2800421074255
"sunlight","day 108",54.2914225124016
"sunlight","day 109",54.2899362634043
"sunlight","day 110",54.3319556120182
"sunlight","day 111",54.5269481959801
"sunlight","day 112",54.9643759874758
"sunlight","day 113",55.6005829103354
"sunlight","day 114",56.3443126795063
"sunlight","day 115",57.0470262227613
"sunlight","day 116",57.5774346556321
"sunlight","day 117",57.9305326318583
"sunlight","day 118",58.1447906882004
"sunlight","day 119",58.3062993552931
"sunlight","day 120",58.4996077968742
"sunlight","day 121",58.7554797152216
"sunlight","day 122",59.0800962424549
"sunlight","day 123",59.4350936915224
"sunlight","day 124",59.7900132863992
"sunlight","day 125",60.1905607143405
"sunlight","day 126",60.6888134139728
"sunlight","day 127",61.2861713661294
"sunlight","day 128",61.9757459575715
"sunlight","day 129",62.7558161999607
"sunlight","day 130",63.5796200489186
"sunlight","day 131",64.3670922861768
"sunlight","day 132",64.9543768243214
"sunlight","day 133",65.1874566011319
"sunlight","day 134",65.0354615243054
"sunlight","day 135",64.4826628702251
"sunlight","day 136",63.4507504200994
"sunlight","day 137",61.9714441546057
"sunlight","day 138",60.5791663474731
"sunlight","day 139",59.8314466529536
"sunlight","day 140",59.8755419543407
"sunlight","day 141",60.6820520941934
"sunlight","day 142",61.9252215230933
"sunlight","day 143",63.2258720670703
"sunlight","day 144",64.2874904459262
"sunlight","day 145",64.9080676517679
"sunlight","day 146",65.1809468721526
"sunlight","day 147",65.2612470370253
"sunlight","day 148",65.255837850433
"sunlight","day 149",65.2406964054498
"sunlight","day 150",65.2164785771589
"humidity","day 001",34.7366333518995
"humidity","day 002",34.0749912793714
"humidity","day 003",33.4389963245704
"humidity","day 004",32.8207959317257
"humidity","day 005",32.2061178296118
"humidity","day 006",31.5978236154498
"humidity","day 007",31.0065366539161
"humidity","day 008",30.456793511063
"humidity","day 009",29.9796796877964
"humidity","day 010",29.6185632230607
"humidity","day 011",29.4238247269844
"humidity","day 012",29.461612556395
"humidity","day 013",29.7969207847475
"humidity","day 014",30.4743586053104
"humidity","day 015",31.4750649693272
"humidity","day 016",32.5466827401289
"humidity","day 017",33.3740846633775
"humidity","day 018",33.62455910197
"humidity","day 019",33.0683730343872
"humidity","day 020",31.9052922842077
"humidity","day 021",30.4496621869102
"humidity","day 022",29.0446472804751
"humidity","day 023",27.9894037721226
"humidity","day 024",27.4960476528941
"humidity","day 025",28.1967310199016
"humidity","day 026",30.4496288071659
"humidity","day 027",33.0457580588858
"humidity","day 028",34.6738274421381
"humidity","day 029",35.1804700053309
"humidity","day 030",34.7740680964012
"humidity","day 031",33.952076880069
"humidity","day 032",33.2645249392821
"humidity","day 033",33.1826617131169
"humidity","day 034",34.0073105367428
"humidity","day 035",35.4363694735736
"humidity","day 036",37.0528384493443
"humidity","day 037",38.5830501108287
"humidity","day 038",39.8500621234551
"humidity","day 039",40.9204995062305
"humidity","day 040",41.8848691546502
"humidity","day 041",42.6856381165851
"humidity","day 042",43.2422663439873
"humidity","day 043",43.5302252527588
"humidity","day 044",43.5486203794301
"humidity","day 045",43.3277452614863
"humidity","day 046",42.8781766206097
"humidity","day 047",42.2161289297068
"humidity","day 048",41.409715737027
"humidity","day 049",40.5355751431176
"humidity","day 050",39.6525443823767
"humidity","day 051",38.8103282279027
"humidity","day 052",38.0399024737438
"humidity","day 053",37.3620337006789
"humidity","day 054",36.7753806154606
"humidity","day 055",36.2661777262819
"humidity","day 056",35.7930706211263
"humidity","day 057",35.3197630730077
"humidity","day 058",34.8577805152721
"humidity","day 059",34.4279787949374
